Tissue	h2_ge_t	h2_ge_t_se	NomP	FDRP	Proph2	Proph2_se
Adipose_Subcutaneous	-0.000220924508232402	0.000444818106536755	0.690286492539619	0.971262181526255	-0.00545492612919511	0.0109831631243643
Adipose_Visceral_Omentum	-0.000281142258370637	0.000362237898094608	0.78116270935311	0.971262181526255	-0.00694178415729968	0.00894414563196563
Artery_Aorta	0.00056076731295626	0.000471700351413344	0.117255043947781	0.919507365873198	0.0138461064927472	0.0116469222571196
Artery_Tibial	-0.000375430936661006	0.00045556475766267	0.79505864230981	0.971262181526255	-0.00926989967064212	0.0112485125348807
B_intermediate	9.93085330219755e-05	0.000120448700283988	0.204831106720514	0.919507365873198	0.00245206254375248	0.00297404198232069
B_memory	2.61666005019081e-05	8.51484264858645e-05	0.379305332227668	0.960906841643426	0.000646088901281682	0.00210243028360159
B_naive	-0.000207819161341478	0.000153223725368885	0.912500023828075	0.971262181526255	-0.00513133731707353	0.00378330186096012
Brain_BasalGanglia	0.000176596479793809	0.000324550148105175	0.293177060649465	0.919507365873198	0.00436040690848911	0.00801358390383148
Brain_Cerebellum	-0.00022267950353725	0.000380965775963465	0.720562437713317	0.971262181526255	-0.00549825934659877	0.00940656236946827
Brain_Cortex	7.70595779726176e-05	0.000159562660719518	0.314568309377673	0.919507365873198	0.00190270562895352	0.00393981878319798
Brain_Limbic	-8.39794123966928e-05	0.000242854904422625	0.635253775927405	0.971262181526255	-0.00207356573818995	0.00599641739315124
Breast_Mammary_Tissue	-0.00054946473379743	0.000289241271221795	0.971262181526255	0.971262181526255	-0.0135670304641341	0.0071417597832542
CD14_Mono	0.000262810030451164	0.000193846802066716	0.0875875328823704	0.919507365873198	0.00648913655434973	0.00478634079177077
CD16_Mono	-8.87007033362172e-06	0.000115365896985038	0.530643047941935	0.971262181526255	-0.000219014082311647	0.00284854066629723
CD4_Naive	-0.0001446139075662	0.000189074176493865	0.777820389581369	0.971262181526255	-0.00357071376706667	0.0046684981850337
CD4_TCM	0.000195985123987575	0.0002762759629448	0.239043807273596	0.919507365873198	0.00483913886389074	0.00682162871468642
CD4_TEM	-0.000189175196675417	0.000148214042415459	0.899086715363124	0.971262181526255	-0.00467099251050412	0.00365960598556689
CD8_Naive	9.40061412303467e-05	0.000139131331679121	0.249626749654377	0.919507365873198	0.00232113928963819	0.00343534152294126
CD8_TCM	-0.000101540543420589	0.000160005004631912	0.737158123626896	0.971262181526255	-0.00250717391161948	0.00395074085510894
CD8_TEM	-0.000231045259172248	0.000134678885012671	0.956875672246497	0.971262181526255	-0.00570482121412958	0.0033254045682141
Cells_Cultured_fibroblasts	-0.000601115824837373	0.000385256279334378	0.940655636921145	0.971262181526255	-0.0148423660453672	0.00951250072430563
Colon_Sigmoid	-0.000282150526112454	0.000288380629304742	0.83606080876051	0.971262181526255	-0.00696667965709763	0.00712050936554919
Colon_Transverse	-0.000341091371238102	0.000318603715541567	0.857821267325948	0.971262181526255	-0.00842200916637289	0.00786675840843375
Esophagus_Mucosa	0.000307995246584247	0.000433534185611996	0.238719080613792	0.919507365873198	0.00760482090331474	0.0107045477928888
Esophagus_Muscularis	0.000856503482566642	0.000500482869902777	0.0435078693684833	0.826649518001183	0.021148234137448	0.0123576017259945
gdT	-2.47307235430479e-05	8.58730609169824e-05	0.613323430536159	0.971262181526255	-0.000610635149211059	0.00212032249177734
Heart_Atrial_Appendage	6.67587830918511e-05	0.000403169884658314	0.434241876104406	0.971262181526255	0.00164836501461361	0.00995481196687195
Heart_Left_Ventricle	5.77048860139376e-05	0.000357625100025181	0.435906586372523	0.971262181526255	0.00142481200034414	0.0088302493833378
Lung	0.00022668518133801	0.000323707239926728	0.241876735666956	0.919507365873198	0.00559716497130889	0.00799277135621551
Muscle_Skeletal	-0.000272487280121405	0.000290638142605761	0.825761690008163	0.971262181526255	-0.00672808099065197	0.00717625043471015
Nerve_Tibial	1.32215795536364e-05	0.000421647550428247	0.487492438104143	0.971262181526255	0.000326458754410775	0.010411050627858
NK	4.21056551514589e-05	0.000130295406543083	0.373288804300736	0.960906841643426	0.00103964580620886	0.00321717053192798
NK_CD56bright	-0.000142066901224509	8.96877061639804e-05	0.943405138120246	0.971262181526255	-0.00350782472159281	0.00221451126330816
Skin_Not_Sun_Exposed_Suprapubic	-0.000101779467455405	0.000413788279764221	0.597147238739317	0.971262181526255	-0.00251307327050383	0.0102169945620795
Skin_Sun_Exposed_Lower_leg	0.00105085357994487	0.000425104581107577	0.00671819439492023	0.255291387006969	0.0259470019739474	0.0104964094100636
Thyroid	0.000332396869313219	0.000687813278562692	0.314453388750049	0.919507365873198	0.00820733010649923	0.0169830439151282
Treg	0.00049305478233476	0.000602294964208998	0.206499693836082	0.919507365873198	0.0121741921564138	0.014871480597753
Whole_Blood	-0.000518621949320154	0.000353095640681523	0.929054584748001	0.971262181526255	-0.0128054802301273	0.00871841088102526
AllTissues	3.92503104508664e-05	0.00031862047088557	0.450978999724755	NA	0.000969143467922627	0.00786717212063136
