PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.GSTM3_1Mwindow.wgt.RDat	GSTM3	1	109776559	110783660	0.2185	rs4839135	 2.73	rs1332018	 1.66e-01	-12.78	-0.435	416	3	lasso	0.18	2.4999999999999997e-43	-0.073771	0.941192
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SLC44A5_1Mwindow.wgt.RDat	SLC44A5	1	75167814	76581848	0.0357	rs12738201	-2.48	rs6703099	-1.00e-03	  4.34	 1.636	567	567	blup	0.018	2e-05	-0.141787	0.887248
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.OR2L8_1Mwindow.wgt.RDat	OR2L8	1	247612160	248613098	0.0401	rs11204538	10.28	rs12756270	-7.80e-04	  4.61	 0.505	418	1	lasso	-0.00034	0.41	 0.504665	0.613794
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MED8_1Mwindow.wgt.RDat	MED8	1	43349588	44355471	0.0228		   NA		       NA	    NA	    NA	0	0	enet	0.017	3.2e-05	       NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NDUFS5_1Mwindow.wgt.RDat	NDUFS5	1	38992022	40000287	0.1058		   NA		       NA	    NA	    NA	0	0	lasso	0.11	3.9999999999999996e-26	       NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FCRL1_1Mwindow.wgt.RDat	FCRL1	1	157264193	158289910	0.0333	rs12048503	 3.67	rs12064217	 3.33e-03	  4.58	 0.126	481	5	enet	0.015	6.9e-05	-0.376195	0.706772
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.GSTM1_1Mwindow.wgt.RDat	GSTM1	1	109730439	110736367	0.1033		   NA		       NA	    NA	    NA	429	0	top1	0.062	2e-15	       NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ATP1B1_1Mwindow.wgt.RDat	ATP1B1	1	168575928	169601957	0.0345	rs17502733	 3.15	rs17349586	 5.94e-03	  4.62	 0.538	603	5	enet	0.0071	0.0049	 0.650918	0.515099
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PADI4_1Mwindow.wgt.RDat	PADI4	1	17134692	18190499	0.0315	rs6683201	 2.59	rs2526833	 1.14e-02	  4.72	 1.212	459	1	top1	0.011	0.00052	 1.212000	0.225512
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NPPA_1Mwindow.wgt.RDat	NPPA	1	11405766	12407840	0.1543	rs2379159	-3.95	rs11121901	-1.03e-03	  7.75	 2.678	435	1	lasso	-0.00097	0.81	 0.266000	0.790239
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NTPCR_1Mwindow.wgt.RDat	NTPCR	1	232586357	233619628	0.0448	rs10495332	 3.95	rs4141442	 2.75e-03	  5.20	 0.790	590	590	blup	0.017	2.9e-05	 0.425409	0.670538
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.DNAJC16_1Mwindow.wgt.RDat	DNAJC16	1	15353343	16398228	0.0347	rs12046247	 2.67	rs4646047	 1.64e-02	 -4.84	-1.542	508	1	top1	0.016	3.8e-05	 1.542000	0.123074
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CHI3L2_1Mwindow.wgt.RDat	CHI3L2	1	111270281	112286062	0.1064	rs574508	-2.70	rs654997	 1.06e-01	 10.19	 0.276	566	1	top1	0.11	1.8e-25	 0.276159	0.782426
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.KIAA1522_1Mwindow.wgt.RDat	KIAA1522	1	32707431	33740571	0.0122	rs16835313	 1.51	rs2184931	 5.13e-03	  4.11	 0.920	166	1	top1	0.0051	0.015	 0.920000	0.357573
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TTC24_1Mwindow.wgt.RDat	TTC24	1	156049515	157057511	0.027	rs12139321	-8.27	rs6682716	 2.25e-02	  5.43	-0.771	409	1	top1	0.023	1.6e-06	-0.771000	0.440707
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CD55_1Mwindow.wgt.RDat	CD55	1	206995023	208034311	0.0216	rs2243193	-2.95	rs2914937	 1.76e-02	  4.59	-0.181	374	1	top1	0.018	2e-05	-0.181000	0.856368
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CDC42_1Mwindow.wgt.RDat	CDC42	1	21879202	22927853	0.0592	rs12737805	-3.05	rs4654783	 6.12e-02	  6.71	-0.348	508	1	top1	0.061	3.5e-15	-0.348000	0.727840
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LINC02593_1Mwindow.wgt.RDat	LINC02593	1	352198	1355072	0.0324	rs3748597	 1.89	rs13302982	-1.02e-03	  4.35	-0.193	116	1	top1	-0.001	0.9	-0.193000	0.846959
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SLC16A4_1Mwindow.wgt.RDat	SLC16A4	1	110405479	111433648	0.0418	rs4839135	 2.73	rs722570	 3.94e-02	  6.97	 0.964	548	1	top1	0.039	2.8e-10	 0.964000	0.335046
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CDC14A_1Mwindow.wgt.RDat	CDC14A	1	100310557	101485833	0.1286	rs3736295	 3.53	rs10875290	 7.73e-02	 -8.88	 0.261	461	1	top1	0.077	7.3e-19	-0.261000	0.794093
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SLAMF9_1Mwindow.wgt.RDat	SLAMF9	1	159421282	160424027	0.0295	rs2501329	-3.73	rs4584388	-1.03e-03	  6.24	-0.192	453	453	blup	-0.001	0.88	 0.018701	0.985080
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MIR4422HG_1Mwindow.wgt.RDat	MIR4422HG	1	55183534	56199850	0.0375	rs1183736	 3.27	rs2173355	 5.05e-04	 -3.90	 1.593	591	2	enet	0.0022	0.078	-0.741955	0.458115
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.GAS5_1Mwindow.wgt.RDat	GAS5	1	173333037	174338020	0.0225		   NA		       NA	    NA	    NA	0	0	lasso	0.036	1.4e-09	       NA	      NA
