PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
gdT	RA_only/gdT_5pcs_all/gdT.LINC01977_1Mwindow.wgt.RDat	LINC01977	17	77297251	78301503	0.0445	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	-0.00084	0.64	     NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.EVI2A_1Mwindow.wgt.RDat	EVI2A	17	29143428	30148640	0.0183	rs16972276	 4.08	rs1048317	 9.56e-03	-3.99	 0.4712	325	  1	top1	0.0096	0.0015	-0.4712	6.37e-01
gdT	RA_only/gdT_5pcs_all/gdT.TBX2_1Mwindow.wgt.RDat	TBX2	17	58977204	59986827	0.0427	rs11653176	-2.86	rs2159399	-1.00e-03	 5.71	 0.7060	309	309	blup	-0.00064	0.53	 0.0103	9.92e-01
gdT	RA_only/gdT_5pcs_all/gdT.RAD51C_1Mwindow.wgt.RDat	RAD51C	17	56269934	57312972	0.0362	rs2333465	 3.66	rs10515155	 2.57e-02	 5.20	 1.6956	220	220	blup	0.028	1.5e-07	 1.3442	1.79e-01
gdT	RA_only/gdT_5pcs_all/gdT.EFCAB3_1Mwindow.wgt.RDat	EFCAB3	17	59947579	60993841	0.0666	rs17684593	 1.61	rs2429382	-1.04e-03	 6.91	-0.7656	229	229	blup	-0.001	0.88	 0.1687	8.66e-01
gdT	RA_only/gdT_5pcs_all/gdT.TBC1D16_1Mwindow.wgt.RDat	TBC1D16	17	77406142	78509671	0.0340	rs9799	-4.38	rs12938473	-6.44e-04	 3.72	-1.0255	400	400	blup	0.0061	0.0093	-1.8353	6.65e-02
gdT	RA_only/gdT_5pcs_all/gdT.KANSL1-AS1_1Mwindow.wgt.RDat	KANSL1-AS1	17	43770939	44774089	0.0888	rs17689471	-4.93	rs17689471	 3.00e-02	 5.20	-4.9264	 28	  1	top1	0.03	5e-08	-4.9264	8.38e-07
gdT	RA_only/gdT_5pcs_all/gdT.ATP1B2_1Mwindow.wgt.RDat	ATP1B2	17	7049945	8061088	0.0693	rs7503417	-4.02	rs17884512	 1.76e-02	 7.86	-0.5492	441	  1	top1	0.018	2.5e-05	-0.5492	5.83e-01
gdT	RA_only/gdT_5pcs_all/gdT.CCL3L1_1Mwindow.wgt.RDat	CCL3L1	17	34123842	35125731	0.3730	rs9893947	 4.29	rs12601485	 4.08e-02	 7.66	-0.9482	287	  4	lasso	0.17	2.4e-40	-0.8272	4.08e-01
gdT	RA_only/gdT_5pcs_all/gdT.TXNDC17_1Mwindow.wgt.RDat	TXNDC17	17	6044380	7047861	0.0384	rs749096	-3.18	rs218663	 1.50e-04	 3.01	-2.0535	538	538	blup	0.00088	0.18	 0.0506	9.60e-01
