PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK	RA_only/NK_5pcs_all/NK.PRF1_1Mwindow.wgt.RDat	PRF1	10	71857104	72862497	0.0535	rs827294	-2.70	rs1624747	 0.010490	-3.91	-0.0219	 687	  1	top1	0.01	0.00082	 0.0219	0.98253
NK	RA_only/NK_5pcs_all/NK.MGMT_1Mwindow.wgt.RDat	MGMT	10	130765505	132069247	0.1066	rs10491032	 3.05	rs10764888	 0.082022	-9.82	 1.6807	 711	  2	enet	0.1	1.5e-24	-0.1111	0.91157
NK	RA_only/NK_5pcs_all/NK.GSTO1_1Mwindow.wgt.RDat	GSTO1	10	105513931	106527213	0.0218	rs7086170	-2.49	rs4925	 0.004927	 4.62	-1.8653	 417	417	blup	0.0088	0.002	-1.4932	0.13538
NK	RA_only/NK_5pcs_all/NK.KAT6B_1Mwindow.wgt.RDat	KAT6B	10	76085013	77292382	0.0425	rs1652713	-3.26	rs10762636	 0.018150	-4.41	-0.0148	 298	  1	top1	0.018	1.5e-05	 0.0148	0.98819
NK	RA_only/NK_5pcs_all/NK.LINC02664_1Mwindow.wgt.RDat	LINC02664	10	30976812	32050481	0.0720	NA	   NA	NA	       NA	   NA	     NA	   0	  0	enet	0.0087	0.0021	     NA	     NA
NK	RA_only/NK_5pcs_all/NK.TSPAN15_1Mwindow.wgt.RDat	TSPAN15	10	70711221	71767422	0.0866	rs3858165	-3.73	rs17569412	 0.080148	 8.99	-0.6570	 723	  1	top1	0.08	1.5e-19	-0.6570	0.51118
NK	RA_only/NK_5pcs_all/NK.WAC_1Mwindow.wgt.RDat	WAC	10	28321708	29412041	0.0297	rs540804	-3.08	rs11007381	-0.001007	-4.13	-1.4012	 655	655	blup	0.011	0.00053	-0.1940	0.84616
NK	RA_only/NK_5pcs_all/NK.AKR1C3_1Mwindow.wgt.RDat	AKR1C3	10	4590973	5649878	0.0494	rs7916170	 3.09	rs7894961	 0.002332	-4.82	-0.6231	 698	698	blup	0.014	0.00014	 3.0186	0.00254
NK	RA_only/NK_5pcs_all/NK.LINC01515_1Mwindow.wgt.RDat	LINC01515	10	66831183	68026299	0.0412	rs10509246	-2.54	rs10996977	 0.017723	 5.16	-0.2672	 654	  1	top1	0.018	1.9e-05	-0.2672	0.78932
NK	RA_only/NK_5pcs_all/NK.LINC00865_1Mwindow.wgt.RDat	LINC00865	10	91089250	92100618	0.0370	rs10748544	-2.45	rs6586198	-0.000508	-3.71	 1.3848	 470	470	blup	0.0061	0.0085	-1.0377	0.29941
NK	RA_only/NK_5pcs_all/NK.PPA1_1Mwindow.wgt.RDat	PPA1	10	71462591	72493185	0.0818	rs3858165	-3.73	rs10999204	 0.060697	 8.20	-1.1510	 702	  1	top1	0.061	4.4e-15	-1.1510	0.24973
NK	RA_only/NK_5pcs_all/NK.STOX1_1Mwindow.wgt.RDat	STOX1	10	70087288	71155188	0.0566	rs10998399	-2.90	rs10509307	 0.031641	 6.88	-0.8789	 432	432	blup	0.041	1.2e-10	-0.1451	0.88462
NK	RA_only/NK_5pcs_all/NK.VIM_1Mwindow.wgt.RDat	VIM	10	16770240	17779592	0.0577	rs4082518	-2.79	rs4748341	 0.011432	 5.20	-2.0557	 640	640	blup	0.024	5.9e-07	-2.0164	0.04376
NK	RA_only/NK_5pcs_all/NK.ALDH18A1_1Mwindow.wgt.RDat	ALDH18A1	10	96865698	97916468	0.0336	rs4917721	 3.02	rs11188635	 0.003901	 4.80	-1.5535	 513	513	blup	0.016	4.9e-05	 0.1882	0.85070
NK	RA_only/NK_5pcs_all/NK.MASTL_1Mwindow.wgt.RDat	MASTL	10	26944281	27976882	0.0198	rs11015598	 2.31	rs3737055	 0.009964	-4.85	 0.6643	 476	  1	top1	0.01	0.0011	-0.6643	0.50650
NK	RA_only/NK_5pcs_all/NK.TRDMT1_1Mwindow.wgt.RDat	TRDMT1	10	16679335	17743671	0.0338	rs4082518	-2.79	rs7916058	-0.000921	-3.80	 1.1785	 671	671	blup	0.0073	0.0044	-2.1789	0.02934
NK	RA_only/NK_5pcs_all/NK.ACTA2_1Mwindow.wgt.RDat	ACTA2	10	90194831	91251154	0.0727	rs2297312	-2.20	rs1800682	 0.061153	-8.22	-0.1998	 562	  1	top1	0.061	3.5e-15	 0.1998	0.84164
