PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SNAPC4_1Mwindow.wgt.RDat	SNAPC4	9	138770023	139794622	0.0425	rs10776875	-2.58	rs13288023	-0.000663	  3.26	 1.5910	301	  3	enet	0.013	0.00018	 1.5909	0.1116
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.DNAJA1_1Mwindow.wgt.RDat	DNAJA1	9	32525271	33539905	0.0405	rs6476383	-2.96	rs13300152	 0.004072	 -4.63	-1.3438	467	467	blup	0.015	6.4e-05	 0.0273	0.9782
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PTENP1-AS_1Mwindow.wgt.RDat	PTENP1-AS	9	33177266	34188009	0.0220	rs7853415	 1.82	rs16933401	 0.062480	  4.29	-0.2937	327	  1	top1	0.062	1.8e-15	-0.2937	0.7690
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MIR181A2HG_1Mwindow.wgt.RDat	MIR181A2HG	9	126920715	127960907	0.0205	rs2282086	-4.12	rs7041730	 0.001715	  3.99	 0.1579	308	308	blup	0.0094	0.0015	-0.0650	0.9482
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LCN10_1Mwindow.wgt.RDat	LCN10	9	139132622	140137392	0.0402	rs34355967	-3.38	rs6560652	-0.000459	 -3.36	 1.9545	323	323	blup	0.0077	0.0036	-0.1683	0.8663
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CTNNAL1_1Mwindow.wgt.RDat	CTNNAL1	9	111204857	112275779	0.0456	rs12337606	 3.01	rs1140064	 0.001012	  5.28	-0.1969	634	634	blup	0.012	0.00045	 0.1466	0.8834
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PHYHD1_1Mwindow.wgt.RDat	PHYHD1	9	131183261	132204320	0.0344	rs4837366	 2.66	rs10819457	 0.011069	 -4.22	 1.2175	306	  1	enet	0.023	1.3e-06	-0.1101	0.9123
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RPS6_1Mwindow.wgt.RDat	RPS6	9	18875713	19880234	0.0998	rs1327401	-2.48	rs10119465	 0.062672	 -8.03	-1.4249	529	  1	top1	0.063	1.6e-15	 1.4249	0.1542
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.OMD_1Mwindow.wgt.RDat	OMD	9	94674662	95686753	0.0644	rs1609292	-2.37	rs10992350	 0.056002	  7.63	 0.5839	377	  1	top1	0.056	5.2e-14	 0.5839	0.5593
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ANXA1_1Mwindow.wgt.RDat	ANXA1	9	75266781	76285309	0.0780	rs156769	 2.84	rs2795108	 0.015447	  6.01	-0.8603	367	  1	lasso	0.032	1.2e-08	-0.8603	0.3896
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ERCC6L2_1Mwindow.wgt.RDat	ERCC6L2	9	98137973	99303374	0.0246	rs10819936	 2.78	rs7852346	 0.019009	 -4.41	 0.7440	569	  1	top1	0.019	9.9e-06	-0.7440	0.4569
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SIGMAR1_1Mwindow.wgt.RDat	SIGMAR1	9	34134719	35137784	0.0677	rs7047205	 2.28	rs2070074	 0.006037	 -4.72	 1.6561	358	  3	lasso	0.015	1e-04	-1.6561	0.0977
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.C9orf78_1Mwindow.wgt.RDat	C9orf78	9	132089569	133097554	0.0296	rs4288464	 3.41	rs12634	 0.013776	 -4.92	 0.8127	441	  1	top1	0.014	0.00015	-0.8127	0.4164
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FBP1_1Mwindow.wgt.RDat	FBP1	9	96865415	97902545	0.0150	rs9409562	-3.05	rs6479557	 0.009808	  4.94	-0.6149	370	  1	top1	0.0098	0.0012	-0.6149	0.5386
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SNHG7_1Mwindow.wgt.RDat	SNHG7	9	139119046	140122636	0.3452	rs34355967	-3.73	rs11793962	 0.101781	 -6.56	-1.9251	322	 13	enet	0.16	4.2e-39	-2.4001	0.0164
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TLE4_1Mwindow.wgt.RDat	TLE4	9	81686880	82841797	0.0452	rs11138092	 2.62	rs4877145	 0.026974	  5.77	-0.5815	561	  1	top1	0.027	1.7e-07	-0.5815	0.5609
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.AK1_1Mwindow.wgt.RDat	AK1	9	130128759	131141900	0.0285	rs947625	-4.11	rs10819333	 0.000640	 -3.86	-1.1668	335	  7	enet	0.0021	0.081	-0.3706	0.7110
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RALGPS1_1Mwindow.wgt.RDat	RALGPS1	9	129177061	130485445	0.0300	rs4837175	-3.18	rs502352	 0.020642	  5.01	 0.3729	481	  1	top1	0.021	4.3e-06	 0.3729	0.7092
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.OLFM1_1Mwindow.wgt.RDat	OLFM1	9	137467351	138513030	0.0668	rs12555792	-2.80	rs4279676	-0.000498	  5.08	-0.4349	608	608	blup	0.0044	0.022	 0.4736	0.6358
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NPDC1_1Mwindow.wgt.RDat	NPDC1	9	139433915	140440629	0.0259	rs9721793	 3.52	rs10870177	 0.021316	  4.34	-0.2125	271	  1	top1	0.021	3e-06	-0.2125	0.8317
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CTSL_1Mwindow.wgt.RDat	CTSL	9	89841034	90846384	0.0795	rs10868585	-2.58	rs9410942	 0.070795	 -8.46	 0.1665	580	  1	lasso	0.073	8.8e-18	 0.0900	0.9283
