PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK	RA_only/NK_5pcs_all/NK.PRF1_1Mwindow.wgt.RDat	PRF1	10	71857104	72862497	0.0535	rs3740442	-2.96	rs1624747	 0.010490	-3.91	 0.5293	 687	  1	top1	0.01	0.00082	-0.5293	5.97e-01
NK	RA_only/NK_5pcs_all/NK.MGMT_1Mwindow.wgt.RDat	MGMT	10	130765505	132069247	0.1066	rs7070624	-4.49	rs10764888	 0.082022	-9.82	-2.2591	 711	  2	enet	0.1	1.5e-24	 2.2707	2.32e-02
NK	RA_only/NK_5pcs_all/NK.GSTO1_1Mwindow.wgt.RDat	GSTO1	10	105513931	106527213	0.0218	rs2183167	 3.28	rs4925	 0.004927	 4.62	-0.2652	 417	417	blup	0.0088	0.002	-0.7012	4.83e-01
NK	RA_only/NK_5pcs_all/NK.KAT6B_1Mwindow.wgt.RDat	KAT6B	10	76085013	77292382	0.0425	rs17691239	-6.07	rs10762636	 0.018150	-4.41	-1.4570	 298	  1	top1	0.018	1.5e-05	 1.4570	1.45e-01
NK	RA_only/NK_5pcs_all/NK.LINC02664_1Mwindow.wgt.RDat	LINC02664	10	30976812	32050481	0.0720	NA	   NA	NA	       NA	   NA	     NA	   0	  0	enet	0.0087	0.0021	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.TSPAN15_1Mwindow.wgt.RDat	TSPAN15	10	70711221	71767422	0.0866	rs10823407	 3.87	rs17569412	 0.080148	 8.99	 1.0270	 723	  1	top1	0.08	1.5e-19	 1.0270	3.04e-01
NK	RA_only/NK_5pcs_all/NK.WAC_1Mwindow.wgt.RDat	WAC	10	28321708	29412041	0.0297	rs1776122	-3.30	rs11007381	-0.001007	-4.13	 1.8158	 655	655	blup	0.011	0.00053	-1.4420	1.49e-01
NK	RA_only/NK_5pcs_all/NK.AKR1C3_1Mwindow.wgt.RDat	AKR1C3	10	4590973	5649878	0.0494	rs12774134	-7.25	rs7894961	 0.002332	-4.82	 1.7621	 698	698	blup	0.014	0.00014	-0.7299	4.65e-01
NK	RA_only/NK_5pcs_all/NK.LINC01515_1Mwindow.wgt.RDat	LINC01515	10	66831183	68026299	0.0412	rs10822484	 2.54	rs10996977	 0.017723	 5.16	-0.3470	 654	  1	top1	0.018	1.9e-05	-0.3470	7.29e-01
NK	RA_only/NK_5pcs_all/NK.LINC00865_1Mwindow.wgt.RDat	LINC00865	10	91089250	92100618	0.0370	rs10785942	-2.19	rs6586198	-0.000508	-3.71	 0.4258	 470	470	blup	0.0061	0.0085	 0.6796	4.97e-01
NK	RA_only/NK_5pcs_all/NK.PPA1_1Mwindow.wgt.RDat	PPA1	10	71462591	72493185	0.0818	rs10999108	 3.35	rs10999204	 0.060697	 8.20	 0.2123	 702	  1	top1	0.061	4.4e-15	 0.2123	8.32e-01
NK	RA_only/NK_5pcs_all/NK.STOX1_1Mwindow.wgt.RDat	STOX1	10	70087288	71155188	0.0566	rs10823229	-3.25	rs10509307	 0.031641	 6.88	-0.7115	 432	432	blup	0.041	1.2e-10	 0.4534	6.50e-01
NK	RA_only/NK_5pcs_all/NK.VIM_1Mwindow.wgt.RDat	VIM	10	16770240	17779592	0.0577	rs11254693	 4.20	rs4748341	 0.011432	 5.20	 1.2590	 640	640	blup	0.024	5.9e-07	 0.9507	3.42e-01
NK	RA_only/NK_5pcs_all/NK.ALDH18A1_1Mwindow.wgt.RDat	ALDH18A1	10	96865698	97916468	0.0336	rs1336457	-3.91	rs11188635	 0.003901	 4.80	-2.5545	 513	513	blup	0.016	4.9e-05	-2.0919	3.64e-02
NK	RA_only/NK_5pcs_all/NK.MASTL_1Mwindow.wgt.RDat	MASTL	10	26944281	27976882	0.0198	rs2815572	-6.93	rs3737055	 0.009964	-4.85	-0.0023	 476	  1	top1	0.01	0.0011	 0.0023	9.98e-01
NK	RA_only/NK_5pcs_all/NK.TRDMT1_1Mwindow.wgt.RDat	TRDMT1	10	16679335	17743671	0.0338	rs11254693	 4.20	rs7916058	-0.000921	-3.80	-0.5539	 671	671	blup	0.0073	0.0044	 1.9477	5.14e-02
NK	RA_only/NK_5pcs_all/NK.ACTA2_1Mwindow.wgt.RDat	ACTA2	10	90194831	91251154	0.0727	rs10788606	-3.58	rs1800682	 0.061153	-8.22	-0.1179	 562	  1	top1	0.061	3.5e-15	 0.1179	9.06e-01
NK	RA_only/NK_5pcs_all/NK.VCL_1Mwindow.wgt.RDat	VCL	10	75257874	76381121	0.0411	rs10824037	-3.40	rs7922894	 0.037687	-6.44	 0.0244	 243	  1	top1	0.038	6.6e-10	-0.0244	9.81e-01
NK	RA_only/NK_5pcs_all/NK.CPEB3_1Mwindow.wgt.RDat	CPEB3	10	93306449	94550835	0.0155	rs7923837	-5.71	rs3781230	 0.004235	 4.15	 2.6117	 401	  1	top1	0.0042	0.024	 2.6117	9.01e-03
NK	RA_only/NK_5pcs_all/NK.LINC01168_1Mwindow.wgt.RDat	LINC01168	10	134279038	135290001	0.0347	NA	   NA	NA	       NA	   NA	     NA	   0	  0	lasso	0.086	7.9e-21	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.IDI1_1Mwindow.wgt.RDat	IDI1	10	585092	1602644	0.0661	rs17221309	 3.03	rs11250238	 0.032415	 6.60	 0.2974	 520	  3	lasso	0.045	1.7e-11	 0.2974	7.66e-01
NK	RA_only/NK_5pcs_all/NK.CCSER2_1Mwindow.wgt.RDat	CCSER2	10	85588345	86778273	0.0359	rs10887291	-4.53	rs17663697	 0.027220	-6.11	-2.5075	 620	  1	top1	0.027	1.4e-07	 2.5075	1.22e-02
NK	RA_only/NK_5pcs_all/NK.PIP4K2A_1Mwindow.wgt.RDat	PIP4K2A	10	22323783	23503507	0.0360	rs7092729	 3.19	rs1053454	 0.021646	-5.35	-0.4995	 373	  1	top1	0.022	2.5e-06	 0.4995	6.17e-01
NK	RA_only/NK_5pcs_all/NK.SAR1A_1Mwindow.wgt.RDat	SAR1A	10	71407045	72430270	0.0892	rs10999108	 3.35	rs12573097	 0.057893	 8.03	 1.1404	 703	  1	lasso	0.064	8.6e-16	 1.1404	2.54e-01
NK	RA_only/NK_5pcs_all/NK.GTPBP4_1Mwindow.wgt.RDat	GTPBP4	10	534374	1565872	0.0357	rs17221309	 3.03	rs11253552	 0.025566	 5.60	 0.5175	 503	  1	top1	0.026	3.4e-07	 0.5175	6.05e-01
NK	RA_only/NK_5pcs_all/NK.PSAP_1Mwindow.wgt.RDat	PSAP	10	73076055	74111008	0.0425	NA	   NA	NA	       NA	   NA	     NA	   0	  0	lasso	0.0072	0.0047	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.AS3MT_1Mwindow.wgt.RDat	AS3MT	10	104129227	105161656	0.0235	rs3977747	 5.74	rs549466	 0.006879	 4.63	 3.5382	 353	353	blup	0.0081	0.0029	 0.8701	3.84e-01
NK	RA_only/NK_5pcs_all/NK.ADARB2_1Mwindow.wgt.RDat	ADARB2	10	723253	2279719	0.1375	rs11250681	 4.18	rs17156146	 0.090484	 9.95	 1.7787	1004	  1	lasso	0.11	9.4e-26	 2.0054	4.49e-02
NK	RA_only/NK_5pcs_all/NK.KLF6_1Mwindow.wgt.RDat	KLF6	10	3318188	4327401	0.0376	rs7086377	 6.50	rs11252110	 0.006182	 4.19	-0.8605	 604	  1	top1	0.0062	0.0082	-0.8605	3.90e-01
NK	RA_only/NK_5pcs_all/NK.DLG5_1Mwindow.wgt.RDat	DLG5	10	79050549	80186513	0.0449	rs35795	 3.71	rs1248655	 0.019880	 5.70	-1.7326	 556	  2	lasso	0.028	9.5e-08	-2.0042	4.50e-02
NK	RA_only/NK_5pcs_all/NK.C10orf95_1Mwindow.wgt.RDat	C10orf95	10	103709594	104711300	0.0447	rs3977747	 5.74	rs6584487	 0.016031	-4.74	 2.6725	 343	  3	enet	0.02	5.4e-06	 2.8776	4.01e-03
NK	RA_only/NK_5pcs_all/NK.STK32C_1Mwindow.wgt.RDat	STK32C	10	133520986	134645384	0.0392	rs11146378	 5.22	rs2814193	-0.000849	 3.84	-0.4313	 482	482	blup	0.013	0.00023	-2.8562	4.29e-03
NK	RA_only/NK_5pcs_all/NK.HHEX_1Mwindow.wgt.RDat	HHEX	10	93949712	94955404	0.0712	rs7923837	-5.71	rs7911264	 0.077421	-8.55	 3.9602	 386	  1	top1	0.077	6.6e-19	-3.9602	7.49e-05
NK	RA_only/NK_5pcs_all/NK.FAM53B_1Mwindow.wgt.RDat	FAM53B	10	125807861	126932947	0.0440	rs3781476	 4.34	rs4962698	 0.010458	-4.83	-1.0641	 595	  1	top1	0.01	0.00084	 1.0641	2.87e-01
NK	RA_only/NK_5pcs_all/NK.ANXA11_1Mwindow.wgt.RDat	ANXA11	10	81410645	82465564	0.0262	rs2993763	-3.47	rs12412762	 0.005868	 5.23	-0.3238	 439	439	blup	0.016	4.5e-05	-1.0011	3.17e-01
NK	RA_only/NK_5pcs_all/NK.BORCS7_1Mwindow.wgt.RDat	BORCS7	10	104114016	105124718	0.0279	rs3977747	 5.74	rs9527	 0.007066	-4.77	-0.6414	 348	348	blup	0.016	4.4e-05	-1.6278	1.04e-01
NK	RA_only/NK_5pcs_all/NK.ADRB1_1Mwindow.wgt.RDat	ADRB1	10	115303625	116306663	0.0873	rs526930	 4.58	rs476525	 0.050916	 8.32	 1.7841	 511	  2	lasso	0.073	6.3e-18	 2.3249	2.01e-02
NK	RA_only/NK_5pcs_all/NK.LINC00863_1Mwindow.wgt.RDat	LINC00863	10	88602168	89617059	0.0285	rs11202586	 5.93	rs2147287	-0.000161	-3.85	-2.0121	 266	266	blup	0.01	0.00097	 1.1775	2.39e-01
NK	RA_only/NK_5pcs_all/NK.DPYSL4_1Mwindow.wgt.RDat	DPYSL4	10	133500452	134519263	0.0647	rs11146378	 5.22	rs2637658	 0.045446	 7.31	-1.2616	 440	  1	top1	0.045	1.2e-11	-1.2616	2.07e-01
NK	RA_only/NK_5pcs_all/NK.WAC-AS1_1Mwindow.wgt.RDat	WAC-AS1	10	28308846	29321283	0.0308	rs1776122	-3.30	rs2095901	 0.016467	 5.30	-0.6372	 586	  7	enet	0.019	1e-05	 0.4577	6.47e-01
NK	RA_only/NK_5pcs_all/NK.GATA3_1Mwindow.wgt.RDat	GATA3	10	7596651	8617161	0.0347	rs7070523	-3.44	rs1399180	 0.004531	-5.08	 1.8723	 678	678	blup	0.0093	0.0016	-0.8517	3.94e-01
NK	RA_only/NK_5pcs_all/NK.HELLS_1Mwindow.wgt.RDat	HELLS	10	95805545	96861856	0.0613	rs731141	-5.29	rs2244241	 0.043623	 7.53	-2.6286	 372	  1	enet	0.061	4.6e-15	 2.1373	3.26e-02
NK	RA_only/NK_5pcs_all/NK.RPS24_1Mwindow.wgt.RDat	RPS24	10	79293621	80316564	0.0353	rs1678632	 3.02	rs4979800	 0.029082	-6.05	 0.4646	 496	  1	top1	0.029	5.5e-08	-0.4646	6.42e-01
