PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_naive	RA_only/B_naive_5pcs_all/B_naive.SAMD12-AS1_1Mwindow.wgt.RDat	SAMD12-AS1	8	119133240	120238306	0.0381	rs6993971	  2.73	rs2514603	 5.56e-02	  7.96	-0.100	580	  1	top1	0.056	7.1e-14	-0.1000	0.92034
B_naive	RA_only/B_naive_5pcs_all/B_naive.DKK4_1Mwindow.wgt.RDat	DKK4	8	41731581	42734747	0.0583	NA	    NA	NA	       NA	    NA	    NA	  0	  0	enet	0.017	3.5e-05	     NA	     NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.ENTPD4_1Mwindow.wgt.RDat	ENTPD4	8	22786675	23815160	0.0339	rs1030912	  2.80	rs2017650	 2.73e-03	  3.92	-0.862	588	588	blup	0.011	0.00082	-1.2607	0.20742
B_naive	RA_only/B_naive_5pcs_all/B_naive.ARC_1Mwindow.wgt.RDat	ARC	8	143192410	144195840	0.0385	rs12682623	  2.55	rs4736319	-9.87e-04	  3.73	 0.229	404	404	blup	0.00031	0.25	-0.0737	0.94123
B_naive	RA_only/B_naive_5pcs_all/B_naive.ERICH1_1Mwindow.wgt.RDat	ERICH1	8	64746	1181224	0.0407	rs12541287	  3.27	rs17738097	 3.90e-03	 -4.43	-0.653	573	  1	top1	0.0039	0.029	 0.6530	0.51376
B_naive	RA_only/B_naive_5pcs_all/B_naive.TMEM249_1Mwindow.wgt.RDat	TMEM249	8	145076888	146078591	0.0368	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.022	1.9e-06	     NA	     NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.ZDHHC2_1Mwindow.wgt.RDat	ZDHHC2	8	16513991	17582308	0.0466	rs10097011	 -3.25	rs2517273	 1.07e-03	  4.54	 0.449	741	741	blup	0.016	5.5e-05	-1.6775	0.09344
B_naive	RA_only/B_naive_5pcs_all/B_naive.IL7_1Mwindow.wgt.RDat	IL7	8	79145007	80217698	0.0249	rs7004404	  3.40	rs7016026	-4.45e-04	  3.06	-0.381	333	333	blup	0.0059	0.0095	-1.1396	0.25447
B_naive	RA_only/B_naive_5pcs_all/B_naive.OPLAH_1Mwindow.wgt.RDat	OPLAH	8	144606167	145615595	0.0400	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	-0.00038	0.43	     NA	     NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.ANK1_1Mwindow.wgt.RDat	ANK1	8	41010744	42254259	0.0991	rs10106323	  3.38	rs12708212	 1.13e-01	-10.61	-1.025	475	  1	top1	0.11	3.9e-27	 1.0250	0.30536
B_naive	RA_only/B_naive_5pcs_all/B_naive.NKX6-3_1Mwindow.wgt.RDat	NKX6-3	8	41002696	42008336	0.0659	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.055	1.2e-13	     NA	     NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.LY6E-DT_1Mwindow.wgt.RDat	LY6E-DT	8	143563448	144599807	0.0243	rs6987719	 -2.98	rs7843869	-1.01e-03	  3.56	 0.197	417	417	blup	0.00046	0.23	-0.7628	0.44561
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPL8_1Mwindow.wgt.RDat	RPL8	8	145515154	146517775	0.2625	rs9644668	  2.38	rs2955195	 3.89e-01	 19.10	 0.549	190	  2	enet	0.4	2.4e-109	 0.4576	0.64722
B_naive	RA_only/B_naive_5pcs_all/B_naive.CCN3_1Mwindow.wgt.RDat	CCN3	8	119928686	120936674	0.0193	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	-0.00089	0.7	     NA	     NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.HMBOX1_1Mwindow.wgt.RDat	HMBOX1	8	28247912	29410787	0.1351	rs240941	 -2.67	rs1487969	 1.29e-01	 -9.18	-0.500	451	  1	top1	0.13	5.2e-31	 0.5000	0.61708
B_naive	RA_only/B_naive_5pcs_all/B_naive.PKHD1L1_1Mwindow.wgt.RDat	PKHD1L1	8	109874690	111049436	0.1291	rs7008254	 -3.41	rs1783153	 1.46e-01	 12.09	-0.206	384	  6	enet	0.15	6.8e-36	-0.1697	0.86527
B_naive	RA_only/B_naive_5pcs_all/B_naive.SAMD12_1Mwindow.wgt.RDat	SAMD12	8	118644064	120134202	0.1094	rs13249969	  3.46	rs2514603	 1.07e-01	 10.18	-0.100	756	  1	top1	0.11	1.3e-25	-0.1000	0.92034
B_naive	RA_only/B_naive_5pcs_all/B_naive.CCNE2_1Mwindow.wgt.RDat	CCNE2	8	95392452	96407429	0.0366	rs4735336	 -4.73	rs16917426	-6.93e-04	  3.68	-0.513	450	450	blup	0.0036	0.035	 1.6090	0.10762
B_naive	RA_only/B_naive_5pcs_all/B_naive.RBPMS-AS1_1Mwindow.wgt.RDat	RBPMS-AS1	8	29739635	30742917	0.0801	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.11	2.3e-27	     NA	     NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.POP1_1Mwindow.wgt.RDat	POP1	8	98629521	99672063	0.0398	rs2513812	  4.38	rs3802197	-9.17e-04	  3.45	-0.709	469	469	blup	-0.00022	0.37	 0.5752	0.56512
B_naive	RA_only/B_naive_5pcs_all/B_naive.NAPRT_1Mwindow.wgt.RDat	NAPRT	8	144156955	145160500	0.0735	rs11786896	  3.27	rs10282929	 7.27e-02	 -8.43	-1.592	347	  1	top1	0.073	9.9e-18	 1.5920	0.11138
B_naive	RA_only/B_naive_5pcs_all/B_naive.PPP1R16A_1Mwindow.wgt.RDat	PPP1R16A	8	145203365	146227504	0.0749	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.02	7.4e-06	     NA	     NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.ZC2HC1A_1Mwindow.wgt.RDat	ZC2HC1A	8	79078324	80132000	0.0293	rs7004404	  3.40	rs6993386	 2.90e-02	 -5.82	 1.822	331	  1	top1	0.029	6.1e-08	-1.8220	0.06845
B_naive	RA_only/B_naive_5pcs_all/B_naive.MICU3_1Mwindow.wgt.RDat	MICU3	8	16384747	17480151	0.0427	rs3850760	 -2.96	rs822293	-3.41e-06	 -3.97	-1.381	674	  2	enet	0.011	0.00078	 1.5126	0.13038
B_naive	RA_only/B_naive_5pcs_all/B_naive.EPHX2_1Mwindow.wgt.RDat	EPHX2	8	26848660	27903081	0.0433	rs11136000	-10.23	rs4149239	 2.28e-02	  5.80	 3.142	670	  1	top1	0.023	1.5e-06	 3.1420	0.00168
