PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK	RA_only/NK_5pcs_all/NK.TNC_1Mwindow.wgt.RDat	TNC	9	117281854	118380436	0.0777	rs7862325	 4.14	rs13300423	-0.000899	  4.79	-1.5980	 659	 659	blup	0.0063	0.0078	 0.3768	0.70629
NK	RA_only/NK_5pcs_all/NK.INPP5E_1Mwindow.wgt.RDat	INPP5E	9	138823071	139834297	0.0408	rs10114171	-3.02	rs4842074	-0.001003	 -2.97	 0.0250	 308	 308	blup	0.0095	0.0014	-0.1012	0.91938
NK	RA_only/NK_5pcs_all/NK.OSTF1_1Mwindow.wgt.RDat	OSTF1	9	77203430	78262181	0.1199	rs7029907	 2.65	rs10869516	 0.033269	 -7.85	 0.7270	 468	   2	lasso	0.098	1.2e-23	-1.0712	0.28408
NK	RA_only/NK_5pcs_all/NK.ERMP1_1Mwindow.wgt.RDat	ERMP1	9	5284572	6333117	0.0392	rs10975094	 2.99	rs12377641	 0.029482	 -5.44	 0.0800	 472	   1	top1	0.029	4.5e-08	-0.0800	0.93624
NK	RA_only/NK_5pcs_all/NK.RORB_1Mwindow.wgt.RDat	RORB	9	76612251	77808093	0.0607	rs3925038	 2.67	rs10869383	 0.076933	 -9.08	-0.3030	 455	   5	enet	0.079	2.5e-19	 0.3604	0.71856
NK	RA_only/NK_5pcs_all/NK.BNC2_1Mwindow.wgt.RDat	BNC2	9	15909501	17370668	0.1378	rs3936216	-2.89	rs10962668	 0.073487	 -8.61	 0.3990	 803	   1	top1	0.073	5.3e-18	-0.3990	0.68989
NK	RA_only/NK_5pcs_all/NK.NMRK1_1Mwindow.wgt.RDat	NMRK1	9	77175493	78203071	0.0781	rs4451372	-2.65	rs2273766	 0.037823	 -6.80	 0.0740	 441	   3	lasso	0.05	1e-12	-0.8682	0.38527
NK	RA_only/NK_5pcs_all/NK.TAL2_1Mwindow.wgt.RDat	TAL2	9	107924738	108925405	0.8426	NA	   NA	NA	       NA	    NA	     NA	 378	   0	top1	-7e-04	0.57	     NA	     NA
NK	RA_only/NK_5pcs_all/NK.UBE2R2-AS1_1Mwindow.wgt.RDat	UBE2R2-AS1	9	33224083	34318866	0.0159	rs2777744	-2.70	rs10814048	 0.002789	  4.41	-0.0310	 333	 333	blup	0.0056	0.011	 1.0825	0.27902
NK	RA_only/NK_5pcs_all/NK.LINC01242_1Mwindow.wgt.RDat	LINC01242	9	29888933	30908452	0.5222	NA	   NA	NA	       NA	    NA	     NA	   0	   0	enet	0.19	2.7e-45	     NA	     NA
NK	RA_only/NK_5pcs_all/NK.TLE4_1Mwindow.wgt.RDat	TLE4	9	81686880	82841797	0.0904	rs2378373	-2.84	rs2807303	 0.102848	 10.11	-1.6590	 561	   1	top1	0.1	7.8e-25	-1.6590	0.09712
NK	RA_only/NK_5pcs_all/NK.SURF1_1Mwindow.wgt.RDat	SURF1	9	135718613	136723363	0.0424	rs630014	 3.70	rs3118667	 0.002696	  3.86	-0.6670	 560	 560	blup	0.0049	0.017	-0.3539	0.72344
NK	RA_only/NK_5pcs_all/NK.RPL12_1Mwindow.wgt.RDat	RPL12	9	129709953	130713685	0.1455	rs665249	 2.95	rs2247573	 0.176434	-13.46	-0.6390	 348	   4	lasso	0.19	2.1e-45	 0.6223	0.53372
NK	RA_only/NK_5pcs_all/NK.C9orf78_1Mwindow.wgt.RDat	C9orf78	9	132089569	133097554	0.0589	rs7867693	-2.68	rs11793686	 0.039230	 -6.46	-0.0270	 441	   1	top1	0.039	3e-10	 0.0270	0.97846
NK	RA_only/NK_5pcs_all/NK.BSPRY_1Mwindow.wgt.RDat	BSPRY	9	115611821	116633502	0.0738	rs8177804	-3.00	rs7873862	 0.037092	 -6.31	-1.3650	 539	   1	top1	0.037	9e-10	 1.3650	0.17225
NK	RA_only/NK_5pcs_all/NK.LCNL1_1Mwindow.wgt.RDat	LCNL1	9	139377445	140380210	0.0464	rs6606582	-3.13	rs11145948	 0.003181	  5.45	-2.4980	 280	   3	enet	0.014	0.00012	-2.2521	0.02431
NK	RA_only/NK_5pcs_all/NK.ENDOG_1Mwindow.wgt.RDat	ENDOG	9	131080779	132084955	0.0272	rs7030121	 3.23	rs2293966	 0.005082	 -4.28	 0.1610	 277	   1	enet	0.0086	0.0023	-0.4140	0.67887
NK	RA_only/NK_5pcs_all/NK.GADD45G_1Mwindow.wgt.RDat	GADD45G	9	91719927	92721470	0.0306	rs7860559	 3.36	rs11265835	 0.009943	 -4.72	-0.7660	 380	 380	blup	0.018	2.1e-05	 1.7692	0.07686
NK	RA_only/NK_5pcs_all/NK.RALGDS_1Mwindow.wgt.RDat	RALGDS	9	135473109	136524597	0.0299	rs630014	 3.70	rs13301148	-0.001032	  3.10	 0.8550	 563	 563	blup	0.0011	0.15	-0.6708	0.50233
NK	RA_only/NK_5pcs_all/NK.CTNNAL1_1Mwindow.wgt.RDat	CTNNAL1	9	111204857	112275779	0.0617	rs966697	 3.66	rs1140064	 0.038894	  7.65	 0.0271	 634	   1	lasso	0.046	9.3e-12	 0.0271	0.97842
NK	RA_only/NK_5pcs_all/NK.TMOD1_1Mwindow.wgt.RDat	TMOD1	9	99763462	100864025	0.0348	rs3827485	-2.49	rs913912	 0.038148	 -6.16	-0.0770	 401	   1	top1	0.038	5.2e-10	 0.0770	0.93862
NK	RA_only/NK_5pcs_all/NK.ANKRD18B_1Mwindow.wgt.RDat	ANKRD18B	9	33024249	34075440	0.0262	rs2777744	-2.70	rs12375483	 0.000171	  4.98	 1.0810	 375	   1	top1	0.00017	0.28	 1.0810	0.27970
NK	RA_only/NK_5pcs_all/NK.DOCK8_1Mwindow.wgt.RDat	DOCK8	9	0	965255	0.0775	rs10967642	-2.35	rs3209441	 0.024633	 -7.06	-1.0780	 647	   7	enet	0.064	6.7e-16	-1.0072	0.31382
NK	RA_only/NK_5pcs_all/NK.DELEC1_1Mwindow.wgt.RDat	DELEC1	9	117404097	118664923	0.0394	NA	   NA	NA	       NA	    NA	     NA	   0	   0	lasso	0.0048	0.018	     NA	     NA
NK	RA_only/NK_5pcs_all/NK.GRHPR_1Mwindow.wgt.RDat	GRHPR	9	36922693	37936987	0.0441	rs2026546	 4.04	rs7856656	 0.021007	  6.22	 0.8140	 451	   1	lasso	0.022	2e-06	 0.8140	0.41564
NK	RA_only/NK_5pcs_all/NK.MVB12B_1Mwindow.wgt.RDat	MVB12B	9	128589108	129769319	0.0283	rs7018610	 3.23	rs887659	 0.017259	  4.53	-1.8240	 539	   1	top1	0.017	2.4e-05	-1.8240	0.06815
NK	RA_only/NK_5pcs_all/NK.CEP78_1Mwindow.wgt.RDat	CEP78	9	80350991	81394606	0.2372	rs11137621	 2.87	rs1571777	 0.194134	-14.13	-1.5360	 404	   1	lasso	0.2	2e-49	 1.5360	0.12454
NK	RA_only/NK_5pcs_all/NK.CCDC107_1Mwindow.wgt.RDat	CCDC107	9	35158289	36161508	0.0243	rs10814293	-3.66	rs1991624	-0.000761	 -3.55	 2.0650	 393	 393	blup	0.0015	0.12	-0.2052	0.83738
NK	RA_only/NK_5pcs_all/NK.ZNF618_1Mwindow.wgt.RDat	ZNF618	9	116138589	117318873	0.0507	rs8177804	-3.00	rs10982234	 0.003018	  4.30	 1.1120	 656	 656	blup	0.0083	0.0026	-0.2221	0.82426
NK	RA_only/NK_5pcs_all/NK.FUT7_1Mwindow.wgt.RDat	FUT7	9	139424626	140426540	0.0683	rs6606582	-3.13	rs13301354	 0.045107	  7.48	 0.0150	 270	   5	enet	0.052	4.7e-13	 0.0744	0.94073
NK	RA_only/NK_5pcs_all/NK.GPRACR_1Mwindow.wgt.RDat	GPRACR	9	132402889	133406498	0.1022	NA	   NA	NA	       NA	    NA	     NA	   0	   0	lasso	0.13	2.1e-32	     NA	     NA
NK	RA_only/NK_5pcs_all/NK.NUDT2_1Mwindow.wgt.RDat	NUDT2	9	33829567	34843697	0.0561	rs17353380	-3.02	rs10972063	 0.034191	  6.57	-0.4680	 345	   2	lasso	0.049	1.7e-12	-0.2841	0.77632
NK	RA_only/NK_5pcs_all/NK.TRMO_1Mwindow.wgt.RDat	TRMO	9	100159137	101184782	0.0576	rs648085	 3.09	rs7025609	 0.034563	  6.73	 0.3910	 490	   1	top1	0.035	3.3e-09	 0.3910	0.69580
