PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.RPS10_1Mwindow.wgt.RDat	RPS10	6	33885231	34893846	0.1504	rs7744288	-3.48	rs9368813	 1.79e-01	 13.01	-0.687	348	  7	enet	0.19	4.5e-46	-1.272	0.20330
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.TREML2_1Mwindow.wgt.RDat	TREML2	6	40657487	41668887	0.0422	rs10947931	 3.46	rs2183817	 2.07e-02	  4.48	 3.441	534	  1	top1	0.021	4.5e-06	 3.441	0.00058
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.SNHG5_1Mwindow.wgt.RDat	SNHG5	6	85886725	86888451	0.1615	rs13209753	-3.20	rs1059307	 2.77e-01	-16.45	-1.051	329	  1	top1	0.28	6.9e-70	 1.051	0.29326
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.KCNQ5-AS1_1Mwindow.wgt.RDat	KCNQ5-AS1	6	73344526	74353237	0.0848	rs7756501	-3.05	rs7771861	 6.47e-03	  4.30	-0.277	384	  1	top1	0.0065	0.0072	-0.277	0.78178
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CALHM6_1Mwindow.wgt.RDat	CALHM6	6	116282538	117284934	0.1001	rs2243368	 3.06	rs12192126	 5.52e-02	  6.27	 0.086	378	378	blup	0.073	7.6e-18	-1.597	0.11027
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.BTN3A2_1Mwindow.wgt.RDat	BTN3A2	6	25865426	26878548	0.0691	NA	   NA	NA	       NA	    NA	    NA	541	  0	top1	0.044	2.5e-11	    NA	     NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.RPS12_1Mwindow.wgt.RDat	RPS12	6	132635708	133638703	0.0266	rs1408758	 2.89	rs12215941	 1.49e-02	  3.97	-0.622	541	  1	top1	0.015	8.7e-05	-0.622	0.53394
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.PEX6_1Mwindow.wgt.RDat	PEX6	6	42431603	43446919	0.0245	rs36106532	 2.94	rs9986447	 2.07e-02	  5.27	-1.636	341	  1	top1	0.021	4.4e-06	-1.636	0.10184
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.SLC18B1_1Mwindow.wgt.RDat	SLC18B1	6	132590509	133619776	0.0335	rs9402490	-2.88	rs3813346	 3.30e-03	 -4.18	 2.213	541	541	blup	0.015	7.3e-05	-1.510	0.13110
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.AKAP12_1Mwindow.wgt.RDat	AKAP12	6	151061102	152179694	0.0349	rs13194204	-3.14	rs11969288	 3.28e-04	  3.46	-0.547	674	  1	top1	0.00033	0.25	-0.547	0.58438
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.AHI1_1Mwindow.wgt.RDat	AHI1	6	135104670	136318878	0.0595	rs6935146	-2.85	rs7750586	 1.44e-02	 -5.51	-1.528	432	432	blup	0.025	3.9e-07	 0.553	0.58044
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.MAP3K5_1Mwindow.wgt.RDat	MAP3K5	6	136378184	137613615	0.0266	rs9402865	 2.22	rs6925103	-7.16e-04	  3.72	 0.449	352	352	blup	0.0049	0.017	 0.344	0.73078
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.LINC02527_1Mwindow.wgt.RDat	LINC02527	6	111721508	112730600	0.2559	rs9400534	 3.69	rs9487738	-5.46e-04	  8.64	-0.322	504	  1	top1	-0.00055	0.49	-0.322	0.74745
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.PI16_1Mwindow.wgt.RDat	PI16	6	36416072	37432613	0.0504	rs9470391	-3.32	rs9357232	 2.72e-02	  5.80	 1.201	497	  1	top1	0.027	1.6e-07	 1.201	0.22975
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.MDGA1_1Mwindow.wgt.RDat	MDGA1	6	37098455	38165659	0.0531	rs11964613	-4.11	rs6938061	 8.51e-05	  4.82	 0.283	463	  2	enet	0.017	2.7e-05	 0.442	0.65824
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.RPL10A_1Mwindow.wgt.RDat	RPL10A	6	34936178	35938557	0.0397	rs12200498	 2.60	rs12525930	 2.95e-02	  5.79	 0.049	427	  4	enet	0.033	9e-09	 0.346	0.72961
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.RNASET2_1Mwindow.wgt.RDat	RNASET2	6	166835601	167870038	0.0255	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.0052	0.014	    NA	     NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CCDC167_1Mwindow.wgt.RDat	CCDC167	6	36950714	37967669	0.0748	rs11964613	-4.11	rs1757178	 5.79e-02	 -7.83	 0.258	473	  1	top1	0.058	2.3e-14	-0.258	0.79641
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.GFRAL_1Mwindow.wgt.RDat	GFRAL	6	54692267	55767291	0.3226	rs9382387	 2.49	rs9475259	-9.72e-04	  3.47	 0.478	486	  1	top1	-0.00097	0.8	 0.478	0.63265
