PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
gdT	RA_only/gdT_5pcs_all/gdT.CARD6_1Mwindow.wgt.RDat	CARD6	5	40341469	41355456	0.0432	rs3792822	-3.14	rs10041894	 1.01e-03	-3.39	 0.8465	447	447	blup	0.0081	0.0032	 0.1534	0.8781
gdT	RA_only/gdT_5pcs_all/gdT.AHRR_1Mwindow.wgt.RDat	AHRR	5	0	938400	1.0000	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	7.8e-05	0.3	     NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.GDNF_1Mwindow.wgt.RDat	GDNF	5	37312779	38340143	0.0612	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.14	3.8e-32	     NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.TH2LCRR_1Mwindow.wgt.RDat	TH2LCRR	5	131466281	132491846	0.0998	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.13	9.3e-32	     NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.RAPGEF6_1Mwindow.wgt.RDat	RAPGEF6	5	130259614	131470922	0.0142	rs10054049	 2.77	rs6895586	 3.13e-03	 4.19	-0.4106	320	320	blup	0.0084	0.0028	-0.0288	0.9770
gdT	RA_only/gdT_5pcs_all/gdT.SCGB3A1_1Mwindow.wgt.RDat	SCGB3A1	5	179517105	180518499	0.1475	rs6894856	 3.44	rs2453176	 1.04e-01	10.96	 0.6056	397	  3	enet	0.12	4.6e-29	 1.3583	0.1744
gdT	RA_only/gdT_5pcs_all/gdT.CENPK_1Mwindow.wgt.RDat	CENPK	5	64312119	65358995	0.0416	rs17187986	 2.48	rs166329	 5.78e-02	 8.08	 0.0581	424	  3	enet	0.064	1.5e-15	-0.4306	0.6668
gdT	RA_only/gdT_5pcs_all/gdT.LRRTM2_1Mwindow.wgt.RDat	LRRTM2	5	137704610	138711024	0.1373	rs6596445	-4.35	rs1432873	-9.43e-04	 6.07	-0.7256	284	284	blup	0.0013	0.13	-0.8814	0.3781
gdT	RA_only/gdT_5pcs_all/gdT.LHFPL2_1Mwindow.wgt.RDat	LHFPL2	5	77281053	78444595	0.0858	rs2362834	-2.81	rs16876106	-9.03e-04	 5.70	 0.1104	494	  1	top1	-9e-04	0.7	 0.1104	0.9121
gdT	RA_only/gdT_5pcs_all/gdT.PROP1_1Mwindow.wgt.RDat	PROP1	5	176919236	177923243	0.0725	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	0.0027	0.06	     NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.SYNPO_1Mwindow.wgt.RDat	SYNPO	5	149480638	150538769	0.0780	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0045	0.023	     NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.JAKMIP2_1Mwindow.wgt.RDat	JAKMIP2	5	146465001	147662291	0.0279	rs13179236	-2.74	rs10064995	 8.39e-05	-3.90	 0.9796	509	509	blup	0.004	0.029	-0.3395	0.7342
gdT	RA_only/gdT_5pcs_all/gdT.SLC9A3_1Mwindow.wgt.RDat	SLC9A3	5	0	1024564	0.0958	rs2672715	-3.66	rs9763161	-9.84e-04	 5.22	 1.6077	327	327	blup	0.0018	0.1	 0.8036	0.4216
gdT	RA_only/gdT_5pcs_all/gdT.TRIO_1Mwindow.wgt.RDat	TRIO	5	13643451	15010313	0.0376	rs17275319	-3.95	rs164861	 2.23e-03	 3.97	 1.3401	742	742	blup	0.0075	0.0044	-0.0840	0.9330
gdT	RA_only/gdT_5pcs_all/gdT.DIAPH1-AS1_1Mwindow.wgt.RDat	DIAPH1-AS1	5	140437878	141444827	0.0666	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	0.00015	0.29	     NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.ZNF454_1Mwindow.wgt.RDat	ZNF454	5	177868199	178893434	0.5798	rs2271214	 3.16	rs533024	-9.59e-04	 4.79	 0.3542	552	552	blup	0.0049	0.018	-0.1859	0.8525
gdT	RA_only/gdT_5pcs_all/gdT.TERT_1Mwindow.wgt.RDat	TERT	5	753282	1795183	0.1370	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	0.0045	0.022	     NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.PRR7-AS1_1Mwindow.wgt.RDat	PRR7-AS1	5	176364890	177374945	0.0537	rs10463063	 3.15	rs2731662	 4.85e-02	-7.25	-1.0692	237	  2	lasso	0.05	1.9e-12	 0.9741	0.3300
gdT	RA_only/gdT_5pcs_all/gdT.GMCL2_1Mwindow.wgt.RDat	GMCL2	5	177111506	178114372	0.0365	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.1	2.6e-24	     NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.MIR3936HG_1Mwindow.wgt.RDat	MIR3936HG	5	131146969	132205608	0.0245	rs17772565	-2.43	rs152125	 4.55e-03	 4.14	 0.7747	425	425	blup	0.0077	0.004	-0.5493	0.5828
gdT	RA_only/gdT_5pcs_all/gdT.TMED9_1Mwindow.wgt.RDat	TMED9	5	176519204	177524243	0.0249	rs10463063	 3.15	rs2630757	-7.93e-04	 4.00	-0.5518	234	234	blup	0.0062	0.0088	-0.1325	0.8946
gdT	RA_only/gdT_5pcs_all/gdT.ERAP2_1Mwindow.wgt.RDat	ERAP2	5	95711643	96755420	0.0635	rs1230358	 3.43	rs27300	 7.96e-02	 9.47	-2.5986	501	  4	lasso	0.082	1.9e-19	-2.4528	0.0142
