PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LAMB1_1Mwindow.wgt.RDat	LAMB1	7	107064244	108143606	0.1148	rs9690688	-2.37	rs2237685	 0.129543	-11.80	-0.745	528	  4	enet	0.13	2.3e-32	 0.7195	0.471852
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PSPH_1Mwindow.wgt.RDat	PSPH	7	55578757	56619137	0.0540	rs6593266	 2.90	rs11982736	 0.043828	  5.68	 0.093	293	  1	top1	0.044	2.9e-11	 0.0930	0.925904
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.AOAH_1Mwindow.wgt.RDat	AOAH	7	36052549	37264099	0.1343	rs4720228	 3.61	rs10275462	 0.071491	 -7.88	 1.981	725	  5	lasso	0.088	2.4e-21	-0.0307	0.975533
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TRBV21-1_1Mwindow.wgt.RDat	TRBV21-1	7	141844427	142844887	0.0303	rs6979469	-3.00	rs12703489	-0.000991	  4.61	-1.095	451	451	blup	0.0033	0.041	 0.2264	0.820884
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.GIMAP1_1Mwindow.wgt.RDat	GIMAP1	7	149913701	150921372	0.0353	rs2069456	 2.81	rs1860871	 0.000393	 -4.24	-0.551	486	486	blup	0.0086	0.0022	-0.8830	0.377259
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CPA5_1Mwindow.wgt.RDat	CPA5	7	129484656	130508571	0.1901	rs10954272	 3.05	rs17164847	 0.160206	 12.78	 0.864	357	  2	lasso	0.17	5.7e-41	 0.8640	0.387588
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NAMPT_1Mwindow.wgt.RDat	NAMPT	7	105388744	106425429	0.0461	rs17289756	-2.64	rs734787	-0.000762	  3.50	-0.235	540	540	blup	0.0018	0.097	-1.2931	0.195969
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LINC01448_1Mwindow.wgt.RDat	LINC01448	7	42201325	43246046	0.1029	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.18	7.3e-43	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.POLR2J3_1Mwindow.wgt.RDat	POLR2J3	7	101707413	102713030	0.0339	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.0096	0.0013	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ZC3HAV1_1Mwindow.wgt.RDat	ZC3HAV1	7	138228261	139294466	0.0675	rs7791747	-2.88	rs1044551	 0.060993	 -8.08	 0.673	416	  1	top1	0.061	3.9e-15	-0.6730	0.500947
