PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK	RA_only/NK_5pcs_all/NK.SPSB1_1Mwindow.wgt.RDat	SPSB1	1	8852953	9929591	0.1219	rs1135427	  5.86	rs4465231	 1.21e-01	  9.402	-1.3535	418	  1	top1	0.12	3.8e-29	-1.3535	1.76e-01
NK	RA_only/NK_5pcs_all/NK.PADI4_1Mwindow.wgt.RDat	PADI4	1	17134692	18190499	0.1231	rs12097969	  5.02	rs6691485	 6.92e-02	  8.845	 0.0590	459	  3	enet	0.11	3.6e-26	-1.0607	2.89e-01
NK	RA_only/NK_5pcs_all/NK.HMGN2_1Mwindow.wgt.RDat	HMGN2	1	26298931	27303133	0.0327	rs2783637	  8.59	rs11584995	 1.52e-02	  5.292	-0.5636	352	  2	lasso	0.018	1.8e-05	 2.1258	3.35e-02
NK	RA_only/NK_5pcs_all/NK.PYHIN1_1Mwindow.wgt.RDat	PYHIN1	1	158401342	159446849	0.1389	rs703123	 -4.00	rs2325704	 1.16e-01	-10.757	-1.3261	486	  7	enet	0.12	1e-28	 1.4297	1.53e-01
NK	RA_only/NK_5pcs_all/NK.MDM4_1Mwindow.wgt.RDat	MDM4	1	203985534	205027248	0.0383	rs10793766	 -4.80	rs12039454	 1.98e-02	  5.161	-4.6872	608	608	blup	0.025	4.5e-07	-1.2708	2.04e-01
NK	RA_only/NK_5pcs_all/NK.NIBAN1_1Mwindow.wgt.RDat	NIBAN1	1	184260166	185443640	0.0348	rs6697326	  5.65	rs7524825	 1.00e-02	 -4.751	 1.4272	490	  1	top1	0.01	0.001	-1.4272	1.54e-01
NK	RA_only/NK_5pcs_all/NK.LEPROT_1Mwindow.wgt.RDat	LEPROT	1	65386351	66401690	0.0246	rs4255357	 -6.59	rs10493377	 3.87e-02	  6.320	 3.0436	437	  1	top1	0.039	3.9e-10	 3.0436	2.34e-03
NK	RA_only/NK_5pcs_all/NK.AKR7A2_1Mwindow.wgt.RDat	AKR7A2	1	19129202	20138640	0.0313	rs9887859	  5.26	rs16862370	 2.86e-03	 -3.439	 0.8508	488	  1	top1	0.0029	0.052	-0.8508	3.95e-01
NK	RA_only/NK_5pcs_all/NK.CHI3L2_1Mwindow.wgt.RDat	CHI3L2	1	111270281	112286062	0.3778	rs518785	 -6.25	rs654997	 2.17e-01	 14.520	 0.2776	566	  3	lasso	0.26	1.1e-64	 3.3257	8.82e-04
NK	RA_only/NK_5pcs_all/NK.GAS5_1Mwindow.wgt.RDat	GAS5	1	173333037	174338020	0.1000	rs12564858	  5.76	rs11576174	 5.57e-02	  5.019	-0.3112	261	  1	top1	0.056	6.1e-14	-0.3112	7.56e-01
NK	RA_only/NK_5pcs_all/NK.CROCC_1Mwindow.wgt.RDat	CROCC	1	16748426	17799459	0.0253	rs12097969	  5.02	rs11585357	 7.99e-03	 -4.311	-0.3115	337	  1	top1	0.008	0.0031	 0.3115	7.55e-01
NK	RA_only/NK_5pcs_all/NK.DISC1_1Mwindow.wgt.RDat	DISC1	1	231262536	232677018	0.0319	rs11122373	 -3.88	rs6656071	 4.28e-03	 -4.653	 1.1632	757	  2	enet	0.0083	0.0026	 2.3929	1.67e-02
NK	RA_only/NK_5pcs_all/NK.FCER1A_1Mwindow.wgt.RDat	FCER1A	1	158753365	159777992	0.0305	rs7522607	 -3.67	rs4656837	-9.91e-04	  3.593	-1.5922	438	438	blup	0.0012	0.15	-2.1825	2.91e-02
NK	RA_only/NK_5pcs_all/NK.FCGR2A_1Mwindow.wgt.RDat	FCGR2A	1	160975247	161989619	0.1054	rs4233367	  3.85	rs2099684	 4.69e-02	  7.453	-1.1445	432	  1	lasso	0.062	2.2e-15	-0.9531	3.41e-01
NK	RA_only/NK_5pcs_all/NK.PIK3R3_1Mwindow.wgt.RDat	PIK3R3	1	46005812	47140573	0.0165	rs11211282	 -3.26	rs17102080	 6.42e-03	 -3.830	-1.7769	355	355	blup	0.0079	0.0032	-0.3570	7.21e-01
NK	RA_only/NK_5pcs_all/NK.PHLDA3_1Mwindow.wgt.RDat	PHLDA3	1	200933406	201938316	0.1236	rs2820295	 10.54	rs10920207	 6.88e-02	  8.456	 1.3687	626	  1	lasso	0.073	7.9e-18	 1.3687	1.71e-01
NK	RA_only/NK_5pcs_all/NK.OR2T8_1Mwindow.wgt.RDat	OR2T8	1	247583554	248586454	0.1348	rs10802521	 -3.06	rs7514184	 5.73e-02	  8.849	-1.0606	443	  1	top1	0.057	2.6e-14	-1.0606	2.89e-01
NK	RA_only/NK_5pcs_all/NK.LRRIQ3_1Mwindow.wgt.RDat	LRRIQ3	1	73991699	75163860	0.0494	rs1514174	  8.00	rs11806946	 5.42e-02	 -7.411	 1.0619	397	  1	top1	0.054	1.3e-13	-1.0619	2.88e-01
NK	RA_only/NK_5pcs_all/NK.CAP1_1Mwindow.wgt.RDat	CAP1	1	40005912	41038320	0.0345	rs4660293	  8.20	rs12059558	 4.37e-03	  3.968	 0.0925	397	397	blup	0.015	8e-05	 3.0000	2.70e-03
NK	RA_only/NK_5pcs_all/NK.CD164L2_1Mwindow.wgt.RDat	CD164L2	1	27205666	28209823	0.0112	NA	    NA	NA	       NA	     NA	     NA	  0	  0	lasso	-0.00079	0.63	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.TNFRSF4_1Mwindow.wgt.RDat	TNFRSF4	1	646720	1649533	0.0311	rs4648786	 -5.45	rs12036216	-9.53e-04	 -4.162	 1.0841	144	  3	enet	0.0082	0.0027	 0.8155	4.15e-01
NK	RA_only/NK_5pcs_all/NK.RPS8_1Mwindow.wgt.RDat	RPS8	1	44741212	45744451	0.0927	rs1144868	 -4.34	rs11211024	 7.89e-02	 -9.698	-1.4583	328	  4	lasso	0.09	8.7e-22	 1.7012	8.89e-02
NK	RA_only/NK_5pcs_all/NK.CD48_1Mwindow.wgt.RDat	CD48	1	160148536	161181612	0.0641	rs4233367	  3.85	rs1553456	 2.76e-02	  5.683	 1.1272	413	  1	top1	0.028	1.2e-07	 1.1272	2.60e-01
NK	RA_only/NK_5pcs_all/NK.ECE1-AS1_1Mwindow.wgt.RDat	ECE1-AS1	1	21119783	22126362	0.0412	rs212526	 -7.81	rs12083062	 4.72e-03	  4.852	 1.1133	351	  1	lasso	0.0072	0.0046	 1.1133	2.66e-01
NK	RA_only/NK_5pcs_all/NK.COLGALT2_1Mwindow.wgt.RDat	COLGALT2	1	183398796	184506862	0.3555	rs3814333	  9.79	rs10797924	 1.78e-01	-13.093	 4.0723	533	  2	lasso	0.19	3.6e-45	-2.0142	4.40e-02
NK	RA_only/NK_5pcs_all/NK.PPIAL4D_1Mwindow.wgt.RDat	PPIAL4D	1	147701752	148702511	0.4766	rs487294	 -3.19	rs2932505	-1.03e-03	 -0.889	-2.5333	 22	  1	top1	-0.001	0.93	 2.5333	1.13e-02
NK	RA_only/NK_5pcs_all/NK.MGST3_1Mwindow.wgt.RDat	MGST3	1	165100471	166125373	0.0809	rs9787101	 -3.86	rs4147596	 7.30e-02	 -8.418	-2.6807	610	  1	top1	0.073	6.9e-18	 2.6807	7.35e-03
NK	RA_only/NK_5pcs_all/NK.THEMIS2_1Mwindow.wgt.RDat	THEMIS2	1	27699055	28713186	0.2059	rs9438524	  3.66	rs2295367	 2.21e-01	-14.864	-1.3191	224	 13	enet	0.24	1.2e-58	 1.5210	1.28e-01
NK	RA_only/NK_5pcs_all/NK.PADI6_1Mwindow.wgt.RDat	PADI6	1	17198691	18228195	0.1349	rs12097969	  5.02	rs6695849	 1.31e-01	 11.370	 0.0569	478	  1	top1	0.13	1.4e-31	 0.0569	9.55e-01
NK	RA_only/NK_5pcs_all/NK.CD52_1Mwindow.wgt.RDat	CD52	1	26144449	27147014	0.1495	rs2783637	  8.59	rs11577318	 1.80e-01	-13.313	-2.6266	391	 10	enet	0.2	5.1e-49	 2.9430	3.25e-03
NK	RA_only/NK_5pcs_all/NK.SLC1A7_1Mwindow.wgt.RDat	SLC1A7	1	53052855	54108310	0.0899	rs11581638	 -4.25	rs12568971	 2.85e-02	 -6.638	-0.1311	497	497	blup	0.056	4.6e-14	-2.6339	8.44e-03
NK	RA_only/NK_5pcs_all/NK.PHGDH_1Mwindow.wgt.RDat	PHGDH	1	119754557	120786838	0.0415	rs12121447	 -4.73	rs942835	 3.90e-02	  5.684	-0.0056	341	  1	top1	0.039	3.4e-10	-0.0056	9.96e-01
