PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.RPS8_1Mwindow.wgt.RDat	RPS8	1	44741212	45744451	0.0449	rs1698295	 -9.15	rs11573562	 0.025960	-5.39	-1.9164	328	328	blup	0.031	5.6e-08	 4.8628	1.16e-06
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SNAPIN_1Mwindow.wgt.RDat	SNAPIN	1	153131130	154134328	0.0249	rs2494663	 -9.21	rs11548104	 0.001639	-4.42	-1.4104	382	4	lasso	0.0081	0.0038	 1.4104	1.58e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.NT5C1A_1Mwindow.wgt.RDat	NT5C1A	1	39616901	40637779	0.0256	rs7529794	-12.54	rs16826104	-0.000868	 5.34	 2.7522	366	366	blup	-0.00018	0.36	 6.9432	3.83e-12
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SERINC2_1Mwindow.wgt.RDat	SERINC2	1	31382624	32407525	0.0494		    NA		       NA	   NA	     NA	0	0	lasso	0.0071	0.0061	     NA	      NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.GIPC2_1Mwindow.wgt.RDat	GIPC2	1	78010654	79104128	0.0627	rs17382996	 -5.97	rs17101082	-0.000720	 5.61	 0.7720	347	1	top1	-0.00072	0.56	 0.7720	4.40e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.WNT4_1Mwindow.wgt.RDat	WNT4	1	21943806	22969590	0.0634		    NA		       NA	   NA	     NA	0	0	lasso	0.21	9.9e-50	     NA	      NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.PRDM16_1Mwindow.wgt.RDat	PRDM16	1	2485767	3855185	0.0329	rs12733843	 -8.84	rs1563469	-0.000952	 3.89	-2.4248	475	475	blup	0.0015	0.12	-3.8182	1.34e-04
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.NHLH1_1Mwindow.wgt.RDat	NHLH1	1	159836861	160842636	0.0856	rs2789422	 18.47	rs17384911	 0.000164	 6.18	-0.7127	451	1	lasso	0.15	2.5e-33	-0.7127	4.76e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.IGSF9_1Mwindow.wgt.RDat	IGSF9	1	159396831	160415403	0.0512		    NA		       NA	   NA	     NA	0	0	lasso	0.19	7.499999999999999e-43	     NA	      NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.TOR3A_1Mwindow.wgt.RDat	TOR3A	1	178551205	179565131	0.0242	rs13306729	 -3.58	rs7547733	 0.005488	 3.98	 1.0762	464	464	blup	0.011	0.0007	-0.3034	7.62e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.FCRL3_1Mwindow.wgt.RDat	FCRL3	1	157146271	158170559	0.02	rs12062592	 -5.36	rs11264794	 0.012376	-4.58	-3.9832	522	1	top1	0.012	0.00044	 3.9832	6.80e-05
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.ACBD3_1Mwindow.wgt.RDat	ACBD3	1	225832380	226874442	0.0363	rs1417766	 -9.49	rs1151809	 0.010569	 4.57	-0.6566	424	1	top1	0.011	0.0011	-0.6566	5.11e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.MASP2_1Mwindow.wgt.RDat	MASP2	1	10586580	11607296	0.9988	rs7512467	 11.24	rs7547302	-0.001026	 5.62	 0.5947	346	7	lasso	0.013	0.00036	-0.3439	7.31e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.XCL1_1Mwindow.wgt.RDat	XCL1	1	168045843	169051307	0.0431	rs12403023	  3.10	rs12049040	 0.000347	-3.77	-2.6711	529	529	blup	0.003	0.052	 0.9346	3.50e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.COA7_1Mwindow.wgt.RDat	COA7	1	52650121	53664019	0.0221	rs835337	  8.37	rs1775540	-0.001022	-3.25	 3.5297	346	346	blup	0.008	0.0039	-1.3411	1.80e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.UTS2_1Mwindow.wgt.RDat	UTS2	1	7407672	8413551	0.1427	rs2301488	-15.47	rs161803	 0.139455	11.29	-0.0068	441	1	top1	0.14	7.1e-32	-0.0068	9.95e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.HPCAL4_1Mwindow.wgt.RDat	HPCAL4	1	39644320	40657105	0.1233		    NA		       NA	   NA	     NA	0	0	lasso	0.18	1.3e-42	     NA	      NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.AIDA_1Mwindow.wgt.RDat	AIDA	1	222341355	223385833	0.0264	rs2609391	  2.43	rs2068483	 0.001631	-4.24	 1.4793	315	4	enet	0.0085	0.003	-2.0362	4.17e-02
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.LINC01359_1Mwindow.wgt.RDat	LINC01359	1	64945260	65968159	0.0316	rs1413885	 -5.15	rs2256298	 0.006302	 4.81	 1.9565	441	1	top1	0.0063	0.0093	 1.9565	5.04e-02
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.LINC02801_1Mwindow.wgt.RDat	LINC02801	1	87178352	88217014	0.0348	rs17130101	  3.85	rs10801868	-0.000929	 6.34	-1.7409	425	1	top1	-0.00093	0.7	-1.7409	8.17e-02
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.S100A13_1Mwindow.wgt.RDat	S100A13	1	153091275	154106837	0.0819	rs2494663	 -9.21	rs12564925	 0.070235	 8.31	-1.6975	385	1	top1	0.07	2.2e-16	-1.6975	8.96e-02
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.NEXN_1Mwindow.wgt.RDat	NEXN	1	77854309	78909580	0.0442	rs17382996	 -5.97	rs2136682	 0.001078	 4.64	-4.1779	371	371	blup	0.0067	0.0075	-5.0131	5.36e-07
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.RPA2_1Mwindow.wgt.RDat	RPA2	1	27718035	28741308	0.0224	rs2236074	  5.56	rs2295367	 0.011630	-4.45	 5.2588	229	1	top1	0.012	0.00063	-5.2588	1.45e-07
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.PGBD5_1Mwindow.wgt.RDat	PGBD5	1	229950236	231062078	0.0367	rs4846914	  8.26	rs16851315	 0.011068	 3.80	-1.9836	667	1	top1	0.011	0.00084	-1.9836	4.73e-02
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.KIAA2013_1Mwindow.wgt.RDat	KIAA2013	1	11479648	12486484	0.0275	rs17037390	  9.08	rs926269	 0.009625	-4.75	-2.4526	427	1	top1	0.0096	0.0017	 2.4526	1.42e-02
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.METTL18_1Mwindow.wgt.RDat	METTL18	1	169261670	170264048	0.0216	rs12938	 -3.63	rs12146094	-0.001095	-3.42	 1.9625	540	540	blup	0.013	0.00038	-1.8832	5.97e-02
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SEMA6C_1Mwindow.wgt.RDat	SEMA6C	1	150604183	151619107	0.0184	rs10305740	  8.85	rs6694357	 0.001014	 3.45	-2.7615	302	302	blup	0.0037	0.035	-6.3838	1.73e-10
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.ERRFI1_1Mwindow.wgt.RDat	ERRFI1	1	7571787	8586369	0.4899		    NA		       NA	   NA	     NA	0	0	lasso	0.022	3.7e-06	     NA	      NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.UCHL5_1Mwindow.wgt.RDat	UCHL5	1	192481384	193529206	0.0391	rs10489872	 -3.24	rs12123511	 0.000956	 3.75	 0.8330	337	337	blup	0.0098	0.0016	 0.9100	3.63e-01
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SLFNL1_1Mwindow.wgt.RDat	SLFNL1	1	40981269	41987397	0.0692	rs1571288	  4.94	rs16865685	-0.001000	 7.18	 0.6744	419	419	blup	0.00084	0.18	-1.3661	1.72e-01
