PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_memory	RA_only/B_memory_5pcs_all/B_memory.ARHGEF3_1Mwindow.wgt.RDat	ARHGEF3	3	56261448	57613296	0.0339	rs1869156	-4.31	rs3821414	 2.41e-02	 4.94	 0.4924	541	  1	top1	0.024	7.3e-07	 0.4924	6.22e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.CD96_1Mwindow.wgt.RDat	CD96	3	110761044	111884843	0.0582	rs4682062	-3.86	rs1391361	 4.77e-02	 6.53	-0.1723	516	  1	top1	0.048	4.1e-12	-0.1723	8.63e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.ZDHHC19_1Mwindow.wgt.RDat	ZDHHC19	3	195424323	196438271	0.0411	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.017	2.5e-05	     NA	      NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.FAM3D-AS1_1Mwindow.wgt.RDat	FAM3D-AS1	3	58092807	59120167	0.0197	rs17059051	 3.98	rs13101057	-8.54e-04	 5.12	 0.0505	346	  3	lasso	0.04	2.3e-10	 0.2386	8.11e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.TKT_1Mwindow.wgt.RDat	TKT	3	52758728	53790038	0.0463	rs2079929	-7.06	rs750527	-1.01e-03	-4.17	 1.3295	412	  2	enet	0.0016	0.11	 0.6319	5.27e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC02028_1Mwindow.wgt.RDat	LINC02028	3	193223245	194288759	0.0753	rs10933711	 8.57	rs4687506	-8.01e-04	 4.17	-0.5924	491	491	blup	-0.00032	0.41	-0.2465	8.05e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.WDR5B-DT_1Mwindow.wgt.RDat	WDR5B-DT	3	121635053	122662094	0.0328	rs2689283	11.25	rs17266816	 2.62e-02	 4.59	-0.2313	482	  1	top1	0.026	2.6e-07	-0.2313	8.17e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.TMEM108_1Mwindow.wgt.RDat	TMEM108	3	132257235	133616619	0.0463	rs6800166	 4.18	rs940899	-1.03e-03	 3.74	-0.0617	606	  1	top1	-0.001	0.93	-0.0617	9.51e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.UROC1_1Mwindow.wgt.RDat	UROC1	3	125700009	126736616	0.0674	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	-0.00015	0.36	     NA	      NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.SSR3_1Mwindow.wgt.RDat	SSR3	3	155757342	156772906	0.0279	rs1529581	-3.31	rs9848416	-1.04e-03	-4.16	-0.7024	397	397	blup	0.0022	0.076	-1.0852	2.78e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.WWTR1-IT1_1Mwindow.wgt.RDat	WWTR1-IT1	3	148866712	149869760	0.0773	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	0.0013	0.14	     NA	      NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.ERICH6-AS1_1Mwindow.wgt.RDat	ERICH6-AS1	3	149921351	150937933	0.0381	rs9838013	 4.07	rs906766	 5.30e-03	 4.13	 0.6126	400	  1	top1	0.0053	0.013	 0.6126	5.40e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC02029_1Mwindow.wgt.RDat	LINC02029	3	156299630	157306336	0.0175	rs900399	-4.55	rs6441115	-7.61e-04	 3.92	-2.8232	425	425	blup	0.0018	0.098	-1.8073	7.07e-02
B_memory	RA_only/B_memory_5pcs_all/B_memory.INKA1_1Mwindow.wgt.RDat	INKA1	3	49340694	50342463	0.0142	rs2624847	 7.71	rs13071087	 1.79e-02	 3.93	-5.0332	316	  1	top1	0.018	1.8e-05	-5.0332	4.82e-07
B_memory	RA_only/B_memory_5pcs_all/B_memory.OGG1_1Mwindow.wgt.RDat	OGG1	3	9291636	10308334	0.0295	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.01	0.0011	     NA	      NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.ZMAT3_1Mwindow.wgt.RDat	ZMAT3	3	178235011	179290301	0.0249	rs4855074	 4.65	rs4621371	 7.80e-03	 3.96	-2.3321	403	403	blup	0.0095	0.0014	-2.0178	4.36e-02
B_memory	RA_only/B_memory_5pcs_all/B_memory.PLSCR2_1Mwindow.wgt.RDat	PLSCR2	3	145609207	146713778	0.0399	rs1978683	-2.93	rs7621072	-7.88e-04	 5.01	 0.0217	464	464	blup	0.002	0.088	 0.9241	3.55e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.RPSA_1Mwindow.wgt.RDat	RPSA	3	38948211	39954033	0.0203	rs811970	 4.26	rs617068	-6.88e-04	 3.37	-0.3363	416	416	blup	0.0013	0.13	 1.5422	1.23e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.CCR2_1Mwindow.wgt.RDat	CCR2	3	45895602	46902431	0.0244	rs6764523	 3.50	rs3181039	 2.99e-03	-3.46	 0.8288	426	  1	top1	0.003	0.049	-0.8288	4.07e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.GFM1_1Mwindow.wgt.RDat	GFM1	3	157862316	158913370	0.0163	rs7639579	 3.32	rs6441215	 6.60e-03	-4.05	 1.1344	405	  1	top1	0.0066	0.0066	-1.1344	2.57e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.OSTN-AS1_1Mwindow.wgt.RDat	OSTN-AS1	3	190431080	191452394	0.0359	rs12631642	 3.59	rs4677735	 1.89e-02	-5.15	-0.6120	473	  1	enet	0.019	9.1e-06	-0.5993	5.49e-01
B_memory	RA_only/B_memory_5pcs_all/B_memory.RBMS3-AS2_1Mwindow.wgt.RDat	RBMS3-AS2	3	29157627	30184307	1.0003	rs1506280	 4.20	rs6549937	-1.04e-03	 9.62	-1.1612	596	596	blup	-0.001	0.9	-0.8855	3.76e-01
