PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.LIPN_1Mwindow.wgt.RDat	LIPN	10	90019777	91039383	0.0288	rs7922058	  5.37	rs407433	-0.000749	 3.96	-0.1625	535	535	blup	0.007	0.007	 0.7603	4.47e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.TBC1D12_1Mwindow.wgt.RDat	TBC1D12	10	95662298	96796089	0.0259	rs10786155	 -4.37	rs11187968	 0.000675	-3.70	 0.4760	378	378	blup	0.01	0.0013	 0.9093	3.63e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.NKX6-2_1Mwindow.wgt.RDat	NKX6-2	10	134096685	135099651	0.0973	rs1133400	 13.73	rs11146559	-0.001102	 5.82	-0.6455	409	  1	top1	-0.0011	0.93	-0.6455	5.19e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ADIRF_1Mwindow.wgt.RDat	ADIRF	10	88228239	89230672	0.0507	NA	    NA	NA	       NA	   NA	     NA	  0	  0	enet	-0.00087	0.64	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.KNDC1_1Mwindow.wgt.RDat	KNDC1	10	134473723	135539916	0.0526	rs11146456	 11.01	rs2998144	 0.041129	 5.13	 0.0269	420	  1	top1	0.041	4.7e-10	 0.0269	9.79e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ECHDC3_1Mwindow.wgt.RDat	ECHDC3	10	11284381	12306069	0.0480	rs11257127	  3.75	rs3814627	-0.000738	-4.31	 0.0183	434	434	blup	0.015	0.00013	-0.6975	4.85e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.UTF1_1Mwindow.wgt.RDat	UTF1	10	134543721	135545062	0.0856	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.062	1.8e-14	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.DNA2_1Mwindow.wgt.RDat	DNA2	10	69673821	70731878	0.0260	rs12771648	 -5.18	rs11596653	 0.002129	 4.90	 1.2698	402	402	blup	0.0039	0.033	-3.3131	9.23e-04
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.DLG5-AS1_1Mwindow.wgt.RDat	DLG5-AS1	10	79186570	80189583	0.3632	rs1877998	-12.19	rs1863831	-0.001037	10.71	-2.8079	466	  1	lasso	-0.001	0.78	-2.8079	4.99e-03
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.NEBL_1Mwindow.wgt.RDat	NEBL	10	20568902	22081979	0.1461	rs3858202	 -6.56	rs7906397	 0.077513	 9.67	 2.0177	664	  1	enet	0.089	3.2e-20	 2.0177	4.36e-02
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.FRMPD2_1Mwindow.wgt.RDat	FRMPD2	10	48864602	49982739	0.0291	rs11101474	 -3.22	rs935264	-0.001064	 4.41	 0.0100	325	325	blup	0.002	0.093	 0.1687	8.66e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ACTA2_1Mwindow.wgt.RDat	ACTA2	10	90194831	91251154	0.0592	rs2153856	 -4.37	rs7097572	 0.018556	-5.17	 0.8521	562	  1	top1	0.019	2.4e-05	-0.8521	3.94e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CYP2C8_1Mwindow.wgt.RDat	CYP2C8	10	96296529	97329254	0.0302	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	-0.00094	0.69	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.C10orf53_1Mwindow.wgt.RDat	C10orf53	10	50387697	51418307	0.0283	rs12249370	 -4.66	rs12356287	-0.000957	 3.89	 0.5315	316	316	blup	-0.00063	0.51	 1.7834	7.45e-02
