PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.YPEL1_1Mwindow.wgt.RDat	YPEL1	22	21551825	22590083	0.0272	rs7444	-7.71	rs6000043	 0.007239	-3.39	-0.562	320	320	blup	0.012	0.00045	 3.685	0.000229
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.FAM118A_1Mwindow.wgt.RDat	FAM118A	22	45204841	46237836	0.1139	rs132811	 2.88	rs136604	 0.104460	10.18	-2.359	586	  1	top1	0.1	6.5e-24	-2.359	0.018324
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.APOBEC3H_1Mwindow.wgt.RDat	APOBEC3H	22	38993249	40000072	0.0327	rs5757366	 2.93	rs1569498	-0.001024	 2.86	-0.718	390	390	blup	0.0027	0.064	 0.292	0.770266
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.TEF_1Mwindow.wgt.RDat	TEF	22	41263459	42295330	0.0192	rs9611528	 2.47	rs139515	-0.000863	-2.89	-0.751	251	251	blup	0.0064	0.0088	 0.109	0.913296
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.GSTT4_1Mwindow.wgt.RDat	GSTT4	22	23840595	24847350	0.1384	rs5996675	-4.52	rs738798	-0.000434	 4.61	 0.687	361	  1	top1	-0.00043	0.44	 0.687	0.492083
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SYNGR1_1Mwindow.wgt.RDat	SYNGR1	22	39245996	40281580	0.1297	rs2413589	 2.81	rs2069235	 0.077709	 9.10	-1.693	371	  7	enet	0.079	2.3e-18	-1.040	0.298407
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.CRYBB2_1Mwindow.wgt.RDat	CRYBB2	22	25115606	26127836	0.1365	rs4822549	 3.92	rs6004675	 0.141825	11.56	-1.275	375	  1	top1	0.14	2e-32	-1.275	0.202233
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.ACR_1Mwindow.wgt.RDat	ACR	22	50676632	51683767	0.9944	rs35812349	-2.99	rs2066770	-0.000974	 6.01	 0.210	187	 13	lasso	-3.2e-05	0.32	-0.836	0.402966
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.CASTOR1_1Mwindow.wgt.RDat	CASTOR1	22	30181106	31185494	0.0323	rs1001409	-3.02	rs16988925	-0.001094	 3.62	 0.984	408	408	blup	0.0088	0.0026	-1.330	0.183645
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SEC14L4_1Mwindow.wgt.RDat	SEC14L4	22	30384889	31401682	0.0519	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	0.021	6.5e-06	    NA	      NA
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SMDT1_1Mwindow.wgt.RDat	SMDT1	22	41975704	42980288	0.0458	rs10483213	 3.33	rs133382	 0.057145	-7.71	 0.228	308	  1	top1	0.057	1.4e-13	-0.228	0.819983
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.SNAP29_1Mwindow.wgt.RDat	SNAP29	22	20713295	21745502	0.0321	rs165626	 2.45	rs165912	 0.003678	 4.50	-2.235	365	  6	enet	0.021	6.2e-06	-0.247	0.805095
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.LIF-AS2_1Mwindow.wgt.RDat	LIF-AS2	22	30142199	31142982	0.0262	rs1001409	-3.02	rs2269961	-0.000872	 3.83	-0.763	411	411	blup	0.0062	0.0099	 0.444	0.657065
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.MAFF_1Mwindow.wgt.RDat	MAFF	22	38098001	39112518	0.0276	rs5750592	 2.42	rs3827356	 0.020787	-4.54	-1.787	286	286	blup	0.021	6.7e-06	 0.757	0.448928
NK_CD56bright	RA_only/NK_CD56bright_5pcs_all/NK_CD56bright.A4GALT_1Mwindow.wgt.RDat	A4GALT	22	42588127	43617307	0.0642	rs4822185	 3.10	rs738526	 0.047973	 7.02	 0.090	453	  1	lasso	0.049	6.8e-12	 0.101	0.919550
