PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK	RA_only/NK_5pcs_all/NK.RBM6_1Mwindow.wgt.RDat	RBM6	3	49477583	50614682	0.0162	rs6809879	 -6.07	rs2240327	 0.003492	 4.58	 0.8552	362	362	blup	0.01	9e-04	 0.8141	4.16e-01
NK	RA_only/NK_5pcs_all/NK.GHRL_1Mwindow.wgt.RDat	GHRL	3	9827350	10834631	0.0406	rs6792811	  3.66	rs4684717	-0.001025	-3.32	-0.1903	607	607	blup	0.0092	0.0017	 0.2614	7.94e-01
NK	RA_only/NK_5pcs_all/NK.IGSF11_1Mwindow.wgt.RDat	IGSF11	3	118119404	119364867	0.1033	rs7649930	 -6.59	rs4284973	 0.068258	 9.33	 1.0036	578	  1	top1	0.068	8.3e-17	 1.0036	3.16e-01
NK	RA_only/NK_5pcs_all/NK.SACM1L_1Mwindow.wgt.RDat	SACM1L	3	45230888	46286901	0.1021	rs5017952	 -3.67	rs2742424	 0.097785	 9.78	 0.1608	491	  2	lasso	0.1	3.6e-24	 0.2276	8.20e-01
NK	RA_only/NK_5pcs_all/NK.STIMATE_1Mwindow.wgt.RDat	STIMATE	3	52370749	53431564	0.0293	rs3755799	  5.04	rs7549	 0.003953	-4.38	 2.0868	397	397	blup	0.0095	0.0014	-0.6042	5.46e-01
NK	RA_only/NK_5pcs_all/NK.TIPARP-AS1_1Mwindow.wgt.RDat	TIPARP-AS1	3	155890960	156893502	0.0325	rs8792	  7.34	rs1367311	 0.030939	-5.74	 3.9171	428	  1	top1	0.031	2.1e-08	-3.9171	8.96e-05
NK	RA_only/NK_5pcs_all/NK.PSMD6-AS2_1Mwindow.wgt.RDat	PSMD6-AS2	3	63489698	64497919	0.0410	rs1390443	 -3.68	rs6764606	-0.000443	 4.29	-0.5369	548	548	blup	0.0087	0.0021	-0.5872	5.57e-01
NK	RA_only/NK_5pcs_all/NK.EFHB_1Mwindow.wgt.RDat	EFHB	3	19420964	20488475	0.0551	rs2929387	 -4.08	rs1133328	 0.057529	 7.97	 3.1402	391	  1	top1	0.058	2.3e-14	 3.1402	1.69e-03
NK	RA_only/NK_5pcs_all/NK.ITIH4_1Mwindow.wgt.RDat	ITIH4	3	52346978	53364688	0.0245	rs3755799	  5.04	rs17331151	 0.027648	-5.48	 3.2021	395	  1	top1	0.028	1.2e-07	-3.2021	1.36e-03
NK	RA_only/NK_5pcs_all/NK.IQCJ-SCHIP1_1Mwindow.wgt.RDat	IQCJ-SCHIP1	3	158287108	160115148	0.0514	rs1435642	 -4.64	rs2615053	 0.004022	 3.72	-0.4913	697	697	blup	0.005	0.015	-1.0847	2.78e-01
NK	RA_only/NK_5pcs_all/NK.LINC02082_1Mwindow.wgt.RDat	LINC02082	3	168119733	169139784	0.0371	rs879394	-12.28	rs1420470	-0.000733	 4.09	 5.1342	385	385	blup	-7e-04	0.57	 1.5975	1.10e-01
NK	RA_only/NK_5pcs_all/NK.ADGRG7_1Mwindow.wgt.RDat	ADGRG7	3	99828445	100914323	0.4418	rs17584271	  6.53	rs7615467	 0.062132	 6.15	 0.8740	459	  3	lasso	0.11	3.1e-27	 2.5996	9.33e-03
NK	RA_only/NK_5pcs_all/NK.ANAPC13_1Mwindow.wgt.RDat	ANAPC13	3	133696546	134704865	0.0263	rs6767950	 -3.28	rs9841212	 0.020629	-5.34	 1.0927	471	  1	top1	0.021	4.3e-06	-1.0927	2.75e-01
NK	RA_only/NK_5pcs_all/NK.MCF2L2_1Mwindow.wgt.RDat	MCF2L2	3	182395829	183646407	0.0587	rs2313214	 -6.17	rs4859188	 0.056091	-6.98	-0.2043	496	  1	top1	0.056	4.8e-14	 0.2043	8.38e-01
NK	RA_only/NK_5pcs_all/NK.MUC20_1Mwindow.wgt.RDat	MUC20	3	194947849	195960422	0.0746	rs11928440	  4.26	rs9886958	 0.021643	 5.68	-1.3159	301	301	blup	0.025	5.2e-07	-3.1246	1.78e-03
NK	RA_only/NK_5pcs_all/NK.LARS2_1Mwindow.wgt.RDat	LARS2	3	44930068	46090899	0.0240	rs5017952	 -3.67	rs2306522	 0.002021	-4.31	 1.6551	579	579	blup	0.0067	0.0062	-1.1186	2.63e-01
NK	RA_only/NK_5pcs_all/NK.ENTPD3-AS1_1Mwindow.wgt.RDat	ENTPD3-AS1	3	39932442	40994799	0.0170	rs10865893	  4.23	rs7631893	 0.006478	 4.35	-0.2241	312	  1	top1	0.0065	0.007	-0.2241	8.23e-01
NK	RA_only/NK_5pcs_all/NK.HSPBAP1_1Mwindow.wgt.RDat	HSPBAP1	3	121958846	123012678	0.0855	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.086	5.3e-21	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.LINC00886_1Mwindow.wgt.RDat	LINC00886	3	155965132	157034851	0.0381	rs8792	  7.34	rs1430410	 0.013572	 4.36	 5.2012	459	459	blup	0.017	2.6e-05	-0.1250	9.00e-01
NK	RA_only/NK_5pcs_all/NK.GOLIM4_1Mwindow.wgt.RDat	GOLIM4	3	167226477	168313712	0.0432	rs7628302	  3.17	rs10936548	 0.005201	-4.11	 1.1086	352	352	blup	0.0063	0.0078	-0.2606	7.94e-01
NK	RA_only/NK_5pcs_all/NK.CMC1_1Mwindow.wgt.RDat	CMC1	3	27783110	28866633	0.0958	rs6800659	  3.35	rs4398387	 0.015309	 6.09	-0.2771	449	  1	lasso	0.063	1.5e-15	-0.3884	6.98e-01
NK	RA_only/NK_5pcs_all/NK.CD47_1Mwindow.wgt.RDat	CD47	3	107261938	108309878	0.0717	rs7635063	 -3.51	rs326341	 0.044695	 7.52	-3.1676	440	  5	enet	0.062	2.2e-15	-2.2081	2.72e-02
NK	RA_only/NK_5pcs_all/NK.CCDC66_1Mwindow.wgt.RDat	CCDC66	3	56091184	57155865	0.0536	rs17216573	  8.99	rs17216685	 0.040229	 6.65	 0.6197	463	463	blup	0.043	5e-11	 2.3450	1.90e-02
NK	RA_only/NK_5pcs_all/NK.TIGIT_1Mwindow.wgt.RDat	TIGIT	3	113512875	114529135	0.0475	rs11921658	  3.22	rs2683789	 0.007155	 3.68	-0.2088	362	362	blup	0.012	0.00031	-0.1125	9.10e-01
NK	RA_only/NK_5pcs_all/NK.WDR5B-DT_1Mwindow.wgt.RDat	WDR5B-DT	3	121635053	122662094	0.0261	rs9811389	  3.50	rs11932	 0.025039	-5.19	-2.3781	482	  1	top1	0.025	4.4e-07	 2.3781	1.74e-02
NK	RA_only/NK_5pcs_all/NK.LIPH_1Mwindow.wgt.RDat	LIPH	3	184724050	185770376	0.3291	rs764129	 -6.80	rs2165609	 0.301194	18.23	 0.1423	383	383	blup	0.32	1.9e-84	 2.4526	1.42e-02
NK	RA_only/NK_5pcs_all/NK.PIK3CB_1Mwindow.wgt.RDat	PIK3CB	3	137871540	139053770	0.0158	rs4678258	 -3.45	rs17484361	 0.001122	 3.72	-0.2888	339	339	blup	0.0068	0.006	 0.8934	3.72e-01
NK	RA_only/NK_5pcs_all/NK.GPR62_1Mwindow.wgt.RDat	GPR62	3	51489397	52491515	0.0927	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.073	6.5e-18	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.ARHGEF3_1Mwindow.wgt.RDat	ARHGEF3	3	56261448	57613296	0.0840	rs17216573	  8.99	rs6787106	 0.086471	 9.27	-0.6901	541	  1	top1	0.086	5.3e-21	-0.6901	4.90e-01
NK	RA_only/NK_5pcs_all/NK.LPP_1Mwindow.wgt.RDat	LPP	3	187370809	189108460	0.0557	rs12696583	 -5.71	rs1546736	 0.000167	 3.38	-1.1527	798	798	blup	0.0091	0.0017	-0.7417	4.58e-01
NK	RA_only/NK_5pcs_all/NK.OXNAD1_1Mwindow.wgt.RDat	OXNAD1	3	15806719	16893602	0.0831	rs12629276	  3.63	rs2470508	 0.057766	 7.58	 2.0086	582	  1	top1	0.058	2e-14	 2.0086	4.46e-02
NK	RA_only/NK_5pcs_all/NK.SLC25A26_1Mwindow.wgt.RDat	SLC25A26	3	65619285	66929351	0.0558	rs17832432	 -4.00	rs1680394	 0.018518	-4.99	-1.8541	565	565	blup	0.027	1.3e-07	 0.9051	3.65e-01
NK	RA_only/NK_5pcs_all/NK.MANF_1Mwindow.wgt.RDat	MANF	3	50922722	51926828	0.0250	rs12637997	 -3.67	rs4468966	 0.000229	-4.12	 0.0352	239	  1	top1	0.00023	0.27	-0.0352	9.72e-01
NK	RA_only/NK_5pcs_all/NK.MLF1_1Mwindow.wgt.RDat	MLF1	3	157788983	158824245	0.0371	rs1435642	 -4.64	rs6768636	 0.036180	 6.48	 1.8145	398	  1	top1	0.036	1.4e-09	 1.8145	6.96e-02
NK	RA_only/NK_5pcs_all/NK.NBEAL2_1Mwindow.wgt.RDat	NBEAL2	3	46521156	47551191	0.0371	rs13059519	 -4.14	rs6794193	 0.035418	-6.57	-3.8770	297	  1	top1	0.035	2.1e-09	 3.8770	1.06e-04
NK	RA_only/NK_5pcs_all/NK.PARP14_1Mwindow.wgt.RDat	PARP14	3	121899686	122949687	0.0429	rs9820435	 -3.60	rs10804558	 0.010957	-4.93	 0.3026	556	  4	lasso	0.016	4.4e-05	-1.0803	2.80e-01
NK	RA_only/NK_5pcs_all/NK.B4GALT4_1Mwindow.wgt.RDat	B4GALT4	3	118430589	119459725	0.0289	rs7649930	 -6.59	rs9869645	 0.001311	 4.41	 3.4660	504	504	blup	0.0061	0.0084	 2.2856	2.23e-02
