PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FADS2_1Mwindow.wgt.RDat	FADS2	11	61083675	62134826	0.1733	rs748902	 2.89	rs968567	 1.18e-01	 11.34	 0.8179	411	  1	top1	0.12	2.2e-28	 0.8179	0.41341
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.EI24_1Mwindow.wgt.RDat	EI24	11	124939373	125954579	0.0337	rs4081796	-3.98	rs479932	 1.14e-02	 -4.13	-2.5046	552	  1	top1	0.011	0.00051	 2.5046	0.01226
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NCAPD3_1Mwindow.wgt.RDat	NCAPD3	11	133520008	134595355	0.0572	rs671974	-2.65	rs11606866	 1.74e-02	  4.61	-2.0922	595	595	blup	0.018	1.7e-05	-0.7903	0.42934
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.OR51B4_1Mwindow.wgt.RDat	OR51B4	11	4822244	5823176	0.0708	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	0.014	0.00013	     NA	     NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CTSW_1Mwindow.wgt.RDat	CTSW	11	65147308	66151212	0.2019	rs7924580	-4.47	rs601863	 1.94e-01	-13.81	-0.0351	349	 13	enet	0.2	1.1e-47	 0.1188	0.90540
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FXYD2_1Mwindow.wgt.RDat	FXYD2	11	117190772	118198804	0.0800	rs693147	-2.81	rs7117314	 4.43e-02	 -6.66	-1.9964	663	  2	lasso	0.048	3e-12	 2.0738	0.03810
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.KAT5_1Mwindow.wgt.RDat	KAT5	11	64979723	65987075	0.0276	rs2307264	 2.88	rs2306365	 1.94e-03	 -3.69	-0.8477	334	334	blup	0.0049	0.016	 1.0203	0.30761
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.P4HA3_1Mwindow.wgt.RDat	P4HA3	11	73477702	74522685	0.0439	rs11236000	 2.24	rs6592545	 1.32e-02	  5.86	 0.7541	433	433	blup	0.031	2.3e-08	 1.8544	0.06368
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TIRAP_1Mwindow.wgt.RDat	TIRAP	11	125652988	126664828	0.0304	rs10790822	 4.12	rs240542	-8.94e-04	 -3.62	 1.1792	643	643	blup	0.0071	0.0049	-0.4563	0.64817
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SF1_1Mwindow.wgt.RDat	SF1	11	64032078	65046014	0.0338	rs10897540	 3.59	rs7939965	 8.77e-03	  5.11	-0.3264	348	348	blup	0.023	1.6e-06	-1.0334	0.30140
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TMEM9B_1Mwindow.wgt.RDat	TMEM9B	11	8468749	9486494	0.0361	NA	   NA	NA	       NA	    NA	     NA	366	  0	blup	0.022	2.6e-06	     NA	     NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ACAT1_1Mwindow.wgt.RDat	ACAT1	11	107487432	108518330	0.0475	rs4533001	-4.41	rs4988023	 2.63e-02	  5.77	-0.9848	374	  1	top1	0.026	2.4e-07	-0.9848	0.32473
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TMEM41B_1Mwindow.wgt.RDat	TMEM41B	11	8802201	9836140	0.0221	NA	   NA	NA	       NA	    NA	     NA	390	  0	top1	0.0026	0.059	     NA	     NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ACER3_1Mwindow.wgt.RDat	ACER3	11	76071962	77237841	0.0577	rs4945144	 2.95	rs7942574	 1.66e-02	  4.76	 1.7729	457	  1	top1	0.017	3.5e-05	 1.7729	0.07625
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.P2RX3_1Mwindow.wgt.RDat	P2RX3	11	56605826	57639869	0.4738	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	-0.00082	0.65	     NA	     NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ROBO3_1Mwindow.wgt.RDat	ROBO3	11	124235328	125251367	0.0575	rs4081796	-3.98	rs11219821	 2.61e-02	  6.07	-1.1770	487	  1	lasso	0.035	3.1e-09	-1.1770	0.23920
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ARL14EP_1Mwindow.wgt.RDat	ARL14EP	11	29844651	30859770	0.0333	rs11031118	 3.93	rs1856142	 1.43e-02	 -5.26	-2.0097	398	398	blup	0.018	1.4e-05	 1.9619	0.04977
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.VWCE_1Mwindow.wgt.RDat	VWCE	11	60525758	61562788	0.0373	rs488731	-2.89	rs2240287	 5.49e-03	  4.39	 1.1628	360	360	blup	0.0059	0.0095	 1.7321	0.08326
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.IFITM2_1Mwindow.wgt.RDat	IFITM2	11	0	809395	0.0973	rs7924341	-2.77	rs10398	 2.26e-02	  6.18	-1.1189	302	  1	enet	0.046	7.6e-12	-1.1189	0.26318
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TIMM10_1Mwindow.wgt.RDat	TIMM10	11	56795937	57798227	0.1064	rs2955849	-4.63	rs2729371	 6.90e-02	  8.63	 3.0221	380	  1	top1	0.069	5.7e-17	 3.0221	0.00251
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PPFIBP2_1Mwindow.wgt.RDat	PPFIBP2	11	7035230	8179372	0.2240	rs7122137	 3.03	rs4322372	 2.02e-01	  9.55	 0.5839	716	  1	lasso	0.2	1.4e-49	-1.4589	0.14459
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.KCTD21-AS1_1Mwindow.wgt.RDat	KCTD21-AS1	11	77350839	78385023	0.0708	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.082	6.4e-20	     NA	     NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RCOR2_1Mwindow.wgt.RDat	RCOR2	11	63178702	64184636	0.0468	rs12286894	-2.45	rs11231699	-1.03e-03	  5.86	 0.8454	291	  4	lasso	0.048	3.6e-12	 0.6501	0.51560
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MPZL3_1Mwindow.wgt.RDat	MPZL3	11	117597405	118623080	0.0454	rs494459	-3.05	rs1056562	 4.68e-02	  7.05	 1.1986	541	  1	top1	0.047	6.1e-12	 1.1986	0.23068
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CD151_1Mwindow.wgt.RDat	CD151	11	332952	1338831	0.0937	rs5743899	-3.82	rs5030779	 7.82e-02	 -8.73	-1.8972	402	  1	top1	0.078	4.6e-19	 1.8972	0.05780
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FAR1_1Mwindow.wgt.RDat	FAR1	11	13190215	14253893	0.0436	rs2128115	-4.26	rs7944127	 4.42e-02	  6.86	 0.5020	514	  1	top1	0.044	2.4e-11	 0.5020	0.61564
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NUCB2_1Mwindow.wgt.RDat	NUCB2	11	16798286	17853758	0.0233	rs448671	-3.19	rs16933823	-2.38e-04	 -3.95	 1.0803	560	560	blup	0.0025	0.064	-0.4524	0.65095
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SLC43A3_1Mwindow.wgt.RDat	SLC43A3	11	56674427	57695053	0.0277	rs2955849	-4.63	rs4570598	-2.53e-06	  3.79	 2.9811	377	377	blup	0.009	0.0018	-0.8297	0.40673
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.DEAF1_1Mwindow.wgt.RDat	DEAF1	11	144220	1207083	0.0423	rs4963207	-3.21	rs11246265	 2.32e-02	  5.61	-1.1694	454	  1	top1	0.023	1.1e-06	-1.1694	0.24225
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TMEM123_1Mwindow.wgt.RDat	TMEM123	11	101767063	102823496	0.0423	rs10895348	 2.25	rs549513	 1.89e-02	 -4.85	 0.5380	520	  1	top1	0.019	1e-05	-0.5380	0.59058
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ATM_1Mwindow.wgt.RDat	ATM	11	107593794	108739829	0.0350	rs4533001	-4.43	rs3781868	 3.09e-02	 -6.73	 2.1066	363	363	blup	0.04	2.1e-10	-1.7756	0.07579
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LDHC_1Mwindow.wgt.RDat	LDHC	11	17933865	18973610	0.2710	rs2291752	-2.63	rs2643856	 3.50e-01	 18.64	 1.1028	447	  3	enet	0.36	5e-95	 0.8690	0.38483
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.UCP2_1Mwindow.wgt.RDat	UCP2	11	73185717	74194247	0.1015	rs11823289	-2.28	rs15763	 2.03e-02	  5.47	-0.3433	362	  1	top1	0.02	5e-06	-0.3433	0.73137
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.KMT2A_1Mwindow.wgt.RDat	KMT2A	11	117807207	118897547	0.0235	rs555639	-3.13	rs11217033	-1.03e-03	 -3.99	 1.5118	484	484	blup	0.0059	0.0098	 0.2773	0.78157
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SLC22A18_1Mwindow.wgt.RDat	SLC22A18	11	2420921	3446476	0.0947	rs4619135	-2.87	rs16928809	 5.33e-02	  7.68	 0.4607	468	  1	top1	0.053	2.1e-13	 0.4607	0.64501
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.WNT11_1Mwindow.wgt.RDat	WNT11	11	75397369	76417546	0.9831	NA	   NA	NA	       NA	    NA	     NA	440	  0	lasso	-0.00072	0.58	     NA	     NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CTSF_1Mwindow.wgt.RDat	CTSF	11	65830935	66836077	0.0139	rs7947391	-5.09	rs1815739	 9.31e-04	 -4.10	 0.8269	256	256	blup	0.0064	0.0073	-2.3335	0.01962
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.COPB1_1Mwindow.wgt.RDat	COPB1	11	13979058	15021357	0.0214	rs16913578	-2.88	rs2575850	 5.64e-03	 -4.12	-1.3790	349	349	blup	0.014	0.00014	 1.5140	0.13003
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SWAP70_1Mwindow.wgt.RDat	SWAP70	11	9185624	10274540	0.0258	NA	   NA	NA	       NA	    NA	     NA	376	  0	blup	0.017	2.5e-05	     NA	     NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC02696_1Mwindow.wgt.RDat	LINC02696	11	44876922	45878208	0.0755	rs10769170	-3.73	rs1530872	 6.81e-02	  6.36	 0.6089	493	  1	top1	0.068	9.6e-17	 0.6089	0.54257
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.FNBP4_1Mwindow.wgt.RDat	FNBP4	11	47238046	48288893	0.0197	rs896816	-2.19	rs7927445	 1.04e-03	 -4.29	-0.4729	305	  2	enet	0.0029	0.052	 1.2309	0.21837
