PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_memory	RA_only/B_memory_5pcs_all/B_memory.CD14_1Mwindow.wgt.RDat	CD14	5	139511317	140513286	0.0151	rs13175916	-3.40	rs778584	 5.04e-04	 -4.15	-0.271	343	343	blup	0.0056	0.011	-0.3761	0.7069
B_memory	RA_only/B_memory_5pcs_all/B_memory.PDGFRB_1Mwindow.wgt.RDat	PDGFRB	5	148993402	150035408	0.0442	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.0013	0.14	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.PRR7-AS1_1Mwindow.wgt.RDat	PRR7-AS1	5	176364890	177374945	0.1812	rs335434	 3.42	rs466256	 1.18e-01	-10.73	-3.023	237	  1	top1	0.12	2.6e-28	 3.0232	0.0025
B_memory	RA_only/B_memory_5pcs_all/B_memory.GPX8_1Mwindow.wgt.RDat	GPX8	5	53955999	54963125	0.1505	NA	   NA	NA	       NA	    NA	    NA	416	  0	top1	-0.00098	0.82	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.EXOC3_1Mwindow.wgt.RDat	EXOC3	5	0	967405	0.0295	rs11134149	 3.45	rs10072668	 2.87e-02	  5.41	 1.906	304	  1	top1	0.029	6.9e-08	 1.9056	0.0567
B_memory	RA_only/B_memory_5pcs_all/B_memory.ERAP2_1Mwindow.wgt.RDat	ERAP2	5	95711643	96755420	0.0653	rs266695	-2.48	rs27300	 8.46e-02	  9.21	 0.940	501	  1	top1	0.085	1.6e-20	 0.9400	0.3472
B_memory	RA_only/B_memory_5pcs_all/B_memory.EFCAB9_1Mwindow.wgt.RDat	EFCAB9	5	171121176	172130458	0.0412	rs6889761	-2.52	rs10043108	-1.01e-03	  3.95	-0.301	518	518	blup	-9e-04	0.72	-0.4089	0.6826
B_memory	RA_only/B_memory_5pcs_all/B_memory.TRIM36_1Mwindow.wgt.RDat	TRIM36	5	113960469	115015991	0.0524	rs265422	 2.94	rs897480	-1.02e-03	  7.57	-0.108	421	421	blup	-2e-04	0.37	-2.3620	0.0182
B_memory	RA_only/B_memory_5pcs_all/B_memory.IL12B_1Mwindow.wgt.RDat	IL12B	5	158241788	159257495	0.0466	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.015	8.2e-05	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.BTNL9_1Mwindow.wgt.RDat	BTNL9	5	179967266	180988521	0.0584	rs6859974	 2.52	rs4700774	 6.76e-02	 -8.07	 0.807	269	  1	top1	0.068	1.3e-16	-0.8073	0.4195
B_memory	RA_only/B_memory_5pcs_all/B_memory.SPATA9_1Mwindow.wgt.RDat	SPATA9	5	94487885	95567806	0.0388	rs17084533	 3.08	rs1820043	-1.01e-03	  4.82	-0.586	410	410	blup	-0.00024	0.38	-0.9601	0.3370
B_memory	RA_only/B_memory_5pcs_all/B_memory.PRELID1_1Mwindow.wgt.RDat	PRELID1	5	176230800	177233950	0.0287	rs335434	 3.42	rs522150	 1.56e-02	 -5.19	 0.520	298	  1	top1	0.016	6e-05	-0.5204	0.6028
B_memory	RA_only/B_memory_5pcs_all/B_memory.EPB41L4A_1Mwindow.wgt.RDat	EPB41L4A	5	110978137	112254974	0.0292	rs255889	-2.36	rs341337	 3.22e-03	 -4.14	-0.353	524	524	blup	0.0049	0.017	 0.5223	0.6014
B_memory	RA_only/B_memory_5pcs_all/B_memory.PCDHGC3_1Mwindow.wgt.RDat	PCDHGC3	5	140355533	141392542	0.0320	rs10491313	 2.83	rs10044936	-9.75e-04	  4.96	 1.301	514	514	blup	-0.00062	0.53	 0.5349	0.5927
B_memory	RA_only/B_memory_5pcs_all/B_memory.S100Z_1Mwindow.wgt.RDat	S100Z	5	75645839	76717475	0.0578	rs6886903	 3.55	rs2359427	 2.80e-02	 -4.83	-0.936	588	  1	top1	0.028	1e-07	 0.9357	0.3494
B_memory	RA_only/B_memory_5pcs_all/B_memory.DAP_1Mwindow.wgt.RDat	DAP	5	10179342	11261346	0.0441	rs9312750	-3.81	rs2083232	 8.33e-03	  4.31	-0.152	647	647	blup	0.014	0.00016	 0.0635	0.9493
B_memory	RA_only/B_memory_5pcs_all/B_memory.SIMC1_1Mwindow.wgt.RDat	SIMC1	5	175165427	176272992	0.0379	rs6883338	 2.52	rs6556280	 2.85e-03	  3.98	-0.489	357	357	blup	0.0054	0.013	-1.0991	0.2717
B_memory	RA_only/B_memory_5pcs_all/B_memory.CENPK_1Mwindow.wgt.RDat	CENPK	5	64312119	65358995	0.0212	rs16894427	 2.36	rs2640717	 6.30e-03	  3.83	-1.460	424	424	blup	0.011	0.00078	-0.5697	0.5689
B_memory	RA_only/B_memory_5pcs_all/B_memory.GTF2H2_1Mwindow.wgt.RDat	GTF2H2	5	69831174	70863503	0.1561	NA	   NA	NA	       NA	    NA	    NA	  0	  0	enet	0.026	2.4e-07	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC00491_1Mwindow.wgt.RDat	LINC00491	5	101444196	102507168	0.0165	rs10515337	-2.64	rs1895183	-4.05e-04	  5.39	 0.660	313	  1	top1	-4e-04	0.44	 0.6603	0.5091
B_memory	RA_only/B_memory_5pcs_all/B_memory.TBCA_1Mwindow.wgt.RDat	TBCA	5	76486991	77572163	0.0242	rs1119208	 2.30	rs254378	 7.55e-03	 -4.17	-0.458	491	  1	top1	0.0076	0.004	 0.4581	0.6469
B_memory	RA_only/B_memory_5pcs_all/B_memory.GPX3_1Mwindow.wgt.RDat	GPX3	5	149900152	150908549	0.0314	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.12	8.6e-28	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.MAST4_1Mwindow.wgt.RDat	MAST4	5	65392221	66965421	0.0416	rs17221458	-3.58	rs10059312	-2.61e-05	  3.65	 1.448	732	  2	lasso	0.0022	0.078	 0.3768	0.7063
B_memory	RA_only/B_memory_5pcs_all/B_memory.SETD9_1Mwindow.wgt.RDat	SETD9	5	55705087	56724727	0.0207	rs3843467	 2.75	rs2113079	 7.58e-03	 -4.11	-0.125	483	  1	top1	0.0076	0.0039	 0.1245	0.9009
B_memory	RA_only/B_memory_5pcs_all/B_memory.GM2A_1Mwindow.wgt.RDat	GM2A	5	150132746	151150001	0.0389	rs3734051	 3.57	rs1004736	 3.24e-02	  5.93	-0.246	618	  1	top1	0.032	1.1e-08	-0.2465	0.8053
B_memory	RA_only/B_memory_5pcs_all/B_memory.GNPDA1_1Mwindow.wgt.RDat	GNPDA1	5	140880236	141892592	0.0430	rs10040099	 3.19	rs10515514	-9.51e-04	  3.41	-0.430	543	543	blup	0.0033	0.042	 0.7112	0.4770
B_memory	RA_only/B_memory_5pcs_all/B_memory.CAMK4_1Mwindow.wgt.RDat	CAMK4	5	110059281	111330584	0.0499	rs255889	-2.36	rs252712	 2.18e-02	  5.57	-1.065	506	  2	enet	0.034	5e-09	-0.2527	0.8005
B_memory	RA_only/B_memory_5pcs_all/B_memory.MEF2C-AS1_1Mwindow.wgt.RDat	MEF2C-AS1	5	87679147	89263398	0.0353	rs10514317	 2.89	rs4518438	 5.34e-05	 -3.63	 0.159	401	401	blup	0.0064	0.0074	 0.1983	0.8428
