PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_naive	RA_only/B_naive_5pcs_all/B_naive.KCNH2_1Mwindow.wgt.RDat	KCNH2	7	150142049	151175409	0.0300	rs1234355	-2.77	rs4146035	-0.000132	 -3.65	 0.878	 561	561	blup	0.0019	0.093	-1.6818	0.09260
B_naive	RA_only/B_naive_5pcs_all/B_naive.CCDC126_1Mwindow.wgt.RDat	CCDC126	7	23137001	24184327	0.0378	rs11770728	 3.16	rs11980035	 0.024992	  6.19	 0.842	 457	  2	lasso	0.027	2.1e-07	-0.2233	0.82333
B_naive	RA_only/B_naive_5pcs_all/B_naive.FIS1_1Mwindow.wgt.RDat	FIS1	7	100382753	101388362	0.0418	rs869127	-2.54	rs7808669	 0.000580	 -4.37	-0.399	 362	362	blup	0.012	0.00037	 0.2548	0.79888
B_naive	RA_only/B_naive_5pcs_all/B_naive.CAMK2B_1Mwindow.wgt.RDat	CAMK2B	7	43756753	44865193	0.0602	rs10252662	-2.72	rs1434960	-0.000586	  4.89	 1.282	 391	391	blup	0.006	0.0094	 1.7606	0.07830
B_naive	RA_only/B_naive_5pcs_all/B_naive.TRG-AS1_1Mwindow.wgt.RDat	TRG-AS1	7	37881178	38918238	0.0479	rs41478945	-2.99	rs12532845	 0.019720	  4.84	 2.044	 630	  1	top1	0.02	7.2e-06	 2.0440	0.04095
B_naive	RA_only/B_naive_5pcs_all/B_naive.DENND2A_1Mwindow.wgt.RDat	DENND2A	7	139718219	140841260	0.0531	rs2429215	 3.29	rs6947516	-0.000952	  4.23	 1.080	 387	387	blup	0.012	0.00033	 1.6109	0.10720
B_naive	RA_only/B_naive_5pcs_all/B_naive.LRRC61_1Mwindow.wgt.RDat	LRRC61	7	149506588	150535245	0.0260	rs2074699	-2.85	rs6964110	 0.020177	  4.56	 0.426	 338	  1	top1	0.02	5.7e-06	 0.4260	0.67011
B_naive	RA_only/B_naive_5pcs_all/B_naive.CCZ1B_1Mwindow.wgt.RDat	CCZ1B	7	6338568	7365906	0.0525	rs16877604	-2.35	rs10242703	 0.053188	 -7.05	 0.628	 370	  1	top1	0.053	2.5e-13	-0.6280	0.53000
B_naive	RA_only/B_naive_5pcs_all/B_naive.ZC3HAV1_1Mwindow.wgt.RDat	ZC3HAV1	7	138228261	139294466	0.0341	rs7799136	 2.98	rs7803490	 0.020331	  5.01	-0.706	 416	  1	top1	0.02	5.2e-06	-0.7060	0.48019
B_naive	RA_only/B_naive_5pcs_all/B_naive.ZP3_1Mwindow.wgt.RDat	ZP3	7	75526839	76571386	0.1090	rs17645871	-3.22	rs13232187	 0.050301	  7.21	 0.240	 207	207	blup	0.062	2.6e-15	 0.6689	0.50357
B_naive	RA_only/B_naive_5pcs_all/B_naive.FIGNL1_1Mwindow.wgt.RDat	FIGNL1	7	50011831	51018048	0.0267	rs7776597	 3.81	rs6945253	 0.023866	 -5.34	 0.954	 489	  1	top1	0.024	8.6e-07	-0.9540	0.34008
B_naive	RA_only/B_naive_5pcs_all/B_naive.PILRB_1Mwindow.wgt.RDat	PILRB	7	99455740	100465454	0.0365	rs17249588	-2.24	rs28578163	 0.051252	  7.38	-0.138	 300	  1	enet	0.053	3.4e-13	-0.1380	0.89024
B_naive	RA_only/B_naive_5pcs_all/B_naive.CDK13_1Mwindow.wgt.RDat	CDK13	7	39489855	40639179	0.0407	rs6462968	-2.33	rs9655407	 0.036037	  6.65	-1.254	 304	  1	top1	0.036	1.7e-09	-1.2540	0.20984
B_naive	RA_only/B_naive_5pcs_all/B_naive.LAMB1_1Mwindow.wgt.RDat	LAMB1	7	107064244	108143606	0.0973	rs6466182	 2.90	rs2237685	 0.120452	-11.00	-1.150	 528	  1	top1	0.12	6.9e-29	 1.1500	0.25014
B_naive	RA_only/B_naive_5pcs_all/B_naive.HOXA-AS3_1Mwindow.wgt.RDat	HOXA-AS3	7	26679983	27695547	0.0693	NA	   NA	NA	       NA	    NA	    NA	   0	  0	enet	0.0043	0.024	     NA	     NA
