PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.GAS6-AS1_1Mwindow.wgt.RDat	GAS6-AS1	13	114018583	115045814	0.0732	NA	   NA	NA	       NA	   NA	    NA	341	  0	top1	0.052	4.2e-13	     NA	     NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.RFC3_1Mwindow.wgt.RDat	RFC3	13	33892286	35040695	0.0351	rs12584168	 3.13	rs12869423	-0.000327	 3.79	 0.693	532	  2	lasso	0.011	0.00052	 0.4677	0.64002
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ATP12A_1Mwindow.wgt.RDat	ATP12A	13	24754546	25786610	0.0647	rs11616577	-3.06	rs2901981	-0.001023	 4.62	-1.340	563	  1	top1	-0.001	0.9	-1.3404	0.18010
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.CCDC122_1Mwindow.wgt.RDat	CCDC122	13	43910488	44953876	0.0279	rs3764147	 5.78	rs12874590	 0.026835	 5.68	-2.946	541	  1	top1	0.027	1.9e-07	-2.9458	0.00322
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.EPSTI1_1Mwindow.wgt.RDat	EPSTI1	13	42960524	44066377	0.0422	rs9533108	 4.87	rs3825511	 0.001310	 4.09	-0.613	626	  4	enet	0.0072	0.005	-0.4266	0.66966
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.DNAJC15_1Mwindow.wgt.RDat	DNAJC15	13	43097722	44188349	0.0438	rs4941432	-3.21	rs2281782	 0.032478	-5.85	-0.848	624	  1	top1	0.032	1.1e-08	 0.8477	0.39660
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LINC01232_1Mwindow.wgt.RDat	LINC01232	13	99639216	100651560	0.0265	rs9557195	-4.35	rs2147622	-0.000613	-3.59	 0.272	499	499	blup	0.0016	0.11	 0.0773	0.93835
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LINC02341_1Mwindow.wgt.RDat	LINC02341	13	42499028	43560092	0.0481	rs9533108	 4.87	rs10507512	 0.005241	 4.21	-0.381	622	  1	top1	0.0052	0.014	-0.3811	0.70311
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.GAS6-DT_1Mwindow.wgt.RDat	GAS6-DT	13	114067150	115069805	0.0306	NA	   NA	NA	       NA	   NA	    NA	322	  0	lasso	0.0014	0.13	     NA	     NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.COG6_1Mwindow.wgt.RDat	COG6	13	39729764	40865803	0.0300	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.015	9.4e-05	     NA	     NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.DLEU7_1Mwindow.wgt.RDat	DLEU7	13	50785162	51918075	0.0400	rs9568426	 2.83	rs7331957	-0.000994	 3.32	 0.127	578	578	blup	-0.00042	0.44	 1.5165	0.12940
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LINC00539_1Mwindow.wgt.RDat	LINC00539	13	21377651	22418998	0.0268	rs9509853	-2.39	rs4770130	-0.000895	 3.56	-1.580	400	400	blup	0.002	0.086	-0.2386	0.81143
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.COMMD6_1Mwindow.wgt.RDat	COMMD6	13	75599350	76623575	0.0313	rs7334674	-3.33	rs516872	 0.002633	-4.07	-1.104	545	  2	lasso	0.011	7e-04	-0.3634	0.71630
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.EBPL_1Mwindow.wgt.RDat	EBPL	13	49734810	50765623	0.0308	rs2897689	-2.40	rs9568298	 0.015667	-4.90	 0.787	401	  1	top1	0.016	5.8e-05	-0.7866	0.43150
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.MEDAG_1Mwindow.wgt.RDat	MEDAG	13	30980408	31999709	0.0344	rs3747893	 3.08	rs3923764	-0.000982	 4.97	 1.757	533	533	blup	-0.00036	0.42	 1.5538	0.12023
