PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_naive	RA_only/B_naive_5pcs_all/B_naive.GAB2_1Mwindow.wgt.RDat	GAB2	11	77426339	78628866	0.0336	rs547292	 3.52	rs7925034	 8.54e-03	 3.99	 0.292	440	440	blup	0.011	0.00071	-1.008	0.31331
B_naive	RA_only/B_naive_5pcs_all/B_naive.ZBTB16_1Mwindow.wgt.RDat	ZBTB16	11	113430433	114627492	0.0385	rs11214881	-3.16	rs585287	 9.44e-03	 4.40	 0.232	612	  4	enet	0.012	0.00035	-1.310	0.19003
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPL27A_1Mwindow.wgt.RDat	RPL27A	11	8204339	9211419	0.0261	rs6421063	-3.61	rs1079452	 2.99e-03	 4.33	-2.052	485	485	blup	0.0042	0.024	-1.079	0.28060
B_naive	RA_only/B_naive_5pcs_all/B_naive.EEF1G_1Mwindow.wgt.RDat	EEF1G	11	61827068	62841363	0.0556	rs1675131	-3.29	rs2509961	 4.19e-02	 6.82	-2.169	375	  1	top1	0.042	8.3e-11	-2.169	0.03008
B_naive	RA_only/B_naive_5pcs_all/B_naive.THAP12_1Mwindow.wgt.RDat	THAP12	11	75561000	76592176	0.0319	rs1149625	-4.82	rs663746	 9.40e-03	 4.48	 1.749	460	  1	top1	0.0094	0.0015	 1.749	0.08029
B_naive	RA_only/B_naive_5pcs_all/B_naive.FADS2_1Mwindow.wgt.RDat	FADS2	11	61083675	62134826	0.0746	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	0.077	7.8e-19	    NA	     NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.OR4D11_1Mwindow.wgt.RDat	OR4D11	11	58771049	59771984	0.0180	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.1	2.2e-24	    NA	     NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.CSTF3-DT_1Mwindow.wgt.RDat	CSTF3-DT	11	32683203	33713144	0.0382	rs10768011	-2.90	rs16923830	 1.55e-03	 4.13	 0.892	303	  1	top1	0.0015	0.11	 0.892	0.37239
B_naive	RA_only/B_naive_5pcs_all/B_naive.NAA40_1Mwindow.wgt.RDat	NAA40	11	63206474	64224791	0.0168	rs7941785	 4.18	rs10897466	-9.72e-06	 3.99	 1.029	303	303	blup	0.0069	0.0055	 0.348	0.72771
B_naive	RA_only/B_naive_5pcs_all/B_naive.C11orf24_1Mwindow.wgt.RDat	C11orf24	11	67528806	68539441	0.0485	rs12222446	-2.90	rs10896313	 3.47e-02	 6.50	 1.416	283	  1	top1	0.035	3.5e-09	 1.416	0.15678
B_naive	RA_only/B_naive_5pcs_all/B_naive.LINC02716_1Mwindow.wgt.RDat	LINC02716	11	45292983	46293909	0.0374	rs10501316	 3.89	rs7109158	-8.60e-04	 5.15	 0.712	396	396	blup	-0.00029	0.4	 1.688	0.09149
B_naive	RA_only/B_naive_5pcs_all/B_naive.ARL14EP_1Mwindow.wgt.RDat	ARL14EP	11	29844651	30859770	0.0359	rs7944308	-3.94	rs7951928	 4.02e-02	-6.01	 0.669	398	  1	top1	0.04	2e-10	-0.669	0.50350
B_naive	RA_only/B_naive_5pcs_all/B_naive.KCTD21-AS1_1Mwindow.wgt.RDat	KCTD21-AS1	11	77350839	78385023	0.0273	rs2372897	-3.10	rs1144764	 1.82e-02	-5.26	 1.640	351	  1	top1	0.018	1.6e-05	-1.640	0.10101
B_naive	RA_only/B_naive_5pcs_all/B_naive.TMEM41B_1Mwindow.wgt.RDat	TMEM41B	11	8802201	9836140	0.0160	rs7950276	-3.65	rs10840170	-2.45e-04	-3.52	-2.430	390	390	blup	0.0097	0.0013	 2.318	0.02047
B_naive	RA_only/B_naive_5pcs_all/B_naive.TNNI2_1Mwindow.wgt.RDat	TNNI2	11	1360211	2362908	0.0371	rs10833086	 3.83	rs7115056	-9.13e-04	 3.54	-0.835	461	461	blup	0.0057	0.011	-0.683	0.49430
B_naive	RA_only/B_naive_5pcs_all/B_naive.FAM111A_1Mwindow.wgt.RDat	FAM111A	11	58410329	59422512	0.0303	rs1349777	 3.61	rs11229895	-1.04e-03	 3.73	 2.053	281	281	blup	0.0087	0.0021	 1.937	0.05271
