PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FNTB_1Mwindow.wgt.RDat	FNTB	14	64953613	66029368	0.0602	rs4902379	-3.16	rs8015921	 0.051232	  6.54	 1.3395	484	  1	top1	0.051	6.1e-13	 1.3395	1.80e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.DHRS4L2_1Mwindow.wgt.RDat	DHRS4L2	14	23939083	24975617	0.0472	rs2332101	 3.35	rs8003491	 0.017203	 -5.36	 0.0257	473	473	blup	0.019	8.2e-06	 0.1690	8.66e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CEP128_1Mwindow.wgt.RDat	CEP128	14	80462822	81908082	0.0199	rs11623435	 3.79	rs8018693	-0.000915	  3.75	-1.7643	564	564	blup	0.0077	0.0036	-1.9251	5.42e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CHURC1_1Mwindow.wgt.RDat	CHURC1	14	64881173	65902086	0.0552	rs4902379	-3.16	rs34852276	 0.062057	  8.39	 0.7303	495	  1	top1	0.062	2.2e-15	 0.7303	4.65e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TRAPPC6B_1Mwindow.wgt.RDat	TRAPPC6B	14	39117018	40139537	0.0340	rs12887285	-2.64	rs2869	 0.026385	 -5.46	-0.5904	375	  1	top1	0.026	2.2e-07	 0.5904	5.55e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CHMP4A_1Mwindow.wgt.RDat	CHMP4A	14	24178821	25182694	0.0981	rs2332101	 3.35	rs1242017	 0.078189	 -8.86	-1.6020	476	  1	top1	0.078	4.4e-19	 1.6020	1.09e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ZNF410_1Mwindow.wgt.RDat	ZNF410	14	73853562	74899224	0.0161	rs17129430	 3.09	rs11621114	-0.000423	 -3.86	 2.2406	403	403	blup	0.00015	0.29	-2.6340	8.44e-03
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PGF_1Mwindow.wgt.RDat	PGF	14	74908533	75922467	0.0213	rs12887154	-2.47	rs12323528	 0.001647	  3.97	-0.7196	357	357	blup	0.0057	0.01	 0.1427	8.87e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ESR2_1Mwindow.wgt.RDat	ESR2	14	64193425	65305331	0.2696	rs4902242	 2.54	rs8020646	 0.127602	 12.05	 0.5553	503	  9	enet	0.25	8e-64	 0.5046	6.14e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CKB_1Mwindow.wgt.RDat	CKB	14	103486004	104489167	0.0408	rs12432225	-4.38	rs11627052	 0.020065	  5.59	 0.2472	350	  2	enet	0.025	5e-07	 0.1162	9.07e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ADCK1_1Mwindow.wgt.RDat	ADCK1	14	77766452	78901357	0.0259	rs10135535	 3.16	rs17753249	 0.009107	  4.91	 0.1594	704	  1	top1	0.0091	0.0017	 0.1594	8.73e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TRAJ54_1Mwindow.wgt.RDat	TRAJ54	14	22451276	23451335	0.0481	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.18	7.8e-45	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.BTBD7_1Mwindow.wgt.RDat	BTBD7	14	93203896	94299382	0.0208	rs941707	-3.08	rs11623985	 0.001029	 -3.22	-0.9052	437	437	blup	0.01	0.00092	-0.4456	6.56e-01
