PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.ERAP2_1Mwindow.wgt.RDat	ERAP2	5	95711643	96755420	0.0582	rs34736	-3.523	rs10044354	 0.050159	 7.74	 0.7950	501	  1	top1	0.05	2.9e-12	 0.7950	0.4266
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.TSLP_1Mwindow.wgt.RDat	TSLP	5	109905760	110913724	0.0857	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.14	3.3e-32	     NA	    NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.SGTB_1Mwindow.wgt.RDat	SGTB	5	64461755	65517936	0.0313	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0099	0.0014	     NA	    NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.SEMA5A_1Mwindow.wgt.RDat	SEMA5A	5	8535145	10046187	0.0710	NA	    NA	NA	       NA	   NA	     NA	866	  0	lasso	-5e-04	0.47	     NA	    NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.CENPK_1Mwindow.wgt.RDat	CENPK	5	64312119	65358995	0.0562	rs16893720	 2.518	rs166329	 0.078158	 9.08	 0.1490	424	  1	lasso	0.08	7.9e-19	 0.1490	0.8816
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.STING1_1Mwindow.wgt.RDat	STING1	5	138355118	139362343	0.0242	rs1006967	 2.396	rs356454	 0.009340	 4.06	 0.2350	249	  2	lasso	0.011	0.00091	 0.9070	0.3644
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.FST_1Mwindow.wgt.RDat	FST	5	52276459	53282964	0.1445	rs153602	 4.067	rs16881299	 0.082663	 4.92	-1.2450	448	  1	top1	0.083	2.1e-19	-1.2450	0.2131
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.SLC34A1_1Mwindow.wgt.RDat	SLC34A1	5	176311435	177325849	0.0287	NA	    NA	NA	       NA	   NA	     NA	  0	  0	enet	0.0043	0.025	     NA	    NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.ITGA2_1Mwindow.wgt.RDat	ITGA2	5	51785182	52890609	0.0333	rs153602	 4.067	rs16876270	 0.013167	 5.77	 0.8390	611	  1	top1	0.013	0.00026	 0.8390	0.4015
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.MIR3936HG_1Mwindow.wgt.RDat	MIR3936HG	5	131146969	132205608	0.0242	rs11568506	-2.115	rs253946	 0.001820	 3.61	 0.6770	425	425	blup	0.0066	0.0076	 1.4257	0.1540
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.PDGFRB_1Mwindow.wgt.RDat	PDGFRB	5	148993402	150035408	0.0555	NA	    NA	NA	       NA	   NA	     NA	  0	  0	enet	0.0017	0.11	     NA	    NA
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.F2R_1Mwindow.wgt.RDat	F2R	5	75511951	76531595	0.0400	rs10062367	 2.627	rs6885207	-0.001051	-3.66	 0.4140	561	561	blup	0.0086	0.0027	 0.5623	0.5739
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.EBF1_1Mwindow.wgt.RDat	EBF1	5	157622928	159026924	0.0369	rs2421187	 3.024	rs10515789	-0.000983	 4.52	-2.4870	564	564	blup	0.0031	0.049	-0.7706	0.4409
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.FAM153B_1Mwindow.wgt.RDat	FAM153B	5	174990058	176054145	0.0287	rs2134176	-2.363	rs17078191	 0.001778	-3.71	 0.0839	329	  1	lasso	0.003	0.053	-0.0839	0.9331
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.BRIX1_1Mwindow.wgt.RDat	BRIX1	5	34415816	35426101	0.0434	rs7718468	-2.967	rs6893700	 0.022307	 4.79	 1.9440	500	  1	top1	0.022	2.8e-06	 1.9440	0.0519
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.EMB_1Mwindow.wgt.RDat	EMB	5	49192026	50237122	0.0226	rs1354171	 2.184	rs13185587	 0.013242	 4.59	-0.3180	147	  1	top1	0.013	0.00025	-0.3180	0.7505
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.LINC02241_1Mwindow.wgt.RDat	LINC02241	5	20111949	21437802	0.0306	rs10941700	 2.410	rs9292965	-0.000490	 3.57	-1.2720	329	329	blup	-0.00034	0.41	-0.1053	0.9162
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.SCGB3A1_1Mwindow.wgt.RDat	SCGB3A1	5	179517105	180518499	0.2512	rs6894217	 3.130	rs2453176	 0.253045	14.73	 0.1380	397	  1	top1	0.25	4.4e-61	 0.1380	0.8902
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.LINC02145_1Mwindow.wgt.RDat	LINC02145	5	5810554	6837405	0.0447	rs11960029	-2.750	rs4460116	-0.000952	 4.51	 0.1890	651	  1	top1	-0.00095	0.73	 0.1890	0.8501
CD4_TEM	RA_only/CD4_TEM_5pcs_all/CD4_TEM.FAM153CP_1Mwindow.wgt.RDat	FAM153CP	5	176934693	177990589	0.0523	rs28375402	-2.619	rs2133716	 0.030355	-4.73	-2.4680	398	  1	top1	0.03	5.3e-08	 2.4680	0.0136
