PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_naive	RA_only/B_naive_5pcs_all/B_naive.NR2F6_1Mwindow.wgt.RDat	NR2F6	19	16842692	17856728	0.0351	rs8100448	 2.50	rs7259292	 9.43e-04	  4.30	 1.86200	364	364	blup	0.0091	0.0018	 0.118465	0.90570
B_naive	RA_only/B_naive_5pcs_all/B_naive.DIRAS1_1Mwindow.wgt.RDat	DIRAS1	19	2214565	3221370	0.0448	rs11670333	-2.69	rs2110120	 1.48e-02	  5.00	-0.81800	330	  1	top1	0.015	9e-05	-0.818000	0.41336
B_naive	RA_only/B_naive_5pcs_all/B_naive.LRRC25_1Mwindow.wgt.RDat	LRRC25	19	18001947	19008432	0.0350	rs17724992	-3.85	rs4808801	 2.24e-02	 -4.77	-2.97500	366	  1	top1	0.022	1.8e-06	 2.975000	0.00293
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPS9_1Mwindow.wgt.RDat	RPS9	19	54204726	55211515	0.1550	rs454006	 3.30	rs17305311	 7.54e-02	 -8.64	 1.51900	384	  3	lasso	0.12	4.4e-29	 0.715760	0.47414
B_naive	RA_only/B_naive_5pcs_all/B_naive.NOP53_1Mwindow.wgt.RDat	NOP53	19	47748803	48760315	0.0285	rs1366444	-2.81	rs3815751	 3.18e-03	  4.54	 0.42300	414	414	blup	0.0078	0.0034	-1.350206	0.17695
B_naive	RA_only/B_naive_5pcs_all/B_naive.RINL_1Mwindow.wgt.RDat	RINL	19	38858470	39868915	0.0244	rs7250734	 2.83	rs7250349	 4.52e-03	  3.86	-0.31000	387	387	blup	0.0085	0.0024	-1.479196	0.13909
B_naive	RA_only/B_naive_5pcs_all/B_naive.OCEL1_1Mwindow.wgt.RDat	OCEL1	19	16837035	17840028	0.0295	rs8100448	 2.50	rs2279002	 1.03e-02	 -4.38	-0.56700	361	361	blup	0.011	0.00073	-0.982163	0.32602
B_naive	RA_only/B_naive_5pcs_all/B_naive.CCNP_1Mwindow.wgt.RDat	CCNP	19	40228115	41232596	0.0344	rs7259541	 3.42	rs339512	-1.04e-03	  4.20	 1.35900	379	379	blup	0.0067	0.0062	 1.311314	0.18975
B_naive	RA_only/B_naive_5pcs_all/B_naive.ARRDC5_1Mwindow.wgt.RDat	ARRDC5	19	4390449	5402908	0.0433	rs2302224	-5.03	rs2656938	 2.25e-02	  5.79	-0.01000	382	  1	top1	0.023	1.7e-06	-0.010000	0.99202
B_naive	RA_only/B_naive_5pcs_all/B_naive.ZNF208_1Mwindow.wgt.RDat	ZNF208	19	21622617	22693745	0.0274	rs7258660	-2.59	rs12980897	-2.25e-06	  3.15	 1.74800	307	307	blup	0.0062	0.0084	 0.805082	0.42077
