PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_naive	RA_only/B_naive_5pcs_all/B_naive.SAMD12-AS1_1Mwindow.wgt.RDat	SAMD12-AS1	8	119133240	120238306	0.0381	rs3824331	-3.55	rs2514603	 5.56e-02	  7.96	-1.041	580	  1	top1	0.056	7.1e-14	-1.0406	2.98e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.DKK4_1Mwindow.wgt.RDat	DKK4	8	41731581	42734747	0.0583	NA	   NA	NA	       NA	    NA	    NA	  0	  0	enet	0.017	3.5e-05	     NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.ENTPD4_1Mwindow.wgt.RDat	ENTPD4	8	22786675	23815160	0.0339	rs7009429	-3.94	rs2017650	 2.73e-03	  3.92	-1.100	588	588	blup	0.011	0.00082	-0.4405	6.60e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.ARC_1Mwindow.wgt.RDat	ARC	8	143192410	144195840	0.0385	rs4736338	-4.02	rs4736319	-9.87e-04	  3.73	-0.165	404	404	blup	0.00031	0.25	 3.0632	2.19e-03
B_naive	RA_only/B_naive_5pcs_all/B_naive.ERICH1_1Mwindow.wgt.RDat	ERICH1	8	64746	1181224	0.0407	rs10095476	 3.09	rs17738097	 3.90e-03	 -4.43	-0.387	573	  1	top1	0.0039	0.029	 0.3869	6.99e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.TMEM249_1Mwindow.wgt.RDat	TMEM249	8	145076888	146078591	0.0368	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.022	1.9e-06	     NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.ZDHHC2_1Mwindow.wgt.RDat	ZDHHC2	8	16513991	17582308	0.0466	rs4601360	-3.36	rs2517273	 1.07e-03	  4.54	 0.370	741	741	blup	0.016	5.5e-05	 1.3363	1.81e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.IL7_1Mwindow.wgt.RDat	IL7	8	79145007	80217698	0.0249	rs2120410	-3.50	rs7016026	-4.45e-04	  3.06	-2.645	333	333	blup	0.0059	0.0095	-3.4722	5.16e-04
B_naive	RA_only/B_naive_5pcs_all/B_naive.OPLAH_1Mwindow.wgt.RDat	OPLAH	8	144606167	145615595	0.0400	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	-0.00038	0.43	     NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.ANK1_1Mwindow.wgt.RDat	ANK1	8	41010744	42254259	0.0991	rs12543292	 3.15	rs12708212	 1.13e-01	-10.61	 2.240	475	  1	top1	0.11	3.9e-27	-2.2404	2.51e-02
B_naive	RA_only/B_naive_5pcs_all/B_naive.NKX6-3_1Mwindow.wgt.RDat	NKX6-3	8	41002696	42008336	0.0659	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.055	1.2e-13	     NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.LY6E-DT_1Mwindow.wgt.RDat	LY6E-DT	8	143563448	144599807	0.0243	rs7460860	13.93	rs7843869	-1.01e-03	  3.56	 0.302	417	417	blup	0.00046	0.23	-5.0733	3.91e-07
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPL8_1Mwindow.wgt.RDat	RPL8	8	145515154	146517775	0.2625	rs7002959	 3.55	rs2955195	 3.89e-01	 19.10	 0.783	190	  2	enet	0.4	2.4e-109	-0.3299	7.41e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.CCN3_1Mwindow.wgt.RDat	CCN3	8	119928686	120936674	0.0193	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	-0.00089	0.7	     NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.HMBOX1_1Mwindow.wgt.RDat	HMBOX1	8	28247912	29410787	0.1351	rs7836759	-3.08	rs1487969	 1.29e-01	 -9.18	-2.002	451	  1	top1	0.13	5.2e-31	 2.0023	4.53e-02
B_naive	RA_only/B_naive_5pcs_all/B_naive.PKHD1L1_1Mwindow.wgt.RDat	PKHD1L1	8	109874690	111049436	0.1291	rs3133944	-4.01	rs1783153	 1.46e-01	 12.09	 0.103	384	  6	enet	0.15	6.8e-36	 0.0883	9.30e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.SAMD12_1Mwindow.wgt.RDat	SAMD12	8	118644064	120134202	0.1094	rs12548703	-2.99	rs2514603	 1.07e-01	 10.18	-1.041	756	  1	top1	0.11	1.3e-25	-1.0406	2.98e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.CCNE2_1Mwindow.wgt.RDat	CCNE2	8	95392452	96407429	0.0366	rs10097930	-5.25	rs16917426	-6.93e-04	  3.68	 2.606	450	450	blup	0.0036	0.035	 2.4908	1.27e-02
B_naive	RA_only/B_naive_5pcs_all/B_naive.RBPMS-AS1_1Mwindow.wgt.RDat	RBPMS-AS1	8	29739635	30742917	0.0801	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.11	2.3e-27	     NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.POP1_1Mwindow.wgt.RDat	POP1	8	98629521	99672063	0.0398	rs16896994	 2.55	rs3802197	-9.17e-04	  3.45	-1.271	469	469	blup	-0.00022	0.37	-0.7423	4.58e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.NAPRT_1Mwindow.wgt.RDat	NAPRT	8	144156955	145160500	0.0735	rs7460860	13.93	rs10282929	 7.27e-02	 -8.43	-2.598	347	  1	top1	0.073	9.9e-18	 2.5983	9.37e-03
