PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CASQ1_1Mwindow.wgt.RDat	CASQ1	1	159660365	160671676	0.0532	rs1980606	  3.89	rs1553459	 1.32e-05	  4.60	-0.2266	442	  2	lasso	0.00042	0.24	-0.37280	7.09e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SH3GLB1_1Mwindow.wgt.RDat	SH3GLB1	1	86670259	87713867	0.0540	rs6576882	  3.14	rs6693416	 3.93e-02	  6.72	-0.3830	404	  1	top1	0.039	2.8e-10	-0.38300	7.02e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MRPL20_1Mwindow.wgt.RDat	MRPL20	1	837289	1842673	0.0923	rs2341354	  4.56	rs17160669	 1.29e-02	  6.01	-0.7635	186	  1	enet	0.045	1.2e-11	 1.18010	2.38e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.UTP25_1Mwindow.wgt.RDat	UTP25	1	209501317	210530910	0.0480	rs7548219	 -7.01	rs9430018	 1.66e-02	  5.79	-0.8325	498	498	blup	0.033	6.2e-09	-2.33249	1.97e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.DDX59-AS1_1Mwindow.wgt.RDat	DDX59-AS1	1	200138635	201163378	0.0319	rs2808477	 -3.70	rs7542210	 2.00e-02	 -5.58	-1.8287	538	  1	lasso	0.026	2.2e-07	 0.44510	6.56e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.PHACTR4_1Mwindow.wgt.RDat	PHACTR4	1	28196251	29326876	0.0466	rs126013	 17.60	rs6598929	 4.32e-02	 -7.29	-2.9779	310	  1	top1	0.043	3.8e-11	 2.97790	2.90e-03
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.GABPB2_1Mwindow.wgt.RDat	GABPB2	1	150543237	151598018	0.0336	rs267733	 -7.31	rs7554936	 6.16e-03	  4.23	 1.6708	316	  1	top1	0.0062	0.0083	 1.67080	9.48e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ELF3-AS1_1Mwindow.wgt.RDat	ELF3-AS1	1	201469179	202479481	0.0866	NA	    NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.059	9.5e-15	      NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LINC01364_1Mwindow.wgt.RDat	LINC01364	1	87319207	88337338	0.0222	rs1856047	  3.63	rs4656134	-7.88e-04	  4.65	-0.3980	442	442	blup	9e-04	0.17	 0.64166	5.21e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TMEM167B_1Mwindow.wgt.RDat	TMEM167B	1	109133386	110139556	0.0433	rs7528419	  6.11	rs1277014	 1.11e-02	 -4.32	-1.4381	405	  1	lasso	0.014	0.00015	-0.87680	3.81e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LAPTM5_1Mwindow.wgt.RDat	LAPTM5	1	30705316	31730621	0.0481	rs7529390	 -4.10	rs11585511	 1.19e-02	 -4.98	-1.1777	541	  6	enet	0.026	2.2e-07	 0.71014	4.78e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MRPS21_1Mwindow.wgt.RDat	MRPS21	1	149766281	150781414	0.1427	NA	    NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.096	3.7e-23	      NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MTR_1Mwindow.wgt.RDat	MTR	1	236458581	237567281	0.0501	rs4518892	 -3.19	rs3820571	 4.28e-02	 -6.40	-0.8599	618	  1	top1	0.043	4.8e-11	 0.85990	3.90e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ATF6_1Mwindow.wgt.RDat	ATF6	1	161236110	162433860	0.0539	rs6692381	  7.12	rs2340823	 1.72e-02	  5.85	-1.9702	611	  2	lasso	0.023	1e-06	-0.11125	9.11e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.RAB4A_1Mwindow.wgt.RDat	RAB4A	1	228906858	229941641	0.0378	rs1473720	 -9.76	rs237819	 2.07e-02	  4.71	-0.2261	480	  1	top1	0.021	4.1e-06	-0.22610	8.21e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.UBE4B_1Mwindow.wgt.RDat	UBE4B	1	9593016	10741297	0.0653	NA	    NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.049	2.2e-12	      NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.VAMP4_1Mwindow.wgt.RDat	VAMP4	1	171169300	172211205	0.0794	rs764206	  3.94	rs10913511	 6.93e-02	  8.59	-1.0733	544	  1	top1	0.069	4.8e-17	-1.07330	2.83e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NSUN4_1Mwindow.wgt.RDat	NSUN4	1	46306479	47350871	0.0269	rs1768809	 -6.51	rs17357621	 2.17e-02	  4.99	 0.4447	336	  1	top1	0.022	2.5e-06	 0.44470	6.57e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LINC01772_1Mwindow.wgt.RDat	LINC01772	1	16287443	17294976	0.1172	NA	    NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.057	2.5e-14	      NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LYPLAL1_1Mwindow.wgt.RDat	LYPLAL1	1	218847220	219886200	0.0365	rs2494196	  6.26	rs10863429	 1.45e-02	  4.08	 0.7817	493	  1	top1	0.014	1e-04	 0.78170	4.34e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.FAAP20_1Mwindow.wgt.RDat	FAAP20	1	1615916	2644159	0.3231	rs884940	  6.24	rs2460002	 1.55e-01	 10.35	 4.3957	342	  2	enet	0.19	1e-47	 4.24684	2.17e-05
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NTPCR_1Mwindow.wgt.RDat	NTPCR	1	232586357	233619628	0.2473	rs7513538	  2.93	rs3820124	 2.23e-01	 15.13	-1.1080	590	  3	lasso	0.24	9.4e-59	-1.17743	2.39e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.DRAM2_1Mwindow.wgt.RDat	DRAM2	1	111159785	112182715	0.1557	rs817579	 -5.03	rs3762374	 1.29e-01	 11.24	 2.4293	580	  1	top1	0.13	5.5e-31	 2.42930	1.51e-02
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CD52_1Mwindow.wgt.RDat	CD52	1	26144449	27147014	0.0919	rs12094989	 11.56	rs11582416	 8.75e-02	 -9.51	-3.5597	391	  6	enet	0.092	2.4e-22	 3.04188	2.35e-03
