PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.CMTM1_1Mwindow.wgt.RDat	CMTM1	16	66100342	67113038	0.0308	rs11075641	 3.52	rs3743721	 0.004641	 4.92	 0.854	402	  1	top1	0.0046	0.023	 0.8536	3.93e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ACSM2B_1Mwindow.wgt.RDat	ACSM2B	16	20047548	21087689	0.0430	rs151328	 2.76	rs7188098	-0.001109	 4.65	 0.996	392	  1	lasso	-0.00084	0.62	 0.9955	3.19e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.TRIM72_1Mwindow.wgt.RDat	TRIM72	16	30725440	31742858	0.0196	rs9936992	-2.29	rs9926533	-0.000446	 3.35	 1.440	260	260	blup	0.0029	0.057	 2.5408	1.11e-02
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SEPTIN12_1Mwindow.wgt.RDat	SEPTIN12	16	4327607	5338346	0.0762	rs2270366	 5.36	rs17137660	-0.001105	 3.79	-0.397	348	348	blup	-0.0011	0.87	 0.8231	4.10e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SULT1A1_1Mwindow.wgt.RDat	SULT1A1	16	28116579	29134696	0.0375	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	0.037	2.9e-09	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.MYH11_1Mwindow.wgt.RDat	MYH11	16	15296992	16450885	0.0465	rs153003	-2.99	rs16967494	 0.037904	 6.24	-2.031	434	  1	top1	0.038	2.2e-09	-2.0315	4.22e-02
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SHISA9_1Mwindow.wgt.RDat	SHISA9	16	12495455	13834273	0.0431	rs8055219	 6.24	rs13332543	-0.001078	 4.83	-2.727	862	862	blup	-0.00013	0.35	 0.3071	7.59e-01
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.NOMO1_1Mwindow.wgt.RDat	NOMO1	16	14427578	15490014	0.0378	NA	   NA	NA	       NA	   NA	    NA	 97	  0	blup	0.0052	0.017	     NA	      NA
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.ROGDI_1Mwindow.wgt.RDat	ROGDI	16	4346969	5352634	0.0215	rs2270366	 5.36	rs9931084	 0.017460	 4.82	 0.511	348	  1	enet	0.018	3.3e-05	-2.2718	2.31e-02
CD16_Mono	RA_only/CD16_Mono_5pcs_all/CD16_Mono.SETD6_1Mwindow.wgt.RDat	SETD6	16	58049383	59057746	0.0304	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.012	0.00056	     NA	      NA
