PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_naive	RA_only/B_naive_5pcs_all/B_naive.DNLZ_1Mwindow.wgt.RDat	DNLZ	9	138753935	139758196	0.0352	rs11146021	 9.37	rs11145958	-0.000144	  4.06	-1.873	298	298	blup	0.0041	0.026	-2.999	0.002705
B_naive	RA_only/B_naive_5pcs_all/B_naive.ENDOG_1Mwindow.wgt.RDat	ENDOG	9	131080779	132084955	0.0368	rs10739734	-3.98	rs2997922	 0.007888	 -4.33	-1.282	277	277	blup	0.012	0.00046	 1.061	0.288602
B_naive	RA_only/B_naive_5pcs_all/B_naive.RAB14_1Mwindow.wgt.RDat	RAB14	9	123440411	124464147	0.0253	rs2777302	 4.72	rs12551209	 0.003326	  3.49	-1.440	415	415	blup	0.0078	0.0035	-0.530	0.595876
B_naive	RA_only/B_naive_5pcs_all/B_naive.HACD4_1Mwindow.wgt.RDat	HACD4	9	20499508	21531639	0.0820	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.07	4.9e-17	    NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPS6_1Mwindow.wgt.RDat	RPS6	9	18875713	19880234	0.0341	rs2451654	 3.68	rs10119465	-0.000840	 -3.92	-0.674	529	529	blup	0.007	0.0052	-0.757	0.449059
B_naive	RA_only/B_naive_5pcs_all/B_naive.CDK20_1Mwindow.wgt.RDat	CDK20	9	90081356	91089448	0.0738	rs10868608	-3.62	rs12346877	 0.002706	  3.68	 0.426	474	  1	top1	0.0027	0.058	 0.426	0.670108
B_naive	RA_only/B_naive_5pcs_all/B_naive.CEMIP2_1Mwindow.wgt.RDat	CEMIP2	9	73798282	74883429	0.0492	rs11142794	-3.04	rs25688	 0.033472	  6.11	-1.080	441	  1	top1	0.033	6.3e-09	-1.080	0.280142
B_naive	RA_only/B_naive_5pcs_all/B_naive.FUT7_1Mwindow.wgt.RDat	FUT7	9	139424626	140426540	0.0268	NA	   NA	NA	       NA	    NA	    NA	270	  0	top1	0.028	1.1e-07	    NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.LINC01242_1Mwindow.wgt.RDat	LINC01242	9	29888933	30908452	0.3041	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.034	4.2e-09	    NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.OSTF1_1Mwindow.wgt.RDat	OSTF1	9	77203430	78262181	0.0505	rs3752955	-3.75	rs2273770	 0.023147	 -5.68	 1.845	468	  1	top1	0.023	1.2e-06	-1.845	0.065038
B_naive	RA_only/B_naive_5pcs_all/B_naive.OMD_1Mwindow.wgt.RDat	OMD	9	94674662	95686753	0.0176	rs10992460	 3.92	rs4744122	 0.002316	  4.84	-0.954	377	  2	enet	0.0066	0.0067	-0.965	0.334475
B_naive	RA_only/B_naive_5pcs_all/B_naive.SHC3_1Mwindow.wgt.RDat	SHC3	9	91120686	92293733	0.0274	rs10908893	 3.98	rs7853231	 0.002626	  4.80	-0.842	487	487	blup	0.007	0.0054	 0.413	0.679455
B_naive	RA_only/B_naive_5pcs_all/B_naive.CTNNAL1_1Mwindow.wgt.RDat	CTNNAL1	9	111204857	112275779	0.1122	rs4978368	-2.41	rs1140064	 0.081561	  9.08	 1.058	634	  1	top1	0.082	9.1e-20	 1.058	0.290055
B_naive	RA_only/B_naive_5pcs_all/B_naive.SEC61B_1Mwindow.wgt.RDat	SEC61B	9	101484564	102492897	0.0392	rs1578463	 5.33	rs12336513	 0.020210	 -5.66	-1.555	366	  1	top1	0.02	5.6e-06	 1.555	0.119946
B_naive	RA_only/B_naive_5pcs_all/B_naive.SNHG7_1Mwindow.wgt.RDat	SNHG7	9	139119046	140122636	0.1269	NA	   NA	NA	       NA	    NA	    NA	  0	  0	enet	0.066	3.8e-16	    NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.PMPCA_1Mwindow.wgt.RDat	PMPCA	9	138805110	139818213	0.0375	rs11146021	 9.37	rs3829112	 0.012103	  4.48	-1.995	304	  1	top1	0.012	0.00036	-1.995	0.046043
B_naive	RA_only/B_naive_5pcs_all/B_naive.B4GALT1_1Mwindow.wgt.RDat	B4GALT1	9	32604075	33667334	0.0492	rs1411609	-4.42	rs1411609	 0.003092	 -4.57	-4.417	479	479	blup	0.016	4.4e-05	 3.404	0.000663
B_naive	RA_only/B_naive_5pcs_all/B_naive.TEX48_1Mwindow.wgt.RDat	TEX48	9	116928714	117944472	0.0693	NA	   NA	NA	       NA	    NA	    NA	  0	  0	enet	-0.00081	0.64	    NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.ALDH1B1_1Mwindow.wgt.RDat	ALDH1B1	9	37892699	38898658	0.0362	rs10973703	-4.08	rs10511950	 0.001536	  3.33	-0.772	422	422	blup	0.0028	0.056	 2.667	0.007656
B_naive	RA_only/B_naive_5pcs_all/B_naive.NDUFB6_1Mwindow.wgt.RDat	NDUFB6	9	32052999	33073157	0.0346	rs4384073	-3.56	rs12551778	 0.005190	 -4.60	-0.050	508	  1	top1	0.0052	0.014	 0.050	0.960122
B_naive	RA_only/B_naive_5pcs_all/B_naive.NUDT2_1Mwindow.wgt.RDat	NUDT2	9	33829567	34843697	0.0652	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.056	5.9e-14	    NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.ZNF462_1Mwindow.wgt.RDat	ZNF462	9	109125447	110275915	0.0507	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.0036	0.035	    NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.DIPK1B_1Mwindow.wgt.RDat	DIPK1B	9	139107024	140119194	0.0825	rs11146021	 9.37	rs4880136	 0.071768	 -8.15	-1.805	325	  1	top1	0.072	1.6e-17	 1.805	0.071075
B_naive	RA_only/B_naive_5pcs_all/B_naive.TLE4_1Mwindow.wgt.RDat	TLE4	9	81686880	82841797	0.0387	rs9697204	-3.50	rs10867409	 0.019475	  5.57	 2.484	561	  2	enet	0.02	5.7e-06	 2.608	0.009103
B_naive	RA_only/B_naive_5pcs_all/B_naive.MSMP_1Mwindow.wgt.RDat	MSMP	9	35252987	36254273	0.0590	rs867194	-5.31	rs1322045	 0.060999	 -7.90	 1.372	411	  1	top1	0.061	4.4e-15	-1.372	0.170063
B_naive	RA_only/B_naive_5pcs_all/B_naive.LCN8_1Mwindow.wgt.RDat	LCN8	9	139148838	140152995	0.4771	rs11146021	 9.37	rs2282259	 0.628304	 24.72	-1.476	326	  3	lasso	0.63	1.2e-212	-1.896	0.057965
B_naive	RA_only/B_naive_5pcs_all/B_naive.TRMO_1Mwindow.wgt.RDat	TRMO	9	100159137	101184782	0.0507	rs3739672	 6.21	rs1127703	 0.046984	  7.34	-2.612	490	  1	top1	0.047	6.2e-12	-2.612	0.009001
B_naive	RA_only/B_naive_5pcs_all/B_naive.BICD2_1Mwindow.wgt.RDat	BICD2	9	94973645	96027115	0.0412	rs10992460	 3.92	rs2296080	 0.040583	  6.63	 1.372	409	  1	lasso	0.041	1.5e-10	 1.372	0.170063
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPL12_1Mwindow.wgt.RDat	RPL12	9	129709953	130713685	0.1312	rs4836579	 4.97	rs2244468	 0.133612	-11.79	 0.176	348	  3	lasso	0.14	7.8e-34	 1.645	0.099971
B_naive	RA_only/B_naive_5pcs_all/B_naive.FOXD4_1Mwindow.wgt.RDat	FOXD4	9	0	618417	0.0269	rs7028802	 2.67	rs12555266	 0.000231	  4.19	 2.432	366	366	blup	0.0033	0.04	-0.304	0.761043
B_naive	RA_only/B_naive_5pcs_all/B_naive.SLC25A51_1Mwindow.wgt.RDat	SLC25A51	9	37377572	38404124	0.0290	rs10973703	-4.08	rs3827515	 0.003828	  3.94	 1.015	532	532	blup	0.012	0.00041	 2.837	0.004552
