PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
gdT	RA_only/gdT_5pcs_all/gdT.KLK1_1Mwindow.wgt.RDat	KLK1	19	50822402	51827043	0.0727	rs3865444	-11.41	rs7254514	-0.000973	  4.25	 2.605	456	456	blup	0.0025	0.066	 0.42313	6.72e-01
gdT	RA_only/gdT_5pcs_all/gdT.PRTN3_1Mwindow.wgt.RDat	PRTN3	19	340999	1348175	0.0570	rs4807440	 -7.60	rs2075020	-0.001032	  5.09	-1.150	380	  1	top1	-0.001	0.87	-1.15000	2.50e-01
gdT	RA_only/gdT_5pcs_all/gdT.EPS8L1_1Mwindow.wgt.RDat	EPS8L1	19	55087237	56099291	0.0301	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.016	5.8e-05	      NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.RPL28_1Mwindow.wgt.RDat	RPL28	19	55397300	56414710	0.1628	rs2288419	 -9.42	rs17700376	 0.123024	-11.08	 1.787	504	  2	enet	0.13	1.4e-29	-1.78680	7.40e-02
gdT	RA_only/gdT_5pcs_all/gdT.ZNF350-AS1_1Mwindow.wgt.RDat	ZNF350-AS1	19	51952387	52984620	0.1210	rs4802866	 -6.71	rs867341	-0.001048	 10.23	-0.138	628	  1	lasso	0.16	1.9e-38	-0.13800	8.90e-01
gdT	RA_only/gdT_5pcs_all/gdT.ZNF414_1Mwindow.wgt.RDat	ZNF414	19	8074562	9079051	0.0536	rs3764551	 -3.75	rs301415	 0.020147	 -5.25	 1.476	371	  1	top1	0.02	7.1e-06	-1.47600	1.40e-01
gdT	RA_only/gdT_5pcs_all/gdT.TSSK6_1Mwindow.wgt.RDat	TSSK6	19	19125028	20126357	0.0331	rs2304130	 17.82	rs12460082	 0.000037	  3.79	 3.963	316	  1	top1	3.7e-05	0.31	 3.96300	7.40e-05
gdT	RA_only/gdT_5pcs_all/gdT.NOP53_1Mwindow.wgt.RDat	NOP53	19	47748803	48760315	0.0453	rs11083878	  3.66	rs4802386	-0.000789	  3.50	-1.036	414	414	blup	0.014	0.00018	-1.57885	1.14e-01
gdT	RA_only/gdT_5pcs_all/gdT.MAMSTR_1Mwindow.wgt.RDat	MAMSTR	19	48715982	49722982	0.0370	rs1010104	 -5.82	rs12980226	 0.001258	  3.55	 0.628	412	412	blup	0.0064	0.008	-1.41208	1.58e-01
gdT	RA_only/gdT_5pcs_all/gdT.ZNF333_1Mwindow.wgt.RDat	ZNF333	19	14300860	15344554	0.0362	rs4809110	 -3.71	rs7255465	-0.000621	 -3.13	 1.080	433	433	blup	0.0046	0.021	-0.00147	9.99e-01
gdT	RA_only/gdT_5pcs_all/gdT.RPS9_1Mwindow.wgt.RDat	RPS9	19	54204726	55211515	0.1114	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.094	2.8e-22	      NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.RPS5_1Mwindow.wgt.RDat	RPS5	19	58398636	59406171	0.0380	rs1051500	  7.39	rs731835	 0.028797	 -5.34	-4.519	290	  1	top1	0.029	9.3e-08	 4.51900	6.21e-06
gdT	RA_only/gdT_5pcs_all/gdT.ILF3-DT_1Mwindow.wgt.RDat	ILF3-DT	19	10262538	11264548	0.0344	rs875569	  8.88	rs2228611	 0.001638	  3.75	-1.799	359	359	blup	0.0095	0.0016	 5.61797	1.93e-08
