PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_naive	RA_only/B_naive_5pcs_all/B_naive.CDK10_1Mwindow.wgt.RDat	CDK10	16	89253097	90262762	0.0451	NA	   NA	NA	       NA	   NA	    NA	   0	   0	enet	0.018	1.7e-05	    NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.TGFB1I1_1Mwindow.wgt.RDat	TGFB1I1	16	30983473	31989281	0.0300	rs4536493	-6.47	rs9934336	 0.001506	 3.66	 2.938	 247	 247	blup	0.0077	0.0037	 4.045	5.22e-05
B_naive	RA_only/B_naive_5pcs_all/B_naive.TLCD3B_1Mwindow.wgt.RDat	TLCD3B	16	29535748	30547851	0.1405	NA	   NA	NA	       NA	   NA	    NA	   0	   0	lasso	0.086	8.7e-21	    NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.MBTPS1_1Mwindow.wgt.RDat	MBTPS1	16	83587368	84650547	0.0677	rs247826	-6.91	rs11149611	-0.000932	 3.43	 1.440	1007	1007	blup	0.013	0.00024	 0.589	5.56e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.MYH11_1Mwindow.wgt.RDat	MYH11	16	15296992	16450885	0.0560	rs35596	-6.01	rs16967494	 0.035687	 7.25	 1.555	 434	   1	top1	0.036	2e-09	 1.555	1.20e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPL13_1Mwindow.wgt.RDat	RPL13	16	89127065	90133237	0.0527	rs4782449	 6.03	rs12709089	 0.034189	-6.30	 1.254	 437	   1	top1	0.034	4.4e-09	-1.254	2.10e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.SETD6_1Mwindow.wgt.RDat	SETD6	16	58049383	59057746	0.0661	rs2731773	-4.23	rs151815	 0.042882	 6.63	 0.138	 452	 452	blup	0.045	1.7e-11	-1.867	6.19e-02
B_naive	RA_only/B_naive_5pcs_all/B_naive.DBNDD1_1Mwindow.wgt.RDat	DBNDD1	16	89571279	90586298	0.0457	rs659974	 5.20	rs17178299	 0.025315	 6.17	 0.915	 267	   1	top1	0.025	4.1e-07	 0.915	3.60e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.TMEM204_1Mwindow.wgt.RDat	TMEM204	16	1078679	2105569	0.1526	rs9788926	-4.49	rs2294623	 0.102053	10.65	-0.253	 453	   2	lasso	0.1	1e-24	-0.253	8.00e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.TUFM_1Mwindow.wgt.RDat	TUFM	16	28353732	29357669	0.0412	rs181209	-5.87	rs12928404	 0.072471	 8.67	-3.554	 167	   1	top1	0.072	1.1e-17	-3.554	3.79e-04
B_naive	RA_only/B_naive_5pcs_all/B_naive.DOK4_1Mwindow.wgt.RDat	DOK4	16	57005834	58021234	0.0363	rs16968135	 4.42	rs637718	-0.001036	 3.75	 1.598	 563	 563	blup	0.0048	0.017	 2.065	3.90e-02
B_naive	RA_only/B_naive_5pcs_all/B_naive.TERB1_1Mwindow.wgt.RDat	TERB1	16	66288543	67335487	0.0213	rs16957304	-5.28	rs9926649	-0.000549	 4.75	 0.496	 345	 345	blup	0.0017	0.11	-1.098	2.72e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.FANCA_1Mwindow.wgt.RDat	FANCA	16	89303957	90383055	0.0420	rs659974	 5.20	rs16965867	 0.006128	 3.88	 2.512	 380	 380	blup	0.019	9.3e-06	 0.958	3.38e-01
