PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.KCNK12_1Mwindow.wgt.RDat	KCNK12	2	47236429	48298124	0.0298	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.0061	0.0087	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ASNSD1_1Mwindow.wgt.RDat	ASNSD1	2	190026185	191035557	0.0213	rs10202029	  3.89	rs1233284	 0.003238	 -3.73	-3.515	281	281	blup	0.01	0.00098	 2.8302	4.65e-03
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SFTPB_1Mwindow.wgt.RDat	SFTPB	2	85384430	86395864	0.1287	rs3810821	  4.79	rs17026666	 0.100119	  5.56	 0.075	476	  1	top1	0.1	3.6e-24	 0.0750	9.40e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ANKRD36B_1Mwindow.wgt.RDat	ANKRD36B	2	97609127	98706340	0.0186	rs5865	 -7.62	rs10176201	 0.001229	 -3.53	-6.468	147	147	blup	0.011	7e-04	 3.7110	2.06e-04
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TNFAIP6_1Mwindow.wgt.RDat	TNFAIP6	2	151714106	152736560	0.0866	rs2271811	  4.93	rs16829718	 0.009416	  9.22	-0.496	448	  1	top1	0.0094	0.0015	-0.4960	6.20e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SH3YL1_1Mwindow.wgt.RDat	SH3YL1	2	0	764824	0.0352	rs6728726	  5.12	rs6721594	 0.015595	 -5.45	-1.015	359	359	blup	0.023	1e-06	 1.7971	7.23e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PLCL1_1Mwindow.wgt.RDat	PLCL1	2	198169317	199514587	0.0253	rs16829794	 -2.92	rs10206714	 0.037977	  6.18	 0.426	395	  1	top1	0.038	5.8e-10	 0.4260	6.70e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.GYPC_1Mwindow.wgt.RDat	GYPC	2	126913734	127954243	0.0873	rs17741936	  3.61	rs1914458	 0.003399	  4.89	 0.806	446	  1	enet	0.054	1.5e-13	 1.0150	3.10e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.YWHAQ_1Mwindow.wgt.RDat	YWHAQ	2	9224096	10271126	0.0314	rs6747078	  5.39	rs2357263	-0.001022	  3.03	-0.806	469	469	blup	0.0066	0.0066	-0.1349	8.93e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.RBM43_1Mwindow.wgt.RDat	RBM43	2	151604454	152618377	0.0571	rs2271811	  4.93	rs2271811	 0.039056	 -7.14	 4.928	457	  1	top1	0.039	3.3e-10	-4.9280	8.31e-07
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CD8B_1Mwindow.wgt.RDat	CD8B	2	86542492	87589009	0.0991	rs938486	-10.11	rs35555413	 0.056674	 -7.06	 4.775	199	  1	enet	0.057	2.4e-14	 3.1750	1.50e-03
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NCL_1Mwindow.wgt.RDat	NCL	2	231818242	232829195	0.0676	rs4972990	  3.66	rs4973397	 0.023886	 -5.53	 1.780	366	  1	lasso	0.04	2.4e-10	-1.8810	6.00e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PLEK_1Mwindow.wgt.RDat	PLEK	2	68092414	69124585	0.0646	rs7603054	  5.71	rs3816281	 0.032484	  6.91	-2.674	519	  8	enet	0.048	3.8e-12	-2.6005	9.31e-03
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.BMP10_1Mwindow.wgt.RDat	BMP10	2	68588041	69598529	0.0367	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.11	4.2e-27	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LINC01237_1Mwindow.wgt.RDat	LINC01237	2	242323514	243520873	0.0187	rs3771561	 -3.68	rs7425592	-0.000795	  3.74	 0.860	150	150	blup	0.0029	0.052	-1.6762	9.37e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MARCO_1Mwindow.wgt.RDat	MARCO	2	119199770	120252236	0.0230	rs6758051	  3.89	rs17774843	-0.001013	  4.35	 0.253	549	549	blup	0.0072	0.0048	 0.2714	7.86e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FEZ2_1Mwindow.wgt.RDat	FEZ2	2	36279401	37325311	0.0328	rs10170712	 -4.05	rs9308992	 0.000990	 -4.13	-0.412	605	605	blup	0.0045	0.021	 0.2110	8.33e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.EML4_1Mwindow.wgt.RDat	EML4	2	41896493	43059688	0.0592	rs1530165	 -3.34	rs222482	 0.019365	 -6.76	-1.282	603	  3	enet	0.069	6.8e-17	-0.3214	7.48e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.RPS7_1Mwindow.wgt.RDat	RPS7	2	3122850	4128510	0.0643	rs4850030	 -3.38	rs11684944	 0.055678	 -3.61	-0.722	534	  1	top1	0.056	6.2e-14	 0.7220	4.70e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CASP8_1Mwindow.wgt.RDat	CASP8	2	201598166	202652434	0.0274	rs6754084	  4.56	rs13016963	 0.015281	 -4.77	 3.302	372	  1	top1	0.015	6.8e-05	-3.3020	9.60e-04
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.GNLY_1Mwindow.wgt.RDat	GNLY	2	85421481	86425975	0.3518	rs3810821	  4.79	rs7577293	 0.213410	 14.43	-2.170	476	 10	enet	0.24	3.5e-61	-2.8666	4.15e-03
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SPATS2L_1Mwindow.wgt.RDat	SPATS2L	2	200670602	201846987	0.0341	rs13026730	 -3.67	rs295118	 0.009844	  4.69	-1.372	544	544	blup	0.011	0.00071	-0.2279	8.20e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FAM138B_1Mwindow.wgt.RDat	FAM138B	2	113834959	114836429	0.9187	rs752590	  4.12	rs3791339	-0.000901	  3.15	 0.860	360	  5	lasso	-0.00026	0.39	-1.7210	8.53e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CYP26B1_1Mwindow.wgt.RDat	CYP26B1	2	71856367	72874991	0.0484	rs2192332	  2.39	rs7583202	-0.000980	  4.83	 1.175	345	  1	top1	-0.00098	0.82	 1.1750	2.40e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SESTD1_1Mwindow.wgt.RDat	SESTD1	2	179466405	180629559	0.0767	rs1400825	  3.94	rs10208593	 0.039766	  6.06	 0.722	585	  1	top1	0.04	2.3e-10	 0.7220	4.70e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ALMS1_1Mwindow.wgt.RDat	ALMS1	2	73112886	74337046	0.0221	rs2037814	  3.35	rs7598396	 0.001002	  3.97	 0.100	380	380	blup	0.0093	0.0016	 1.0564	2.91e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TLK1_1Mwindow.wgt.RDat	TLK1	2	171347333	172587803	0.0256	rs6433294	  3.89	rs10183486	 0.017879	 -5.61	 0.628	475	  1	top1	0.018	1.8e-05	-0.6280	5.30e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ACYP2_1Mwindow.wgt.RDat	ACYP2	2	53698250	55032437	0.0534	rs10490468	  9.50	rs10183655	 0.074173	 -8.61	 5.749	637	  1	top1	0.074	3.8e-18	-5.7490	8.98e-09
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TMSB10_1Mwindow.wgt.RDat	TMSB10	2	84632780	85633795	0.0527	rs2583547	 -4.61	rs6728804	 0.001777	  4.40	 1.935	383	383	blup	0.027	1.7e-07	 0.0799	9.36e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.COX7A2L_1Mwindow.wgt.RDat	COX7A2L	2	42062699	43096097	0.0486	rs1530165	 -3.34	rs2579966	 0.030670	  6.44	 0.412	512	  2	enet	0.037	8.7e-10	 0.3934	6.94e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CAPG_1Mwindow.wgt.RDat	CAPG	2	85121876	86141139	0.0605	rs3810821	  4.79	rs2002444	 0.026904	 -5.93	 0.496	453	  7	enet	0.044	2.4e-11	-0.9546	3.40e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.EDAR_1Mwindow.wgt.RDat	EDAR	2	109010927	110105676	0.0313	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.011	0.00076	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.C2orf74_1Mwindow.wgt.RDat	C2orf74	2	60872251	61891963	0.0263	rs17537701	 -2.98	rs4671398	 0.036280	  6.82	-0.253	320	  1	top1	0.036	1.4e-09	-0.2530	8.00e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.VIT_1Mwindow.wgt.RDat	VIT	2	36423850	37541937	0.0283	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.0086	0.0022	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.DBI_1Mwindow.wgt.RDat	DBI	2	119624553	120630119	0.0372	NA	    NA	NA	       NA	    NA	    NA	  0	  0	enet	0.014	0.00016	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.IGKV3D-11_1Mwindow.wgt.RDat	IGKV3D-11	2	89711740	90712253	0.0542	NA	    NA	NA	       NA	    NA	    NA	 NA	  0	top1	-0.001	0.93	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.RTP5_1Mwindow.wgt.RDat	RTP5	2	242311881	243315975	0.0161	rs3771555	 -3.89	rs12477174	 0.003530	 -3.60	-0.842	155	155	blup	0.0071	0.0051	 0.7839	4.33e-01
