PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
gdT	RA_only/gdT_5pcs_all/gdT.CARD6_1Mwindow.wgt.RDat	CARD6	5	40341469	41355456	0.0432	NA	   NA	NA	     NA	  NA	   NA	447	  0	blup	0.0081	0.0032	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.AHRR_1Mwindow.wgt.RDat	AHRR	5	0	938400	1.0000	NA	   NA	NA	     NA	  NA	   NA	  0	  0	enet	7.8e-05	0.3	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.GDNF_1Mwindow.wgt.RDat	GDNF	5	37312779	38340143	0.0612	NA	   NA	NA	     NA	  NA	   NA	  0	  0	lasso	0.14	3.8e-32	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.TH2LCRR_1Mwindow.wgt.RDat	TH2LCRR	5	131466281	132491846	0.0998	NA	   NA	NA	     NA	  NA	   NA	  0	  0	lasso	0.13	9.3e-32	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.RAPGEF6_1Mwindow.wgt.RDat	RAPGEF6	5	130259614	131470922	0.0142	rs6870930	-4.30	rs6895586	0.00313	4.19	-3.54	320	320	blup	0.0084	0.0028	-3.90	9.52e-05
gdT	RA_only/gdT_5pcs_all/gdT.SCGB3A1_1Mwindow.wgt.RDat	SCGB3A1	5	179517105	180518499	0.1475	NA	   NA	NA	     NA	  NA	   NA	397	  0	enet	0.12	4.6e-29	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.CENPK_1Mwindow.wgt.RDat	CENPK	5	64312119	65358995	0.0416	NA	   NA	NA	     NA	  NA	   NA	424	  0	enet	0.064	1.5e-15	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.LRRTM2_1Mwindow.wgt.RDat	LRRTM2	5	137704610	138711024	0.1373	NA	   NA	NA	     NA	  NA	   NA	284	  0	blup	0.0013	0.13	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.LHFPL2_1Mwindow.wgt.RDat	LHFPL2	5	77281053	78444595	0.0858	NA	   NA	NA	     NA	  NA	   NA	494	  0	top1	-9e-04	0.7	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.PROP1_1Mwindow.wgt.RDat	PROP1	5	176919236	177923243	0.0725	NA	   NA	NA	     NA	  NA	   NA	  0	  0	enet	0.0027	0.06	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.SYNPO_1Mwindow.wgt.RDat	SYNPO	5	149480638	150538769	0.0780	NA	   NA	NA	     NA	  NA	   NA	  0	  0	lasso	0.0045	0.023	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.JAKMIP2_1Mwindow.wgt.RDat	JAKMIP2	5	146465001	147662291	0.0279	NA	   NA	NA	     NA	  NA	   NA	509	  0	blup	0.004	0.029	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.SLC9A3_1Mwindow.wgt.RDat	SLC9A3	5	0	1024564	0.0958	NA	   NA	NA	     NA	  NA	   NA	327	  0	blup	0.0018	0.1	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.TRIO_1Mwindow.wgt.RDat	TRIO	5	13643451	15010313	0.0376	NA	   NA	NA	     NA	  NA	   NA	742	  0	blup	0.0075	0.0044	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.DIAPH1-AS1_1Mwindow.wgt.RDat	DIAPH1-AS1	5	140437878	141444827	0.0666	NA	   NA	NA	     NA	  NA	   NA	  0	  0	enet	0.00015	0.29	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.ZNF454_1Mwindow.wgt.RDat	ZNF454	5	177868199	178893434	0.5798	NA	   NA	NA	     NA	  NA	   NA	552	  0	blup	0.0049	0.018	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.TERT_1Mwindow.wgt.RDat	TERT	5	753282	1795183	0.1370	NA	   NA	NA	     NA	  NA	   NA	  0	  0	enet	0.0045	0.022	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.PRR7-AS1_1Mwindow.wgt.RDat	PRR7-AS1	5	176364890	177374945	0.0537	NA	   NA	NA	     NA	  NA	   NA	237	  0	lasso	0.05	1.9e-12	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.GMCL2_1Mwindow.wgt.RDat	GMCL2	5	177111506	178114372	0.0365	NA	   NA	NA	     NA	  NA	   NA	  0	  0	lasso	0.1	2.6e-24	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.MIR3936HG_1Mwindow.wgt.RDat	MIR3936HG	5	131146969	132205608	0.0245	rs1875176	-4.25	rs152125	0.00455	4.14	 2.05	425	425	blup	0.0077	0.004	 1.68	9.38e-02
gdT	RA_only/gdT_5pcs_all/gdT.TMED9_1Mwindow.wgt.RDat	TMED9	5	176519204	177524243	0.0249	NA	   NA	NA	     NA	  NA	   NA	234	  0	blup	0.0062	0.0088	   NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.ERAP2_1Mwindow.wgt.RDat	ERAP2	5	95711643	96755420	0.0635	NA	   NA	NA	     NA	  NA	   NA	501	  0	lasso	0.082	1.9e-19	   NA	      NA
