PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK	RA_only/NK_5pcs_all/NK.SPSB1_1Mwindow.wgt.RDat	SPSB1	1	8852953	9929591	0.1219	rs4465231	 -3.983	rs4465231	 1.21e-01	  9.402	-3.9830	418	  1	top1	0.12	3.8e-29	-3.9830	6.81e-05
NK	RA_only/NK_5pcs_all/NK.PADI4_1Mwindow.wgt.RDat	PADI4	1	17134692	18190499	0.1231	rs7534822	 -3.069	rs6691485	 6.92e-02	  8.845	 0.2176	459	  3	enet	0.11	3.6e-26	-0.4502	6.53e-01
NK	RA_only/NK_5pcs_all/NK.HMGN2_1Mwindow.wgt.RDat	HMGN2	1	26298931	27303133	0.0327	rs12685	  7.380	rs11584995	 1.52e-02	  5.292	-0.8604	352	  2	lasso	0.018	1.8e-05	-1.4091	1.59e-01
NK	RA_only/NK_5pcs_all/NK.PYHIN1_1Mwindow.wgt.RDat	PYHIN1	1	158401342	159446849	0.1389	rs703154	 -2.474	rs2325704	 1.16e-01	-10.757	-0.3634	486	  7	enet	0.12	1e-28	 0.6105	5.42e-01
NK	RA_only/NK_5pcs_all/NK.MDM4_1Mwindow.wgt.RDat	MDM4	1	203985534	205027248	0.0383	rs6702751	  4.665	rs12039454	 1.98e-02	  5.161	-0.7691	608	608	blup	0.025	4.5e-07	-2.0808	3.74e-02
NK	RA_only/NK_5pcs_all/NK.NIBAN1_1Mwindow.wgt.RDat	NIBAN1	1	184260166	185443640	0.0348	rs4651256	 -2.322	rs7524825	 1.00e-02	 -4.751	-1.4158	490	  1	top1	0.01	0.001	 1.4158	1.57e-01
NK	RA_only/NK_5pcs_all/NK.LEPROT_1Mwindow.wgt.RDat	LEPROT	1	65386351	66401690	0.0246	rs1892535	  6.258	rs10493377	 3.87e-02	  6.320	 2.8892	437	  1	top1	0.039	3.9e-10	 2.8892	3.86e-03
NK	RA_only/NK_5pcs_all/NK.AKR7A2_1Mwindow.wgt.RDat	AKR7A2	1	19129202	20138640	0.0313	rs1078895	 -3.362	rs16862370	 2.86e-03	 -3.439	 0.8888	488	  1	top1	0.0029	0.052	-0.8888	3.74e-01
NK	RA_only/NK_5pcs_all/NK.CHI3L2_1Mwindow.wgt.RDat	CHI3L2	1	111270281	112286062	0.3778	rs817582	 -5.068	rs654997	 2.17e-01	 14.520	 0.2097	566	  3	lasso	0.26	1.1e-64	 1.8021	7.15e-02
NK	RA_only/NK_5pcs_all/NK.GAS5_1Mwindow.wgt.RDat	GAS5	1	173333037	174338020	0.1000	rs12568869	  2.593	rs11576174	 5.57e-02	  5.019	-0.2801	261	  1	top1	0.056	6.1e-14	-0.2801	7.79e-01
NK	RA_only/NK_5pcs_all/NK.CROCC_1Mwindow.wgt.RDat	CROCC	1	16748426	17799459	0.0253	rs696605	 -2.652	rs11585357	 7.99e-03	 -4.311	 0.9360	337	  1	top1	0.008	0.0031	-0.9360	3.49e-01
NK	RA_only/NK_5pcs_all/NK.DISC1_1Mwindow.wgt.RDat	DISC1	1	231262536	232677018	0.0319	rs967433	 -3.195	rs6656071	 4.28e-03	 -4.653	 1.9293	757	  2	enet	0.0083	0.0026	 0.7448	4.56e-01
NK	RA_only/NK_5pcs_all/NK.FCER1A_1Mwindow.wgt.RDat	FCER1A	1	158753365	159777992	0.0305	rs12138167	  2.743	rs4656837	-9.91e-04	  3.593	 0.0219	438	438	blup	0.0012	0.15	-0.0803	9.36e-01
NK	RA_only/NK_5pcs_all/NK.FCGR2A_1Mwindow.wgt.RDat	FCGR2A	1	160975247	161989619	0.1054	rs10799941	  6.438	rs2099684	 4.69e-02	  7.453	-0.2731	432	  1	lasso	0.062	2.2e-15	 0.3863	6.99e-01
NK	RA_only/NK_5pcs_all/NK.PIK3R3_1Mwindow.wgt.RDat	PIK3R3	1	46005812	47140573	0.0165	rs1707302	 -3.279	rs17102080	 6.42e-03	 -3.830	 0.1500	355	355	blup	0.0079	0.0032	 2.5892	9.62e-03
NK	RA_only/NK_5pcs_all/NK.PHLDA3_1Mwindow.wgt.RDat	PHLDA3	1	200933406	201938316	0.1236	rs7415038	  3.336	rs10920207	 6.88e-02	  8.456	-1.7513	626	  1	lasso	0.073	7.9e-18	-1.7513	7.99e-02
NK	RA_only/NK_5pcs_all/NK.OR2T8_1Mwindow.wgt.RDat	OR2T8	1	247583554	248586454	0.1348	rs10157379	  8.127	rs7514184	 5.73e-02	  8.849	-0.9144	443	  1	top1	0.057	2.6e-14	-0.9144	3.61e-01
NK	RA_only/NK_5pcs_all/NK.LRRIQ3_1Mwindow.wgt.RDat	LRRIQ3	1	73991699	75163860	0.0494	rs274576	 -2.046	rs11806946	 5.42e-02	 -7.411	-0.7737	397	  1	top1	0.054	1.3e-13	 0.7737	4.39e-01
NK	RA_only/NK_5pcs_all/NK.CAP1_1Mwindow.wgt.RDat	CAP1	1	40005912	41038320	0.0345	rs6663003	  4.294	rs12059558	 4.37e-03	  3.968	-0.8273	397	397	blup	0.015	8e-05	-1.0601	2.89e-01
NK	RA_only/NK_5pcs_all/NK.CD164L2_1Mwindow.wgt.RDat	CD164L2	1	27205666	28209823	0.0112	NA	     NA	NA	       NA	     NA	     NA	  0	  0	lasso	-0.00079	0.63	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.TNFRSF4_1Mwindow.wgt.RDat	TNFRSF4	1	646720	1649533	0.0311	rs4970362	 -3.166	rs12036216	-9.53e-04	 -4.162	-1.0283	144	  3	enet	0.0082	0.0027	 1.5409	1.23e-01
NK	RA_only/NK_5pcs_all/NK.RPS8_1Mwindow.wgt.RDat	RPS8	1	44741212	45744451	0.0927	rs12734435	 -3.010	rs11211024	 7.89e-02	 -9.698	-0.3650	328	  4	lasso	0.09	8.7e-22	 0.4897	6.24e-01
NK	RA_only/NK_5pcs_all/NK.CD48_1Mwindow.wgt.RDat	CD48	1	160148536	161181612	0.0641	rs11576830	  2.733	rs1553456	 2.76e-02	  5.683	-0.1972	413	  1	top1	0.028	1.2e-07	-0.1972	8.44e-01
NK	RA_only/NK_5pcs_all/NK.ECE1-AS1_1Mwindow.wgt.RDat	ECE1-AS1	1	21119783	22126362	0.0412	rs710946	  3.357	rs12083062	 4.72e-03	  4.852	-1.1757	351	  1	lasso	0.0072	0.0046	-1.1757	2.40e-01
NK	RA_only/NK_5pcs_all/NK.COLGALT2_1Mwindow.wgt.RDat	COLGALT2	1	183398796	184506862	0.3555	rs1409813	 -3.744	rs10797924	 1.78e-01	-13.093	 1.4481	533	  2	lasso	0.19	3.6e-45	-1.2159	2.24e-01
NK	RA_only/NK_5pcs_all/NK.PPIAL4D_1Mwindow.wgt.RDat	PPIAL4D	1	147701752	148702511	0.4766	rs2932505	 -1.305	rs2932505	-1.03e-03	 -0.889	-1.3046	 22	  1	top1	-0.001	0.93	 1.3046	1.92e-01
NK	RA_only/NK_5pcs_all/NK.MGST3_1Mwindow.wgt.RDat	MGST3	1	165100471	166125373	0.0809	rs16847331	 -4.183	rs4147596	 7.30e-02	 -8.418	 1.2467	610	  1	top1	0.073	6.9e-18	-1.2467	2.13e-01
NK	RA_only/NK_5pcs_all/NK.THEMIS2_1Mwindow.wgt.RDat	THEMIS2	1	27699055	28713186	0.2059	rs11538306	  5.210	rs2295367	 2.21e-01	-14.864	-1.2244	224	 13	enet	0.24	1.2e-58	 2.2222	2.63e-02
NK	RA_only/NK_5pcs_all/NK.PADI6_1Mwindow.wgt.RDat	PADI6	1	17198691	18228195	0.1349	rs7534822	 -3.069	rs6695849	 1.31e-01	 11.370	 0.2586	478	  1	top1	0.13	1.4e-31	 0.2586	7.96e-01
NK	RA_only/NK_5pcs_all/NK.CD52_1Mwindow.wgt.RDat	CD52	1	26144449	27147014	0.1495	rs12685	  7.380	rs11577318	 1.80e-01	-13.313	 2.4909	391	 10	enet	0.2	5.1e-49	-2.5975	9.39e-03
NK	RA_only/NK_5pcs_all/NK.SLC1A7_1Mwindow.wgt.RDat	SLC1A7	1	53052855	54108310	0.0899	rs6588431	  3.358	rs12568971	 2.85e-02	 -6.638	-0.6438	497	497	blup	0.056	4.6e-14	 0.6760	4.99e-01
NK	RA_only/NK_5pcs_all/NK.PHGDH_1Mwindow.wgt.RDat	PHGDH	1	119754557	120786838	0.0415	rs10923791	 -3.259	rs942835	 3.90e-02	  5.684	 0.3786	341	  1	top1	0.039	3.4e-10	 0.3786	7.05e-01
NK	RA_only/NK_5pcs_all/NK.MEAF6_1Mwindow.wgt.RDat	MEAF6	1	37455594	38480367	0.0305	rs12049327	  3.009	rs7544462	 7.46e-03	 -3.508	 2.8215	433	433	blup	0.0085	0.0023	-1.2293	2.19e-01
NK	RA_only/NK_5pcs_all/NK.CCSAP_1Mwindow.wgt.RDat	CCSAP	1	228956762	229978794	0.0573	rs348330	  3.256	rs237819	 4.56e-02	  7.116	-2.1460	463	  1	top1	0.046	1.1e-11	-2.1460	3.19e-02
NK	RA_only/NK_5pcs_all/NK.EFCAB14_1Mwindow.wgt.RDat	EFCAB14	1	46640831	47684786	0.0191	rs11584024	 -2.836	rs6680773	 5.36e-03	 -4.897	-0.7894	354	  1	top1	0.0054	0.013	 0.7894	4.30e-01
NK	RA_only/NK_5pcs_all/NK.LINC02608_1Mwindow.wgt.RDat	LINC02608	1	211886344	212958363	0.0449	rs4951583	 -3.050	rs11576437	 3.58e-02	  6.391	-1.7090	461	  1	top1	0.036	1.7e-09	-1.7090	8.75e-02
NK	RA_only/NK_5pcs_all/NK.S100A10_1Mwindow.wgt.RDat	S100A10	1	151455391	152466335	0.0608	rs6673116	 -2.422	rs2999526	 1.74e-02	  5.298	-0.8627	342	  1	top1	0.017	2.2e-05	-0.8627	3.88e-01
NK	RA_only/NK_5pcs_all/NK.PM20D1_1Mwindow.wgt.RDat	PM20D1	1	205297153	206319260	0.0531	rs1041309	  5.363	rs960603	 9.77e-03	 -5.258	 1.6791	356	356	blup	0.02	5.4e-06	 0.1375	8.91e-01
NK	RA_only/NK_5pcs_all/NK.GJA4_1Mwindow.wgt.RDat	GJA4	1	34758600	35761348	1.0000	NA	     NA	NA	       NA	     NA	     NA	  0	  0	enet	-0.00096	0.79	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.KIAA0040_1Mwindow.wgt.RDat	KIAA0040	1	174626122	175662123	0.0363	rs859446	 -2.645	rs4650716	 2.92e-02	 -5.658	-0.1143	486	  2	lasso	0.032	1.1e-08	-0.1134	9.10e-01
NK	RA_only/NK_5pcs_all/NK.CPTP_1Mwindow.wgt.RDat	CPTP	1	760182	1764276	0.0322	rs4970362	 -3.166	rs35424002	 1.87e-03	  2.936	-0.6339	170	170	blup	0.0089	0.0019	 0.3727	7.09e-01
NK	RA_only/NK_5pcs_all/NK.GSTM4_1Mwindow.wgt.RDat	GSTM4	1	109698721	110708119	0.0937	rs583104	 -4.552	rs12745189	 7.13e-02	 -7.708	 0.7136	431	  8	enet	0.073	6.8e-18	-2.2371	2.53e-02
NK	RA_only/NK_5pcs_all/NK.RPL11_1Mwindow.wgt.RDat	RPL11	1	23518269	24523325	0.0821	rs623988	  3.446	rs3753270	 6.13e-02	 -8.006	-1.7494	334	  1	top1	0.061	3.2e-15	 1.7494	8.02e-02
NK	RA_only/NK_5pcs_all/NK.USF1_1Mwindow.wgt.RDat	USF1	1	160509041	161515767	0.0766	NA	     NA	NA	       NA	     NA	     NA	  0	  0	lasso	0.05	1.1e-12	     NA	      NA
