PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
gdT	RA_only/gdT_5pcs_all/gdT.CARD6_1Mwindow.wgt.RDat	CARD6	5	40341469	41355456	0.0432	rs4957361	-2.78	rs10041894	 1.01e-03	-3.39	-2.0655	447	447	blup	0.0081	0.0032	 1.337	0.1813
gdT	RA_only/gdT_5pcs_all/gdT.AHRR_1Mwindow.wgt.RDat	AHRR	5	0	938400	1.0000	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	7.8e-05	0.3	    NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.GDNF_1Mwindow.wgt.RDat	GDNF	5	37312779	38340143	0.0612	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.14	3.8e-32	    NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.TH2LCRR_1Mwindow.wgt.RDat	TH2LCRR	5	131466281	132491846	0.0998	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.13	9.3e-32	    NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.RAPGEF6_1Mwindow.wgt.RDat	RAPGEF6	5	130259614	131470922	0.0142	rs39897	-2.12	rs6895586	 3.13e-03	 4.19	-0.5122	320	320	blup	0.0084	0.0028	-0.506	0.6128
gdT	RA_only/gdT_5pcs_all/gdT.SCGB3A1_1Mwindow.wgt.RDat	SCGB3A1	5	179517105	180518499	0.1475	rs1465982	-2.91	rs2453176	 1.04e-01	10.96	-2.0321	397	  3	enet	0.12	4.6e-29	-2.228	0.0259
gdT	RA_only/gdT_5pcs_all/gdT.CENPK_1Mwindow.wgt.RDat	CENPK	5	64312119	65358995	0.0416	rs2020262	 2.68	rs166329	 5.78e-02	 8.08	-1.2426	424	  3	enet	0.064	1.5e-15	-1.098	0.2723
gdT	RA_only/gdT_5pcs_all/gdT.LRRTM2_1Mwindow.wgt.RDat	LRRTM2	5	137704610	138711024	0.1373	rs11743810	-3.33	rs1432873	-9.43e-04	 6.07	-1.5321	284	284	blup	0.0013	0.13	-2.351	0.0187
gdT	RA_only/gdT_5pcs_all/gdT.LHFPL2_1Mwindow.wgt.RDat	LHFPL2	5	77281053	78444595	0.0858	rs252749	-4.00	rs16876106	-9.03e-04	 5.70	 2.1728	494	  1	top1	-9e-04	0.7	 2.173	0.0298
gdT	RA_only/gdT_5pcs_all/gdT.PROP1_1Mwindow.wgt.RDat	PROP1	5	176919236	177923243	0.0725	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	0.0027	0.06	    NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.SYNPO_1Mwindow.wgt.RDat	SYNPO	5	149480638	150538769	0.0780	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0045	0.023	    NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.JAKMIP2_1Mwindow.wgt.RDat	JAKMIP2	5	146465001	147662291	0.0279	rs17599675	-3.59	rs10064995	 8.39e-05	-3.90	-2.5433	509	509	blup	0.004	0.029	 1.330	0.1835
gdT	RA_only/gdT_5pcs_all/gdT.SLC9A3_1Mwindow.wgt.RDat	SLC9A3	5	0	1024564	0.0958	rs11743226	 2.60	rs9763161	-9.84e-04	 5.22	 0.0565	327	327	blup	0.0018	0.1	-0.946	0.3440
gdT	RA_only/gdT_5pcs_all/gdT.TRIO_1Mwindow.wgt.RDat	TRIO	5	13643451	15010313	0.0376	rs9312873	-4.72	rs164861	 2.23e-03	 3.97	-0.4702	742	742	blup	0.0075	0.0044	 0.250	0.8029
gdT	RA_only/gdT_5pcs_all/gdT.DIAPH1-AS1_1Mwindow.wgt.RDat	DIAPH1-AS1	5	140437878	141444827	0.0666	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	0.00015	0.29	    NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.ZNF454_1Mwindow.wgt.RDat	ZNF454	5	177868199	178893434	0.5798	rs566974	-2.96	rs533024	-9.59e-04	 4.79	-1.3841	552	552	blup	0.0049	0.018	-0.264	0.7915
gdT	RA_only/gdT_5pcs_all/gdT.TERT_1Mwindow.wgt.RDat	TERT	5	753282	1795183	0.1370	NA	   NA	NA	       NA	   NA	     NA	  0	  0	enet	0.0045	0.022	    NA	    NA
