PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_naive	RA_only/B_naive_5pcs_all/B_naive.DNLZ_1Mwindow.wgt.RDat	DNLZ	9	138753935	139758196	0.0352	rs7860634	-7.24	rs11145958	-0.000144	  4.06	-4.910	298	298	blup	0.0041	0.026	-3.0800	0.00207
B_naive	RA_only/B_naive_5pcs_all/B_naive.ENDOG_1Mwindow.wgt.RDat	ENDOG	9	131080779	132084955	0.0368	rs7866897	-6.14	rs2997922	 0.007888	 -4.33	 3.760	277	277	blup	0.012	0.00046	-2.3084	0.02097
B_naive	RA_only/B_naive_5pcs_all/B_naive.RAB14_1Mwindow.wgt.RDat	RAB14	9	123440411	124464147	0.0253	rs2416829	-4.76	rs12551209	 0.003326	  3.49	 1.995	415	415	blup	0.0078	0.0035	-1.7083	0.08758
B_naive	RA_only/B_naive_5pcs_all/B_naive.HACD4_1Mwindow.wgt.RDat	HACD4	9	20499508	21531639	0.0820	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.07	4.9e-17	     NA	     NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPS6_1Mwindow.wgt.RDat	RPS6	9	18875713	19880234	0.0341	rs7043344	-4.36	rs10119465	-0.000840	 -3.92	 1.126	529	529	blup	0.007	0.0052	 1.6888	0.09126
B_naive	RA_only/B_naive_5pcs_all/B_naive.CDK20_1Mwindow.wgt.RDat	CDK20	9	90081356	91089448	0.0738	rs10780909	 3.76	rs12346877	 0.002706	  3.68	 2.183	474	  1	top1	0.0027	0.058	 2.1830	0.02904
B_naive	RA_only/B_naive_5pcs_all/B_naive.CEMIP2_1Mwindow.wgt.RDat	CEMIP2	9	73798282	74883429	0.0492	rs1826324	-3.83	rs25688	 0.033472	  6.11	 1.372	441	  1	top1	0.033	6.3e-09	 1.3720	0.17006
B_naive	RA_only/B_naive_5pcs_all/B_naive.FUT7_1Mwindow.wgt.RDat	FUT7	9	139424626	140426540	0.0268	NA	   NA	NA	       NA	    NA	    NA	270	  0	top1	0.028	1.1e-07	     NA	     NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.LINC01242_1Mwindow.wgt.RDat	LINC01242	9	29888933	30908452	0.3041	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.034	4.2e-09	     NA	     NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.OSTF1_1Mwindow.wgt.RDat	OSTF1	9	77203430	78262181	0.0505	rs11144020	-3.55	rs2273770	 0.023147	 -5.68	 1.598	468	  1	top1	0.023	1.2e-06	-1.5980	0.11004
B_naive	RA_only/B_naive_5pcs_all/B_naive.OMD_1Mwindow.wgt.RDat	OMD	9	94674662	95686753	0.0176	rs10992480	 3.00	rs4744122	 0.002316	  4.84	-1.150	377	  2	enet	0.0066	0.0067	-1.2452	0.21305
B_naive	RA_only/B_naive_5pcs_all/B_naive.SHC3_1Mwindow.wgt.RDat	SHC3	9	91120686	92293733	0.0274	rs1502707	-5.11	rs7853231	 0.002626	  4.80	 0.126	487	487	blup	0.007	0.0054	 0.3821	0.70238
B_naive	RA_only/B_naive_5pcs_all/B_naive.CTNNAL1_1Mwindow.wgt.RDat	CTNNAL1	9	111204857	112275779	0.1122	rs885506	-4.75	rs1140064	 0.081561	  9.08	 1.960	634	  1	top1	0.082	9.1e-20	 1.9600	0.05000
B_naive	RA_only/B_naive_5pcs_all/B_naive.SEC61B_1Mwindow.wgt.RDat	SEC61B	9	101484564	102492897	0.0392	rs3739799	-2.94	rs12336513	 0.020210	 -5.66	 1.845	366	  1	top1	0.02	5.6e-06	-1.8450	0.06504
B_naive	RA_only/B_naive_5pcs_all/B_naive.SNHG7_1Mwindow.wgt.RDat	SNHG7	9	139119046	140122636	0.1269	NA	   NA	NA	       NA	    NA	    NA	  0	  0	enet	0.066	3.8e-16	     NA	     NA
