PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ZNF396_1Mwindow.wgt.RDat	ZNF396	18	32446658	33457301	0.0666	rs2978362	-3.60	rs8093346	 3.32e-02	 -4.31	-0.058	366	  1	top1	0.033	6.6e-09	 0.0580	0.953749
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ROCK1_1Mwindow.wgt.RDat	ROCK1	18	18026867	19191774	0.0229	rs11660409	 1.38	rs17202361	 1.99e-02	 -4.96	-0.650	106	  1	lasso	0.021	4.2e-06	 0.6500	0.515692
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.KIAA1328_1Mwindow.wgt.RDat	KIAA1328	18	33909090	35312135	0.0395	rs11663050	 6.59	rs12958534	 1.07e-02	  5.77	 2.416	628	628	blup	0.022	1.6e-06	-1.1105	0.266779
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LINC01882_1Mwindow.wgt.RDat	LINC01882	18	12239485	13249421	0.0450	rs3760549	 2.21	rs12959287	 2.06e-02	  5.31	-0.825	394	  1	lasso	0.027	1.4e-07	-0.9470	0.343639
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CD226_1Mwindow.wgt.RDat	CD226	18	67020510	68124035	0.0438	rs10871644	-3.02	rs1790588	 1.51e-02	  4.74	 0.586	518	  1	enet	0.026	2.3e-07	 0.2040	0.838353
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ENOSF1_1Mwindow.wgt.RDat	ENOSF1	18	170318	1212630	0.1086	rs1893154	 2.62	rs7228136	 8.83e-02	  9.90	 0.535	562	  6	enet	0.099	8e-24	 0.5119	0.608722
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TPGS2_1Mwindow.wgt.RDat	TPGS2	18	33859987	34908965	0.2227	rs1625542	-3.34	rs1045781	 1.56e-01	-11.98	 2.210	450	  4	lasso	0.17	2e-40	-1.8037	0.071280
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SERPINB5_1Mwindow.wgt.RDat	SERPINB5	18	60644191	61672318	0.0621	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	-0.00052	0.48	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.NDUFV2-AS1_1Mwindow.wgt.RDat	NDUFV2-AS1	18	8621263	9636718	0.0768	rs11663276	 3.32	rs7228251	 5.50e-02	 -8.12	-0.368	528	  1	top1	0.055	8.4e-14	 0.3680	0.712873
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SOCS6_1Mwindow.wgt.RDat	SOCS6	18	67456281	68497435	0.0266	rs1282599	 2.52	rs9966831	 1.13e-02	 -4.14	 0.695	388	  2	lasso	0.016	4.7e-05	 1.4194	0.155779
