PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.IGFLR1_1Mwindow.wgt.RDat	IGFLR1	19	35729702	36733353	0.0980	rs7258909	-3.70	rs2871921	 7.83e-02	 -8.66	 0.074	406	  1	top1	0.078	5.5e-19	-0.0740	0.9410
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CBLC_1Mwindow.wgt.RDat	CBLC	19	44781126	45803909	0.0785	rs4420638	-4.26	rs17727484	-1.03e-03	  6.40	-1.231	421	  1	top1	-0.001	0.93	-1.2310	0.2183
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.GALP_1Mwindow.wgt.RDat	GALP	19	56187377	57197144	0.0438	rs8106321	 3.18	rs10410404	-1.02e-03	  6.07	 0.542	522	522	blup	-0.00094	0.76	 0.7219	0.4704
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CFD_1Mwindow.wgt.RDat	CFD	19	359664	1363641	0.0998	rs4807630	 2.88	rs1683593	 5.86e-02	  8.73	-0.442	378	  3	enet	0.077	1.2e-18	 1.4625	0.1436
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.DLL3_1Mwindow.wgt.RDat	DLL3	19	39489587	40499109	0.0314	rs2318896	-3.54	rs16973342	-2.06e-04	  3.63	 1.538	426	426	blup	0.005	0.016	-0.7046	0.4810
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.LRG1_1Mwindow.wgt.RDat	LRG1	19	4036414	5040048	0.0563	rs4292029	-2.93	rs3746031	 4.02e-03	  5.06	 0.130	334	  1	top1	0.004	0.027	 0.1300	0.8966
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.ZNF331_1Mwindow.wgt.RDat	ZNF331	19	53524268	54583523	0.0364	rs462094	 2.78	rs10404048	 1.99e-03	  3.50	-0.983	409	409	blup	0.0044	0.023	-0.6195	0.5356
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.VSTM2B-DT_1Mwindow.wgt.RDat	VSTM2B-DT	19	29277916	30516657	0.0385	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.16	3.8e-38	     NA	    NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.PAK4_1Mwindow.wgt.RDat	PAK4	19	39116426	40173456	0.0345	rs10403012	-3.92	rs12980275	 2.86e-03	 -3.35	 1.518	416	416	blup	0.0057	0.011	 0.3765	0.7066
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.KLC3_1Mwindow.wgt.RDat	KLC3	19	45344008	46354777	0.0609	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.0051	0.015	     NA	    NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.ZNF749_1Mwindow.wgt.RDat	ZNF749	19	57446693	58458469	0.0683	rs4801454	 2.70	rs11665675	 6.04e-02	 -7.55	 0.794	484	  1	top1	0.06	6.4e-15	-0.7940	0.4272
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.DBP_1Mwindow.wgt.RDat	DBP	19	48633287	49640636	0.0334	rs281407	-3.57	rs8355	-5.68e-04	 -3.90	 1.757	427	  2	enet	0.0081	0.0031	 0.0535	0.9574
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CPT1C_1Mwindow.wgt.RDat	CPT1C	19	49694105	50716988	0.0802	rs2946851	 2.39	rs245110	 4.25e-02	  3.94	-0.202	301	  1	top1	0.042	6.6e-11	-0.2020	0.8399
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.GPI_1Mwindow.wgt.RDat	GPI	19	34355645	35393318	0.0372	rs10500276	 1.93	rs17718397	-7.91e-04	 -3.27	 0.889	343	343	blup	-0.00047	0.46	 0.4598	0.6457
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.ZNF85_1Mwindow.wgt.RDat	ZNF85	19	20606057	21633503	0.0219	rs7251204	 2.08	rs11669114	 2.36e-02	  6.14	-0.639	233	  1	top1	0.024	9.8e-07	-0.6390	0.5228
