PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ASL_1Mwindow.wgt.RDat	ASL	7	65040806	66058563	0.0333	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.026	2.6e-07	    NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.EPHB6_1Mwindow.wgt.RDat	EPHB6	7	142052838	143068847	0.0357	rs8176059	  5.97	rs2886994	 0.003092	  4.29	-2.512	378	378	blup	0.012	0.00041	-0.502	6.16e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NT5C3A_1Mwindow.wgt.RDat	NT5C3A	7	32553725	33602388	0.0251	rs3956705	 -7.78	rs4338000	 0.005755	  4.72	-2.938	347	347	blup	0.0082	0.0027	-2.095	3.61e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GIMAP4_1Mwindow.wgt.RDat	GIMAP4	7	149764478	150771041	0.0387	rs1608158	  5.91	rs6464078	 0.035389	  6.38	-3.455	425	  1	top1	0.035	2.2e-09	-3.455	5.50e-04
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.HIPK2_1Mwindow.wgt.RDat	HIPK2	7	138746316	139977797	0.0367	rs2355787	 -4.89	rs28642156	-0.000518	 -4.08	-2.075	482	482	blup	0.0048	0.018	 0.552	5.81e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.VWDE_1Mwindow.wgt.RDat	VWDE	7	11870511	12943491	0.0762	rs6946407	  2.93	rs17444259	 0.079688	  6.40	 0.722	668	  1	top1	0.08	2.1e-19	 0.722	4.70e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.DAGLB_1Mwindow.wgt.RDat	DAGLB	7	5948760	6987585	0.0486	rs17136324	 17.04	rs12537894	 0.027464	  4.62	 7.074	278	  1	top1	0.027	1.3e-07	 7.074	1.51e-12
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.JAZF1_1Mwindow.wgt.RDat	JAZF1	7	27370196	28720414	0.0385	rs849137	  4.87	rs2189966	 0.032349	  5.91	 0.332	711	  1	top1	0.032	1e-08	 0.332	7.40e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TOMM7_1Mwindow.wgt.RDat	TOMM7	7	22352593	23362468	0.2558	rs2286492	 -3.42	rs10276099	 0.222435	-14.91	 0.659	500	  1	top1	0.22	5.5e-55	-0.659	5.10e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LAMB1_1Mwindow.wgt.RDat	LAMB1	7	107064244	108143606	0.1903	rs6943051	 -3.55	rs6944829	 0.235051	-15.48	-1.200	528	  5	enet	0.24	1.2e-60	 1.315	1.89e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.EMSLR_1Mwindow.wgt.RDat	EMSLR	7	100451588	101454620	0.0611	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.035	3.3e-09	    NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.KLHL7-DT_1Mwindow.wgt.RDat	KLHL7-DT	7	22640847	23645322	0.0206	rs2286492	 -3.42	rs10256996	 0.006413	  3.90	 0.896	424	424	blup	0.0099	0.0011	 1.044	2.97e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ZNF713_1Mwindow.wgt.RDat	ZNF713	7	55455149	56509918	0.0359	NA	    NA	NA	       NA	    NA	    NA	  0	  0	enet	0.035	2.8e-09	    NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SEMA3A_1Mwindow.wgt.RDat	SEMA3A	7	83085093	84324105	0.0497	rs42027	  3.85	rs1990046	 0.014802	  5.92	 1.200	503	  1	enet	0.041	1.4e-10	-0.643	5.20e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TBRG4_1Mwindow.wgt.RDat	TBRG4	7	44639699	45651296	0.0324	rs2268310	 -3.47	rs799449	-0.000165	 -3.67	-0.399	427	427	blup	0.013	0.00028	 0.267	7.89e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RAC1_1Mwindow.wgt.RDat	RAC1	7	5914158	6943598	0.0499	rs17136324	 17.04	rs836549	 0.027737	  5.54	 4.125	282	  1	enet	0.029	5.7e-08	 4.125	3.71e-05
