PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
gdT	RA_only/gdT_5pcs_all/gdT.NUCB2_1Mwindow.wgt.RDat	NUCB2	11	16798286	17853758	0.0214	rs2355017	-2.63	rs7925692	 8.46e-03	 3.94	-0.977	560	560	blup	0.011	0.00091	 0.00748	0.99403
gdT	RA_only/gdT_5pcs_all/gdT.RBM14_1Mwindow.wgt.RDat	RBM14	11	65884101	66897405	0.0195	rs559298	 2.27	rs3867132	 2.60e-04	 3.73	 0.717	258	258	blup	0.0044	0.023	 0.48891	0.62490
gdT	RA_only/gdT_5pcs_all/gdT.ASCL2_1Mwindow.wgt.RDat	ASCL2	11	1789728	2791818	0.0398	rs3842727	-4.66	rs1029409	 1.89e-03	-3.99	 0.375	446	  6	enet	0.0074	0.0048	-2.69225	0.00710
gdT	RA_only/gdT_5pcs_all/gdT.FOLR2_1Mwindow.wgt.RDat	FOLR2	11	71427838	72432994	0.0345	rs522381	-3.49	rs3763797	 7.62e-02	 6.08	-0.120	290	  1	top1	0.076	3.4e-18	-0.12030	0.90425
gdT	RA_only/gdT_5pcs_all/gdT.C11orf24_1Mwindow.wgt.RDat	C11orf24	11	67528806	68539441	0.0631	rs3763941	-2.97	rs450112	 1.40e-02	 5.26	 1.398	283	283	blup	0.027	2.8e-07	-0.06564	0.94767
gdT	RA_only/gdT_5pcs_all/gdT.TIMM10_1Mwindow.wgt.RDat	TIMM10	11	56795937	57798227	0.0266	rs662638	 3.43	rs2729371	 7.82e-03	 4.82	 2.182	380	  4	enet	0.013	0.00026	 0.98429	0.32497
gdT	RA_only/gdT_5pcs_all/gdT.FADS2_1Mwindow.wgt.RDat	FADS2	11	61083675	62134826	0.0716	rs4246215	-5.22	rs968567	 6.22e-02	 8.01	-2.969	411	  1	top1	0.062	4.5e-15	-2.96890	0.00299
gdT	RA_only/gdT_5pcs_all/gdT.RRAS2_1Mwindow.wgt.RDat	RRAS2	11	13799466	14886052	0.0356	rs2597196	 3.20	rs4382869	 1.60e-02	-4.81	-1.403	419	  3	enet	0.022	2.4e-06	 1.37388	0.16948
gdT	RA_only/gdT_5pcs_all/gdT.GPHA2_1Mwindow.wgt.RDat	GPHA2	11	64201943	65203365	0.0148	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	-0.00085	0.66	      NA	     NA
gdT	RA_only/gdT_5pcs_all/gdT.LINC01150_1Mwindow.wgt.RDat	LINC01150	11	1417989	2429589	0.0349	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.13	2.1e-31	      NA	     NA
gdT	RA_only/gdT_5pcs_all/gdT.PGA3_1Mwindow.wgt.RDat	PGA3	11	60470987	61480570	0.0702	rs12794220	 3.13	rs6591629	-9.61e-04	 4.99	 0.327	322	322	blup	0.0027	0.06	 0.17076	0.86441
gdT	RA_only/gdT_5pcs_all/gdT.EHF_1Mwindow.wgt.RDat	EHF	11	34142640	35184835	0.0207	rs2421763	 2.86	rs17435469	-1.06e-03	 4.88	 0.428	645	645	blup	-0.001	0.85	 0.47434	0.63526
gdT	RA_only/gdT_5pcs_all/gdT.IFITM3_1Mwindow.wgt.RDat	IFITM3	11	0	820860	0.0861	rs3782123	-4.09	rs7944394	 4.87e-02	-7.40	 1.013	308	  4	enet	0.054	2.9e-13	-0.26354	0.79213
gdT	RA_only/gdT_5pcs_all/gdT.DDX25_1Mwindow.wgt.RDat	DDX25	11	125273223	126298738	0.0558	rs2276312	 2.69	rs12287250	 1.36e-02	 6.44	 0.683	586	  1	top1	0.014	2e-04	 0.68310	0.49454
gdT	RA_only/gdT_5pcs_all/gdT.CORO1B_1Mwindow.wgt.RDat	CORO1B	11	66702981	67711280	0.0408	rs7936800	-2.47	rs3741168	 3.92e-02	-6.31	-1.893	220	  1	top1	0.039	5.1e-10	 1.89350	0.05829
gdT	RA_only/gdT_5pcs_all/gdT.SCARNA9_1Mwindow.wgt.RDat	SCARNA9	11	92954680	93955032	0.1013	rs11020241	 2.14	rs11020468	-7.17e-04	 7.31	-0.114	407	  1	top1	-0.00072	0.57	-0.11410	0.90916
gdT	RA_only/gdT_5pcs_all/gdT.EI24_1Mwindow.wgt.RDat	EI24	11	124939373	125954579	0.0305	rs7117500	-2.62	rs11220058	 6.91e-03	-3.87	 0.421	552	  1	top1	0.0069	0.0061	-0.42090	0.67383
gdT	RA_only/gdT_5pcs_all/gdT.CTSW_1Mwindow.wgt.RDat	CTSW	11	65147308	66151212	0.1114	rs1151488	-3.15	rs601863	 7.04e-02	-8.28	-0.978	349	  1	top1	0.07	6.7e-17	 0.97820	0.32798
gdT	RA_only/gdT_5pcs_all/gdT.AIP_1Mwindow.wgt.RDat	AIP	11	66750497	67758574	0.0210	rs7936800	-2.47	rs1871034	-1.47e-04	-3.67	-0.310	219	219	blup	0.0065	0.0075	 1.38174	0.16705
gdT	RA_only/gdT_5pcs_all/gdT.XRRA1_1Mwindow.wgt.RDat	XRRA1	11	74051955	75160136	0.0685	rs4531492	-2.81	rs4483614	 5.16e-02	 7.27	-2.335	494	  1	top1	0.052	9.7e-13	-2.33460	0.01956
gdT	RA_only/gdT_5pcs_all/gdT.HTR3B_1Mwindow.wgt.RDat	HTR3B	11	113275518	114319801	0.1723	rs11600570	-4.28	rs897685	-7.69e-04	 4.15	-0.463	570	  1	top1	-0.00077	0.6	-0.46260	0.64365
gdT	RA_only/gdT_5pcs_all/gdT.MRPL21_1Mwindow.wgt.RDat	MRPL21	11	68158746	69171300	0.0222	rs2156464	-2.93	rs613084	 1.82e-04	-3.44	-0.128	395	395	blup	0.0088	0.0022	 0.65335	0.51353
gdT	RA_only/gdT_5pcs_all/gdT.LDHC_1Mwindow.wgt.RDat	LDHC	11	17933865	18973610	0.0808	rs2896526	-3.27	rs4757650	 4.92e-02	 8.06	-0.550	447	  1	top1	0.049	3.3e-12	-0.54960	0.58259
gdT	RA_only/gdT_5pcs_all/gdT.TRMT112_1Mwindow.wgt.RDat	TRMT112	11	63583932	64586068	0.0243	rs523200	-3.67	rs11231727	-1.81e-05	-3.97	-0.820	347	347	blup	0.0077	0.0041	-1.30217	0.19286
gdT	RA_only/gdT_5pcs_all/gdT.IGHMBP2_1Mwindow.wgt.RDat	IGHMBP2	11	68171359	69208069	0.0467	rs2156464	-2.93	rs10896384	 2.08e-03	 3.49	 1.248	410	410	blup	0.0054	0.014	 0.90851	0.36361
gdT	RA_only/gdT_5pcs_all/gdT.FAR1_1Mwindow.wgt.RDat	FAR1	11	13190215	14253893	0.0223	rs7947951	 8.75	rs16912563	-9.84e-04	 3.22	-0.811	514	514	blup	0.001	0.16	-2.07146	0.03832
gdT	RA_only/gdT_5pcs_all/gdT.CEND1_1Mwindow.wgt.RDat	CEND1	11	287115	1290090	0.0279	rs7941920	-3.35	rs2672785	-4.49e-04	 3.73	-0.726	402	402	blup	0.0014	0.13	 1.19024	0.23395
