PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SCIMP_1Mwindow.wgt.RDat	SCIMP	17	4612215	5638155	0.03488	rs16954365	-2.75	rs3026106	 4.43e-03	  3.68	-0.54000	476	  1	enet	0.012	0.00043	-1.44600	0.14818
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.KIF1C-AS1_1Mwindow.wgt.RDat	KIF1C-AS1	17	4422509	5423388	0.02729	rs16954365	-2.75	rs3786044	 9.05e-03	 -3.91	 0.47900	411	  1	top1	0.0091	0.0018	-0.47900	0.63194
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MYCBPAP_1Mwindow.wgt.RDat	MYCBPAP	17	48085800	49108862	0.10546	rs2696278	-3.28	rs6504662	 7.65e-02	 -8.89	 0.17800	441	  1	lasso	0.077	6.6e-19	-0.17800	0.85872
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SPAG7_1Mwindow.wgt.RDat	SPAG7	17	4362521	5371112	0.06341	rs16954365	-2.75	rs1056626	 1.26e-02	  5.06	 0.55300	409	409	blup	0.028	1.2e-07	-0.46236	0.64383
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MINK1_1Mwindow.wgt.RDat	MINK1	17	4236635	5301356	0.08729	rs16954365	-2.75	rs9895272	 4.25e-02	  6.91	 0.09300	409	  4	enet	0.054	1.5e-13	-1.00398	0.31539
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SRR_1Mwindow.wgt.RDat	SRR	17	1707237	2728558	0.05274	rs3213697	-2.67	rs12450028	 1.03e-02	 -5.32	 0.62600	399	399	blup	0.017	2.3e-05	 0.08939	0.92877
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ARRB2_1Mwindow.wgt.RDat	ARRB2	17	4113927	5124792	0.02745	NA	   NA	NA	       NA	    NA	      NA	386	  0	top1	0.012	0.00033	      NA	     NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.MYO15A_1Mwindow.wgt.RDat	MYO15A	17	17512070	18583114	0.03460	rs7208561	 1.90	rs4925144	 1.87e-02	 -4.80	 0.04100	305	  2	enet	0.025	5.1e-07	 0.16418	0.86959
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.KRT10_1Mwindow.wgt.RDat	KRT10	17	38474369	39478866	0.15387	rs757412	 2.98	rs2071398	 1.05e-01	  8.22	 0.09900	407	  1	top1	0.1	2.9e-25	 0.09900	0.92114
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.METTL23_1Mwindow.wgt.RDat	METTL23	17	74222123	75229963	0.02327	rs2304923	-2.72	rs2240773	 2.27e-03	 -3.93	-0.62900	460	460	blup	0.0044	0.022	-0.33207	0.73983
