PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.BICD2_1Mwindow.wgt.RDat	BICD2	9	94973645	96027115	0.0451	rs10992535	 2.42	rs1552908	 0.010650	 4.89	 0.0470	409	409	blup	0.025	5e-07	-0.246	0.8053
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.DNLZ_1Mwindow.wgt.RDat	DNLZ	9	138753935	139758196	0.0381	rs1475783	-2.87	rs28439345	 0.001764	 4.09	 1.1020	298	298	blup	0.0022	0.076	 2.188	0.0287
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.SLC25A51_1Mwindow.wgt.RDat	SLC25A51	9	37377572	38404124	0.0383	rs2890783	 3.22	rs2274323	 0.001373	-2.97	 0.1477	532	532	blup	0.0059	0.0099	 0.832	0.4057
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.SURF1_1Mwindow.wgt.RDat	SURF1	9	135718613	136723363	0.0307	rs2809246	 2.95	rs616836	 0.006611	 3.77	-0.4290	560	560	blup	0.01	0.00092	-0.802	0.4227
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NMRK1_1Mwindow.wgt.RDat	NMRK1	9	77175493	78203071	0.0397	rs12002365	 2.33	rs10869495	-0.000478	-3.94	-1.0370	441	  6	enet	0.011	0.00077	 0.825	0.4094
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.RPL12_1Mwindow.wgt.RDat	RPL12	9	129709953	130713685	0.0620	rs4836579	 2.31	rs2253669	 0.080336	-9.01	 0.5610	348	  1	top1	0.08	1.8e-19	-0.561	0.5748
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ALAD_1Mwindow.wgt.RDat	ALAD	9	115648592	116663564	0.0320	NA	   NA	NA	       NA	   NA	     NA	521	  0	top1	0.01	9e-04	    NA	    NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.TRPM6_1Mwindow.wgt.RDat	TRPM6	9	76837411	78002837	0.0344	rs3750420	-2.02	rs17060866	 0.031608	 3.87	 0.5753	465	  1	top1	0.032	1.7e-08	 0.575	0.5651
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LCN8_1Mwindow.wgt.RDat	LCN8	9	139148838	140152995	0.3256	rs10870165	 2.54	rs2282259	 0.417659	19.95	-0.2360	326	  1	top1	0.42	3.5e-115	-0.236	0.8134
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NIPSNAP3B_1Mwindow.wgt.RDat	NIPSNAP3B	9	107026410	108040045	0.0384	rs4100654	-3.03	rs1532677	-0.000310	-3.41	 0.7147	602	602	blup	0.0091	0.0017	 0.867	0.3859
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.SSNA1_1Mwindow.wgt.RDat	SSNA1	9	139583128	140584818	0.0286	rs4880136	-2.29	rs3814499	 0.002382	-3.86	-1.4530	284	284	blup	0.0063	0.0078	 1.168	0.2426
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NUDT2_1Mwindow.wgt.RDat	NUDT2	9	33829567	34843697	0.0455	rs2050789	-2.89	rs7039222	 0.035358	 6.21	-1.4940	345	  1	lasso	0.036	1.5e-09	-0.706	0.4802
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.TRMO_1Mwindow.wgt.RDat	TRMO	9	100159137	101184782	0.0323	rs10817938	-2.22	rs10984462	-0.001036	 3.97	 1.1280	490	490	blup	0.0063	0.0077	-0.673	0.5012
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.UGCG_1Mwindow.wgt.RDat	UGCG	9	114159094	115197649	0.0288	rs10980921	 5.32	rs7863587	 0.007835	-4.10	-0.8180	508	508	blup	0.0099	0.0011	 2.280	0.0226
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.DPH7_1Mwindow.wgt.RDat	DPH7	9	139948896	140973377	0.0326	rs34499319	 2.03	rs9411242	-0.001034	-3.49	-0.6210	261	261	blup	0.0033	0.041	-0.537	0.5911
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LINC01501_1Mwindow.wgt.RDat	LINC01501	9	92724714	93845028	0.0303	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	-0.00084	0.66	    NA	    NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.PTGS1_1Mwindow.wgt.RDat	PTGS1	9	124632812	125657982	0.0325	rs7866582	-2.29	rs13299519	 0.001231	 3.72	 0.0633	470	  2	enet	0.0065	0.0069	 0.836	0.4031
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.TLE4_1Mwindow.wgt.RDat	TLE4	9	81686880	82841797	0.0615	rs11138368	 2.87	rs10867409	 0.013567	 5.74	-1.4720	561	  5	enet	0.023	1.6e-06	-0.838	0.4020
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.SNHG7_1Mwindow.wgt.RDat	SNHG7	9	139119046	140122636	0.0978	rs10870165	 2.54	rs11793962	 0.000880	-4.23	-2.2120	322	322	blup	0.012	0.00031	 0.619	0.5362
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.CCDC171_1Mwindow.wgt.RDat	CCDC171	9	15053041	16474037	0.0436	rs1887672	 3.04	rs770218	 0.001057	 5.20	 0.6740	765	765	blup	0.011	0.00076	 0.231	0.8172
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.LINC00484_1Mwindow.wgt.RDat	LINC00484	9	93381344	94445044	0.0466	NA	   NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.0045	0.021	    NA	    NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.GOLM1_1Mwindow.wgt.RDat	GOLM1	9	88141061	89215064	0.0179	rs1537225	-3.13	rs11141381	 0.002189	 2.64	 1.4780	334	  1	top1	0.0022	0.078	 1.478	0.1394
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.HACD4_1Mwindow.wgt.RDat	HACD4	9	20499508	21531639	0.0353	rs10118669	 2.81	rs720975	-0.000356	 3.71	-1.2062	477	477	blup	0.00091	0.17	-0.181	0.8561
