PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK	RA_only/NK_5pcs_all/NK.MC1R_1Mwindow.wgt.RDat	MC1R	16	89485270	90487380	0.0572	rs447735	  8.17	rs2270459	 0.100952	  9.61	-1.564	300	  1	top1	0.1	2.2e-24	-1.5638	1.18e-01
NK	RA_only/NK_5pcs_all/NK.SMPD3_1Mwindow.wgt.RDat	SMPD3	16	67892230	68982411	0.0291	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.0078	0.0035	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.IL32_1Mwindow.wgt.RDat	IL32	16	2615404	3619531	0.2657	rs3751837	  3.39	rs1004792	 0.104735	 -7.95	-0.248	330	  1	lasso	0.16	1.1e-38	 0.2484	8.04e-01
NK	RA_only/NK_5pcs_all/NK.DECR2_1Mwindow.wgt.RDat	DECR2	16	0	962482	0.0334	rs7195617	 -6.85	rs5841	 0.008522	  4.28	 1.212	337	337	blup	0.013	0.00018	 0.4730	6.36e-01
NK	RA_only/NK_5pcs_all/NK.CORO1A_1Mwindow.wgt.RDat	CORO1A	16	29694923	30700397	0.0133	rs8063005	 -8.37	rs12373078	-0.001034	 -4.15	-2.231	189	189	blup	0.0066	0.0064	 0.0786	9.37e-01
NK	RA_only/NK_5pcs_all/NK.MT2A_1Mwindow.wgt.RDat	MT2A	16	56142496	57143409	0.3653	rs435651	  4.35	rs8052106	 0.324986	-13.75	-0.336	516	  2	lasso	0.33	2.3e-85	-0.2812	7.79e-01
NK	RA_only/NK_5pcs_all/NK.PRSS27_1Mwindow.wgt.RDat	PRSS27	16	2262423	3270225	0.0253	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.0089	0.0019	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.KNOP1_1Mwindow.wgt.RDat	KNOP1	16	19213259	20229549	0.0194	rs6367	  2.84	rs9941245	 0.019087	  4.86	 0.223	437	  1	top1	0.019	9.4e-06	 0.2227	8.24e-01
NK	RA_only/NK_5pcs_all/NK.METTL26_1Mwindow.wgt.RDat	METTL26	16	184430	1186305	0.0240	rs7195617	 -6.85	rs4984892	-0.000811	  3.68	-1.465	387	387	blup	0.0026	0.059	-2.1881	2.87e-02
NK	RA_only/NK_5pcs_all/NK.NOMO1_1Mwindow.wgt.RDat	NOMO1	16	14427578	15490014	0.0262	rs11644601	 -5.50	rs7192563	 0.020020	  5.35	 2.368	 97	  1	top1	0.02	5.8e-06	 2.3682	1.79e-02
NK	RA_only/NK_5pcs_all/NK.NME4_1Mwindow.wgt.RDat	NME4	16	0	950754	0.1157	rs7195617	 -6.85	rs4984871	 0.094079	  9.49	 1.925	330	  1	top1	0.094	9e-23	 1.9248	5.43e-02
NK	RA_only/NK_5pcs_all/NK.TMEM204_1Mwindow.wgt.RDat	TMEM204	16	1078679	2105569	0.1416	rs2050114	  5.87	rs8048206	 0.104881	 10.17	-2.104	453	  1	lasso	0.11	1.2e-27	-2.1044	3.53e-02
NK	RA_only/NK_5pcs_all/NK.CYBA_1Mwindow.wgt.RDat	CYBA	16	88209697	89217461	0.0392	rs7206699	  7.86	rs2340983	 0.006183	  4.75	-3.203	341	  2	enet	0.02	6.6e-06	-2.7992	5.12e-03
NK	RA_only/NK_5pcs_all/NK.PDXDC1_1Mwindow.wgt.RDat	PDXDC1	16	14568592	15733267	0.0317	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.025	5.8e-07	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.ATXN1L_1Mwindow.wgt.RDat	ATXN1L	16	71379879	72391231	0.0177	rs9302635	 20.35	rs4788567	-0.001013	 -3.04	-5.047	419	419	blup	0.0049	0.016	 0.3752	7.07e-01
NK	RA_only/NK_5pcs_all/NK.NLRC3_1Mwindow.wgt.RDat	NLRC3	16	3089033	4127404	0.0235	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.0053	0.013	     NA	      NA
NK	RA_only/NK_5pcs_all/NK.PPP4C_1Mwindow.wgt.RDat	PPP4C	16	29587315	30596697	0.0558	rs9934806	 -8.18	rs7193756	 0.001932	 -3.24	-1.944	201	  1	top1	0.0019	0.09	 1.9441	5.19e-02
NK	RA_only/NK_5pcs_all/NK.TAF1C_1Mwindow.wgt.RDat	TAF1C	16	83711461	84720663	0.0795	rs3759964	  9.12	rs424280	 0.003270	 -4.34	-0.232	921	921	blup	0.014	0.00012	 2.7042	6.85e-03
NK	RA_only/NK_5pcs_all/NK.LAT_1Mwindow.wgt.RDat	LAT	16	28496124	29502105	0.0282	rs7498665	  5.15	rs9937676	 0.016523	 -5.45	-2.018	165	165	blup	0.019	8.7e-06	 2.4931	1.27e-02
NK	RA_only/NK_5pcs_all/NK.PRR35_1Mwindow.wgt.RDat	PRR35	16	110394	1115529	0.0419	rs7195617	 -6.85	rs743961	 0.015070	  3.08	 2.121	413	  1	top1	0.015	7.5e-05	 2.1212	3.39e-02
