PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CCSER2_1Mwindow.wgt.RDat	CCSER2	10	85588345	86778273	0.0542	rs4933309	  3.03	rs11598450	 0.048661	-7.09	 0.7074	 620	  1	top1	0.049	2.4e-12	-0.7074	4.79e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ECHDC3_1Mwindow.wgt.RDat	ECHDC3	10	11284381	12306069	0.0363	rs4114417	  3.51	rs7101132	 0.002737	-4.27	-0.5349	 434	434	blup	0.01	0.00099	-0.7662	4.44e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PPIF_1Mwindow.wgt.RDat	PPIF	10	80607225	81615090	0.0356	rs1250550	  5.38	rs11002951	 0.000184	-3.67	-0.4181	 372	372	blup	0.0053	0.014	-0.9427	3.46e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ITIH5_1Mwindow.wgt.RDat	ITIH5	10	7101232	8208929	0.0445	rs11255058	 -3.63	rs9633771	 0.005364	-3.25	-0.3313	 637	  1	top1	0.0054	0.013	 0.3313	7.40e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.C10orf143_1Mwindow.wgt.RDat	C10orf143	10	131362160	132409094	0.0575	rs11016877	 -3.31	rs650268	 0.003655	 4.56	-0.8583	 600	600	blup	0.012	0.00031	 0.1025	9.18e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.STOX1_1Mwindow.wgt.RDat	STOX1	10	70087288	71155188	0.0858	rs10998754	  3.38	rs12771648	 0.096982	 9.70	-1.0132	 432	  1	top1	0.097	2e-23	-1.0132	3.11e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ZNF503-AS1_1Mwindow.wgt.RDat	ZNF503-AS1	10	76556141	77621436	0.1241	rs4745763	  2.98	rs7073279	 0.050557	 8.38	 0.7991	 312	  2	lasso	0.064	7.6e-16	-0.8064	4.20e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MASTL_1Mwindow.wgt.RDat	MASTL	10	26944281	27976882	0.0228	rs7088501	 -3.62	rs11015590	 0.012531	-4.77	-2.2423	 476	476	blup	0.014	0.00012	 2.9503	3.17e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SVIL_1Mwindow.wgt.RDat	SVIL	10	29246267	30525865	0.0473	rs2505924	 -3.96	rs2479695	-0.001014	-3.30	-1.2537	 852	852	blup	0.0061	0.0087	 2.2417	2.50e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TRDMT1_1Mwindow.wgt.RDat	TRDMT1	10	16679335	17743671	0.0394	rs11593510	 -4.55	rs10904906	-0.000155	-4.97	 1.1707	 671	671	blup	0.0068	0.0058	-0.6474	5.17e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RPS24_1Mwindow.wgt.RDat	RPS24	10	79293621	80316564	0.0497	rs12415679	 -3.24	rs2493568	 0.045382	-5.29	-1.4873	 496	  1	lasso	0.059	1e-14	 1.4873	1.37e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ZRANB1_1Mwindow.wgt.RDat	ZRANB1	10	126130692	127176758	0.0353	rs1152676	 -3.16	rs11245522	-0.000522	 3.46	-0.4946	 549	549	blup	0.0061	0.0085	 0.2554	7.98e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GSTO1_1Mwindow.wgt.RDat	GSTO1	10	105513931	106527213	0.0204	rs7898224	  3.04	rs3740466	 0.013208	 4.73	-0.7014	 417	  1	top1	0.013	2e-04	-0.7014	4.83e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NUTM2A-AS1_1Mwindow.wgt.RDat	NUTM2A-AS1	10	88498424	89602315	0.0308	rs10509412	 -2.72	rs7098516	 0.005185	 3.97	 1.2124	 293	293	blup	0.011	0.00065	 2.1250	3.36e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MIR1915HG_1Mwindow.wgt.RDat	MIR1915HG	10	21281587	22286189	0.0337	NA	    NA	NA	       NA	   NA	     NA	   0	  0	lasso	0.12	1.5e-28	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MGMT_1Mwindow.wgt.RDat	MGMT	10	130765505	132069247	0.0616	rs11016877	 -3.31	rs1008982	 0.035471	-6.99	 0.2382	 711	  1	lasso	0.046	1e-11	-0.2382	8.12e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ANK3_1Mwindow.wgt.RDat	ANK3	10	61286056	62993286	0.0884	NA	    NA	NA	       NA	   NA	     NA	   0	  0	lasso	0.092	3e-22	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.AKR1C3_1Mwindow.wgt.RDat	AKR1C3	10	4590973	5649878	0.0351	rs7095575	 -3.42	rs7076488	 0.053418	 7.36	 0.9541	 698	  1	top1	0.053	2e-13	 0.9541	3.40e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SAR1A_1Mwindow.wgt.RDat	SAR1A	10	71407045	72430270	0.0655	rs1053105	 -3.74	rs9971029	 0.042307	-6.53	-2.7819	 703	  1	top1	0.042	6.3e-11	 2.7819	5.40e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC01374_1Mwindow.wgt.RDat	LINC01374	10	91113663	92174713	0.0753	rs1359623	 -2.90	rs10509598	 0.000164	 4.07	 0.2017	 491	491	blup	0.00063	0.2	 0.1354	8.92e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.C10orf95_1Mwindow.wgt.RDat	C10orf95	10	103709594	104711300	0.0256	rs11191161	  3.02	rs1044476	 0.012888	-4.72	 1.5927	 343	  1	enet	0.016	4.3e-05	-0.7147	4.75e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PFKP_1Mwindow.wgt.RDat	PFKP	10	2609740	3678997	0.0459	rs12220754	  2.93	rs17284739	 0.009191	 4.39	-0.5274	 745	  1	top1	0.0092	0.0016	-0.5274	5.98e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.AS3MT_1Mwindow.wgt.RDat	AS3MT	10	104129227	105161656	0.0370	rs11574852	  2.83	rs11818627	 0.003062	 3.89	-0.1927	 353	353	blup	0.013	0.00026	-0.4874	6.26e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ANXA8_1Mwindow.wgt.RDat	ANXA8	10	47755247	48771369	0.0233	rs11204232	  3.31	rs4326728	-0.001006	 4.60	 0.6346	 161	  1	top1	-0.001	0.87	 0.6346	5.26e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PRKCQ-AS1_1Mwindow.wgt.RDat	PRKCQ-AS1	10	6122387	7127323	0.0565	rs1983890	 -8.19	rs2435587	 0.070059	-7.39	-2.7273	 734	  1	top1	0.07	3.3e-17	 2.7273	6.39e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SIRT1_1Mwindow.wgt.RDat	SIRT1	10	69144414	70178147	0.0153	rs474391	 -3.28	rs6480279	 0.007577	 3.50	 0.2472	 360	360	blup	0.0082	0.0028	 2.2228	2.62e-02
