PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_naive	RA_only/B_naive_5pcs_all/B_naive.GSTM4_1Mwindow.wgt.RDat	GSTM4	1	109698721	110708119	0.0575	rs186724	-3.53	rs12745189	 3.12e-02	 -5.27	-2.3530	431	  1	top1	0.031	2e-08	 2.35300	0.01862
B_naive	RA_only/B_naive_5pcs_all/B_naive.SCYL3_1Mwindow.wgt.RDat	SCYL3	1	169318772	170363037	0.0306	rs1332952	-2.27	rs688100	 4.39e-03	 -4.15	 0.8990	558	558	blup	0.0078	0.0034	-0.47079	0.63779
B_naive	RA_only/B_naive_5pcs_all/B_naive.TTC24_1Mwindow.wgt.RDat	TTC24	1	156049515	157057511	0.0316	rs476000	 3.18	rs2365714	 1.51e-02	  5.14	-0.5300	409	  2	lasso	0.02	6e-06	-1.00795	0.31348
B_naive	RA_only/B_naive_5pcs_all/B_naive.PRRC2C_1Mwindow.wgt.RDat	PRRC2C	1	170954669	172062650	0.0299	rs16864515	-4.25	rs1795242	 2.42e-02	 -5.65	 3.0810	619	  1	top1	0.024	7.2e-07	-3.08100	0.00206
B_naive	RA_only/B_naive_5pcs_all/B_naive.PHACTR4_1Mwindow.wgt.RDat	PHACTR4	1	28196251	29326876	0.0312	rs157231	-3.50	rs7528486	 1.45e-02	 -4.49	 0.6300	310	  1	top1	0.015	1e-04	-0.63000	0.52869
B_naive	RA_only/B_naive_5pcs_all/B_naive.GJA8_1Mwindow.wgt.RDat	GJA8	1	146874921	147881396	0.0213	rs17160256	 2.64	rs2999617	-6.87e-04	  3.68	 1.1480	269	  1	top1	-0.00069	0.56	 1.14800	0.25097
B_naive	RA_only/B_naive_5pcs_all/B_naive.MTRNR2L11_1Mwindow.wgt.RDat	MTRNR2L11	1	237607024	238608513	0.0381	rs1842080	 3.30	rs10495409	 1.68e-02	  5.42	-1.8370	572	  1	top1	0.017	3.1e-05	-1.83700	0.06621
B_naive	RA_only/B_naive_5pcs_all/B_naive.NSUN4_1Mwindow.wgt.RDat	NSUN4	1	46306479	47350871	0.0323	rs11211232	 3.26	rs6695043	 2.69e-02	  5.42	-1.4090	336	  1	top1	0.027	1.8e-07	-1.40900	0.15884
B_naive	RA_only/B_naive_5pcs_all/B_naive.LINC01725_1Mwindow.wgt.RDat	LINC01725	1	83541470	84826679	0.0325	rs4907113	-3.08	rs7547892	-7.58e-04	  3.16	 0.9020	496	496	blup	0.011	0.00064	 1.11547	0.26465
B_naive	RA_only/B_naive_5pcs_all/B_naive.VAMP4_1Mwindow.wgt.RDat	VAMP4	1	171169300	172211205	0.0204	rs16864515	-4.25	rs10913511	 6.53e-03	  4.34	 0.4200	544	  1	top1	0.0065	0.0069	 0.42000	0.67449
B_naive	RA_only/B_naive_5pcs_all/B_naive.MDM4_1Mwindow.wgt.RDat	MDM4	1	203985534	205027248	0.0301	rs10900551	-3.10	rs4252685	 2.30e-02	  5.23	 0.6080	608	  1	top1	0.023	1.3e-06	 0.60800	0.54319
B_naive	RA_only/B_naive_5pcs_all/B_naive.TSTD1_1Mwindow.wgt.RDat	TSTD1	1	160507421	161508754	0.0646	rs2501866	-2.81	rs3737787	 3.80e-02	 -7.22	 0.7190	429	  1	lasso	0.063	1.9e-15	-0.50576	0.61303
B_naive	RA_only/B_naive_5pcs_all/B_naive.TTLL10-AS1_1Mwindow.wgt.RDat	TTLL10-AS1	1	608436	1614935	0.0449	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	-0.00064	0.53	      NA	     NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.GAS5_1Mwindow.wgt.RDat	GAS5	1	173333037	174338020	0.0239	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.026	2.3e-07	      NA	     NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.GSTM1_1Mwindow.wgt.RDat	GSTM1	1	109730439	110736367	0.0660	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.032	1.6e-08	      NA	     NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.EFNA1_1Mwindow.wgt.RDat	EFNA1	1	154600352	155607375	0.0287	rs4845394	-2.54	rs6427137	-1.04e-03	  3.85	-1.5896	345	345	blup	-0.00019	0.37	 2.08402	0.03716
