PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_memory	RA_only/B_memory_5pcs_all/B_memory.SLC2A14_1Mwindow.wgt.RDat	SLC2A14	12	7465110	8543792	0.0888	NA	   NA	NA	       NA	   NA	    NA	 NA	  0	blup	0.034	4.2e-09	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.LEMD3_1Mwindow.wgt.RDat	LEMD3	12	65063363	66142135	0.0249	rs3741740	 4.09	rs7314741	 0.000562	 3.47	-0.806	316	316	blup	0.006	0.0093	-0.1879	0.8509
B_memory	RA_only/B_memory_5pcs_all/B_memory.SPRYD4_1Mwindow.wgt.RDat	SPRYD4	12	56362362	57373492	0.0343	rs4759017	-3.06	rs7302925	 0.013369	 5.16	 0.151	293	  1	lasso	0.013	0.00018	 0.7220	0.4703
B_memory	RA_only/B_memory_5pcs_all/B_memory.TESC_1Mwindow.wgt.RDat	TESC	12	116976728	118037221	0.0283	rs11068519	 3.31	rs10850747	 0.001871	 3.71	 1.341	535	535	blup	0.0043	0.023	-0.2949	0.7680
B_memory	RA_only/B_memory_5pcs_all/B_memory.PLA2G1B_1Mwindow.wgt.RDat	PLA2G1B	12	120259918	121265582	0.1096	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.12	5.1e-28	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.TIMELESS_1Mwindow.wgt.RDat	TIMELESS	12	56310147	57343210	0.0307	rs4759017	-3.06	rs7305370	 0.001366	 3.21	 0.954	286	  1	top1	0.0014	0.13	 0.9540	0.3401
B_memory	RA_only/B_memory_5pcs_all/B_memory.TAS2R19_1Mwindow.wgt.RDat	TAS2R19	12	10674218	11675219	0.0283	rs7978850	-3.41	rs319284	-0.000989	 3.98	-0.372	397	397	blup	-0.00055	0.49	-1.3322	0.1828
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC01252_1Mwindow.wgt.RDat	LINC01252	12	11200964	12217337	0.0418	rs2855709	 3.90	rs7976950	 0.029987	 5.71	-0.138	426	  1	top1	0.03	3.6e-08	-0.1380	0.8902
B_memory	RA_only/B_memory_5pcs_all/B_memory.ATP23_1Mwindow.wgt.RDat	ATP23	12	57835350	58852931	0.0235	rs12816521	 2.94	rs4760346	 0.000810	-4.13	-0.385	417	417	blup	0.012	0.00031	-0.0940	0.9251
B_memory	RA_only/B_memory_5pcs_all/B_memory.RPS26_1Mwindow.wgt.RDat	RPS26	12	55935702	56938481	0.6780	rs2555035	 3.30	rs10876864	 0.779594	27.07	-1.695	257	  1	top1	0.78	4.8e-319	-1.6950	0.0901
B_memory	RA_only/B_memory_5pcs_all/B_memory.ASCL1_1Mwindow.wgt.RDat	ASCL1	12	102851452	103854291	0.0567	rs10507149	 2.37	rs17032823	 0.004284	 8.81	-0.842	429	  2	lasso	0.0073	0.0046	-0.8420	0.3998
B_memory	RA_only/B_memory_5pcs_all/B_memory.CLEC2D_1Mwindow.wgt.RDat	CLEC2D	12	9322309	10352149	0.0390	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	0.00076	0.19	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC00477_1Mwindow.wgt.RDat	LINC00477	12	24219898	25237102	0.0689	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.024	7.5e-07	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.OSBPL8_1Mwindow.wgt.RDat	OSBPL8	12	76245577	77453551	0.0273	rs7958377	-3.00	rs1949176	 0.008022	-4.94	 0.454	515	515	blup	0.011	0.00056	-0.1014	0.9192
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC02422_1Mwindow.wgt.RDat	LINC02422	12	31529903	32540137	0.0255	rs985442	 2.11	rs1666224	 0.005223	-4.50	-0.755	535	  1	top1	0.0052	0.014	 0.7550	0.4502
B_memory	RA_only/B_memory_5pcs_all/B_memory.DDX11_1Mwindow.wgt.RDat	DDX11	12	30726794	31757733	0.0425	rs11051391	-3.24	rs10843879	 0.029036	-6.33	 1.311	457	457	blup	0.03	3.2e-08	-0.4269	0.6694
B_memory	RA_only/B_memory_5pcs_all/B_memory.TAPBPL_1Mwindow.wgt.RDat	TAPBPL	12	6060815	7071482	0.0251	rs216325	 3.06	rs2008134	 0.018410	 4.79	 0.935	384	  1	top1	0.018	1.4e-05	 0.9350	0.3498
B_memory	RA_only/B_memory_5pcs_all/B_memory.NAP1L1_1Mwindow.wgt.RDat	NAP1L1	12	75930365	76978465	0.0521	rs12427058	-2.51	rs7978288	 0.007704	 3.85	 0.659	475	475	blup	0.008	0.0032	-0.0663	0.9471
B_memory	RA_only/B_memory_5pcs_all/B_memory.MORN3_1Mwindow.wgt.RDat	MORN3	12	121586648	122610550	0.0269	rs208294	 3.24	rs2669166	-0.000919	 3.53	 0.954	356	356	blup	0.0086	0.0023	 2.2020	0.0277
