PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK	RA_only/NK_5pcs_all/NK.PDS5B_1Mwindow.wgt.RDat	PDS5B	13	32660589	33852157	0.0165	rs4941731	 4.61	rs9596075	 0.009853	 -4.63	 0.954	647	  1	top1	0.0099	0.0012	-0.95400	0.3401
NK	RA_only/NK_5pcs_all/NK.RASA3_1Mwindow.wgt.RDat	RASA3	13	114247194	115398098	0.0292	rs9550238	 2.16	rs9525293	 0.016166	  5.56	-1.372	246	  2	enet	0.02	7.3e-06	-1.60393	0.1087
NK	RA_only/NK_5pcs_all/NK.EPSTI1_1Mwindow.wgt.RDat	EPSTI1	13	42960524	44066377	0.0906	rs2281813	 2.68	rs3825511	 0.073246	  8.49	 0.878	626	  1	top1	0.073	6e-18	 0.87800	0.3799
NK	RA_only/NK_5pcs_all/NK.DOCK9-DT_1Mwindow.wgt.RDat	DOCK9-DT	13	99238977	100240879	0.0370	rs772312	 2.10	rs2296984	 0.004258	 -3.60	-0.399	537	537	blup	0.013	0.00022	 0.00625	0.9950
NK	RA_only/NK_5pcs_all/NK.CKAP2_1Mwindow.wgt.RDat	CKAP2	13	52529613	53550762	0.0301	rs4884271	 2.11	rs12146904	 0.013529	  4.75	-0.440	373	  1	top1	0.014	0.00017	-0.44000	0.6599
NK	RA_only/NK_5pcs_all/NK.SMIM2-AS1_1Mwindow.wgt.RDat	SMIM2-AS1	13	44184685	45228215	0.0343	rs4942312	 2.37	rs7981575	 0.025932	  5.82	-0.568	481	  1	top1	0.026	2.8e-07	-0.56800	0.5700
NK	RA_only/NK_5pcs_all/NK.SAP18_1Mwindow.wgt.RDat	SAP18	13	21214258	22223236	0.0342	rs9509441	 3.81	rs7994886	-0.000874	 -3.58	-0.189	341	  4	enet	0.0062	0.008	 0.90959	0.3630
NK	RA_only/NK_5pcs_all/NK.UPF3A_1Mwindow.wgt.RDat	UPF3A	13	114547076	115571292	0.0384	rs9525277	-2.04	rs9525316	-0.001017	 -3.58	-1.150	171	171	blup	0.00093	0.17	 1.90091	0.0573
NK	RA_only/NK_5pcs_all/NK.DNAJC15_1Mwindow.wgt.RDat	DNAJC15	13	43097722	44188349	0.1687	rs2281813	 2.68	rs17553284	 0.156393	-12.63	-0.878	624	  3	enet	0.16	1.3e-38	 0.54429	0.5862
NK	RA_only/NK_5pcs_all/NK.LINC01050_1Mwindow.wgt.RDat	LINC01050	13	42884502	43886698	0.1722	NA	   NA	NA	       NA	    NA	    NA	  0	  0	enet	0.0091	0.0017	      NA	    NA
NK	RA_only/NK_5pcs_all/NK.EBPL_1Mwindow.wgt.RDat	EBPL	13	49734810	50765623	0.1034	rs11841624	 2.29	rs7982132	 0.030312	 -6.75	 0.266	401	401	blup	0.068	7.6e-17	 0.67902	0.4971
NK	RA_only/NK_5pcs_all/NK.ELF1_1Mwindow.wgt.RDat	ELF1	13	41006055	42135522	0.0225	rs12427850	 3.71	rs7322754	 0.012004	 -4.63	-1.080	367	  1	top1	0.012	0.00037	 1.08000	0.2801
NK	RA_only/NK_5pcs_all/NK.GAS6-AS1_1Mwindow.wgt.RDat	GAS6-AS1	13	114018583	115045814	0.0511	rs4907646	 2.48	rs7399637	 0.037576	  5.76	-1.476	341	  1	top1	0.038	7e-10	-1.47600	0.1399
NK	RA_only/NK_5pcs_all/NK.TPT1_1Mwindow.wgt.RDat	TPT1	13	45407606	46415318	0.0384	rs2325154	 3.45	rs2325216	 0.024189	  4.57	 2.086	435	  1	enet	0.031	2.4e-08	 2.08600	0.0370
NK	RA_only/NK_5pcs_all/NK.PCDH20_1Mwindow.wgt.RDat	PCDH20	13	61483818	62489982	0.0394	NA	   NA	NA	       NA	    NA	    NA	  0	  0	enet	0.0059	0.0098	      NA	    NA
NK	RA_only/NK_5pcs_all/NK.COMMD6_1Mwindow.wgt.RDat	COMMD6	13	75599350	76623575	0.0840	rs10507833	 3.12	rs12869081	 0.081258	 -9.40	 0.755	545	  2	lasso	0.085	1.3e-20	-0.17600	0.8603
NK	RA_only/NK_5pcs_all/NK.DGKH_1Mwindow.wgt.RDat	DGKH	13	42114206	43330720	0.0236	rs2039281	-2.31	rs2324850	 0.001018	 -3.95	 0.088	618	618	blup	0.0093	0.0015	 0.53534	0.5924
NK	RA_only/NK_5pcs_all/NK.TUBA3C_1Mwindow.wgt.RDat	TUBA3C	13	19247912	20255964	0.3431	rs17085239	 3.01	rs9507572	 0.059584	 11.90	 1.476	282	282	blup	0.12	7.7e-28	 0.86674	0.3861
NK	RA_only/NK_5pcs_all/NK.CFAP97D2_1Mwindow.wgt.RDat	CFAP97D2	13	114444732	115488560	0.1743	rs9550238	 2.16	rs9525293	 0.199419	 13.66	-1.372	217	  1	lasso	0.2	4.4e-50	-0.99400	0.3202
NK	RA_only/NK_5pcs_all/NK.WASF3_1Mwindow.wgt.RDat	WASF3	13	26631820	27763085	0.0735	NA	   NA	NA	       NA	    NA	    NA	  0	  0	enet	-0.00099	0.84	      NA	    NA
NK	RA_only/NK_5pcs_all/NK.CCDC122_1Mwindow.wgt.RDat	CCDC122	13	43910488	44953876	0.0401	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.043	3.5e-11	      NA	    NA
