PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MASTL_1Mwindow.wgt.RDat	MASTL	10	26944281	27976882	0.0235	rs2637277	-2.73	rs10764686	 0.002996	-4.75	 0.2000	476	476	blup	0.021	4.6e-06	-0.4680	6.40e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PPA1_1Mwindow.wgt.RDat	PPA1	10	71462591	72493185	0.0999	rs2763335	-2.96	rs12355080	 0.063896	 7.55	-0.0913	702	  1	top1	0.064	8.5e-16	-0.0913	9.27e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.GSTO1_1Mwindow.wgt.RDat	GSTO1	10	105513931	106527213	0.0368	rs11599236	 2.95	rs7896809	 0.002225	 4.37	-0.5390	417	417	blup	0.0068	0.006	-0.3935	6.94e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.RPS24_1Mwindow.wgt.RDat	RPS24	10	79293621	80316564	0.0426	rs16935661	 2.69	rs7071351	 0.030550	-6.24	-1.8210	496	  1	top1	0.031	2.6e-08	 1.8210	6.86e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.STOX1_1Mwindow.wgt.RDat	STOX1	10	70087288	71155188	0.0812	rs16925839	-3.72	rs12268631	 0.085246	 9.90	 0.5970	432	  1	top1	0.085	1.1e-20	 0.5970	5.51e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ENTPD1_1Mwindow.wgt.RDat	ENTPD1	10	96971521	98137023	0.0216	rs11595114	 2.92	rs10882680	-0.000151	 3.91	 2.2310	615	  1	enet	0.0015	0.12	 2.2310	2.57e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FGF8_1Mwindow.wgt.RDat	FGF8	10	103029866	104040126	0.1308	rs10883717	-3.45	rs11191190	 0.097736	 3.99	-0.6620	264	  1	top1	0.098	1.3e-23	-0.6620	5.08e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.WAC-AS1_1Mwindow.wgt.RDat	WAC-AS1	10	28308846	29321283	0.0409	rs2807744	 3.24	rs1106274	 0.013992	 4.84	 0.6180	586	  1	top1	0.014	0.00013	 0.6180	5.37e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.VCL_1Mwindow.wgt.RDat	VCL	10	75257874	76381121	0.0455	rs16930700	-2.80	rs10824090	 0.017791	-5.41	-0.1350	243	243	blup	0.034	3.9e-09	-0.0686	9.45e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.DHX32_1Mwindow.wgt.RDat	DHX32	10	127024906	128069861	0.0244	rs11244498	-3.76	rs10794045	 0.021113	-5.42	 0.1440	587	  1	top1	0.021	3.4e-06	-0.1440	8.86e-01
