PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.IGHMBP2_1Mwindow.wgt.RDat	IGHMBP2	11	68171359	69208069	0.0199	rs3136540	-3.02	rs1249582	 0.002361	  4.24	 0.706	410	410	blup	0.0081	0.003	 2.8517	0.00435
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.MRPL48_1Mwindow.wgt.RDat	MRPL48	11	72998919	74076178	0.0194	rs7929943	 2.61	rs12420357	 0.005134	 -3.39	-1.514	336	336	blup	0.01	0.001	 1.7803	0.07502
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.BBOX1-AS1_1Mwindow.wgt.RDat	BBOX1-AS1	11	26568733	27741660	0.0345	rs7103411	-4.00	rs10835092	 0.000591	  4.49	 0.151	543	  1	top1	0.00059	0.21	 0.1510	0.87998
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.LDHC_1Mwindow.wgt.RDat	LDHC	11	17933865	18973610	0.0399	rs2403254	-4.22	rs2643856	 0.048215	  7.68	 0.228	447	  1	top1	0.048	3.5e-12	 0.2280	0.81965
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.XRRA1_1Mwindow.wgt.RDat	XRRA1	11	74051955	75160136	0.0928	rs507620	-2.72	rs7396866	 0.099221	  9.81	 1.036	494	  1	top1	0.099	8.1e-24	 1.0360	0.30020
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.IFITM3_1Mwindow.wgt.RDat	IFITM3	11	0	820860	0.0552	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.034	6.2e-09	     NA	     NA
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CREB3L1_1Mwindow.wgt.RDat	CREB3L1	11	45799213	46842959	0.0697	rs4755349	 3.17	rs12362172	-0.001041	  9.44	 1.200	260	  1	lasso	0.13	2e-30	 1.2000	0.23014
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.CORO1B_1Mwindow.wgt.RDat	CORO1B	11	66702981	67711280	0.0486	rs3862391	 3.26	rs1638556	 0.019971	 -6.01	-1.440	220	  1	top1	0.02	6.4e-06	 1.4400	0.14987
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.ALDH3B1_1Mwindow.wgt.RDat	ALDH3B1	11	67276017	68296743	0.0299	rs2511439	 2.73	rs634918	-0.000464	  4.33	-1.598	264	264	blup	0.0035	0.038	-0.2326	0.81606
CD8_TCM	RA_only/CD8_TCM_5pcs_all/CD8_TCM.TP53AIP1_1Mwindow.wgt.RDat	TP53AIP1	11	128304626	129312766	0.1686	NA	   NA	NA	       NA	    NA	    NA	  0	  0	enet	0.0053	0.014	     NA	     NA
