PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NK	RA_only/NK_5pcs_all/NK.FCER1G_1Mwindow.wgt.RDat	FCER1G	1	160685085	161689035	0.0569	rs10157489	-2.64	rs4489574	 6.88e-03	  5.174	 0.428	399	3	enet	0.017	2.7e-05	 0.36034	0.71859
NK	RA_only/NK_5pcs_all/NK.POLR3GL_1Mwindow.wgt.RDat	POLR3GL	1	144956236	145970400	0.0554	rs10910845	-2.37	rs10910843	-9.94e-04	 -3.277	-0.344	102	102	blup	0.00065	0.2	 0.83293	0.40489
NK	RA_only/NK_5pcs_all/NK.UQCRH_1Mwindow.wgt.RDat	UQCRH	1	46269370	47282448	0.0255	rs11584024	-3.31	rs17102101	 1.53e-02	 -5.233	-2.581	327	1	top1	0.015	6.8e-05	 2.58100	0.00985
NK	RA_only/NK_5pcs_all/NK.LEMD1_1Mwindow.wgt.RDat	LEMD1	1	204850506	205891184	0.1266		   NA		       NA	     NA	    NA	0	0	enet	0.015	6.3e-05	      NA	     NA
NK	RA_only/NK_5pcs_all/NK.LINC00623_1Mwindow.wgt.RDat	LINC00623	1	143798164	144841756	0.052		   NA		       NA	     NA	    NA	1	0	enet	0.066	3e-16	      NA	     NA
NK	RA_only/NK_5pcs_all/NK.MIR4422HG_1Mwindow.wgt.RDat	MIR4422HG	1	55183534	56199850	0.0322	rs1566209	-3.12	rs4926672	 1.31e-03	 -4.068	 1.872	591	1	enet	0.016	5.4e-05	 0.17600	0.86029
NK	RA_only/NK_5pcs_all/NK.AK5_1Mwindow.wgt.RDat	AK5	1	77247704	78525651	0.4983	rs12126604	-3.87	rs4949655	 3.25e-01	 17.845	-1.256	502	10	enet	0.36	3.5e-96	-1.26613	0.20547
NK	RA_only/NK_5pcs_all/NK.ELF3-AS1_1Mwindow.wgt.RDat	ELF3-AS1	1	201469179	202479481	0.0691	rs679352	 2.93	rs2819360	 3.43e-02	 -7.878	 0.415	410	4	lasso	0.053	2.5e-13	-0.50009	0.61701
NK	RA_only/NK_5pcs_all/NK.SLC16A4_1Mwindow.wgt.RDat	SLC16A4	1	110405479	111433648	0.033	rs10857800	-3.13	rs722570	 2.18e-02	  5.182	 1.194	548	1	top1	0.022	2.3e-06	 1.19400	0.23248
NK	RA_only/NK_5pcs_all/NK.LAPTM5_1Mwindow.wgt.RDat	LAPTM5	1	30705316	31730621	0.0848	rs2377367	 2.55	rs1188347	 2.98e-02	 -5.364	-0.802	541	4	enet	0.036	1.7e-09	 0.24192	0.80884
NK	RA_only/NK_5pcs_all/NK.CCDC163_1Mwindow.wgt.RDat	CCDC163	1	45459538	46465745	0.0649	rs3219484	-2.68	rs4660306	 8.07e-02	  9.081	-0.160	280	1	top1	0.081	1.2e-19	-0.16000	0.87288
NK	RA_only/NK_5pcs_all/NK.FHL3_1Mwindow.wgt.RDat	FHL3	1	37962442	38971186	0.0393	rs12119990	-3.22	rs11485595	 2.15e-02	 -5.738	 0.116	419	1	top1	0.022	2.7e-06	-0.11600	0.90765
NK	RA_only/NK_5pcs_all/NK.MRPS21_1Mwindow.wgt.RDat	MRPS21	1	149766281	150781414	0.0102	rs7534365	-1.79	rs1625468	 2.08e-02	 -3.484	 0.711	215	1	top1	0.021	3.9e-06	-0.71100	0.47708
NK	RA_only/NK_5pcs_all/NK.TNFRSF18_1Mwindow.wgt.RDat	TNFRSF18	1	638888	1641972	0.0492	rs4475691	 3.63	rs12036216	 4.66e-02	 -7.505	 0.818	144	1	top1	0.047	6.7e-12	-0.81800	0.41336
NK	RA_only/NK_5pcs_all/NK.IRF6_1Mwindow.wgt.RDat	IRF6	1	209458962	210479487	0.0442	rs12034991	-2.76	rs11582607	 2.89e-02	 -5.818	-0.021	490	1	top1	0.029	6e-08	 0.02100	0.98325
NK	RA_only/NK_5pcs_all/NK.NSUN4_1Mwindow.wgt.RDat	NSUN4	1	46306479	47350871	0.0212	rs11584024	-3.31	rs17361950	 8.40e-03	  4.325	 1.638	336	1	top1	0.0084	0.0025	 1.63800	0.10142
NK	RA_only/NK_5pcs_all/NK.LYST_1Mwindow.wgt.RDat	LYST	1	235324331	236547013	0.0705	rs10924380	-2.35	rs2474929	 9.27e-03	 -5.270	 0.310	488	488	blup	0.017	2.2e-05	 0.10565	0.91586
NK	RA_only/NK_5pcs_all/NK.NUCKS1_1Mwindow.wgt.RDat	NUCKS1	1	205181950	206219310	0.029	rs17417252	-2.50	rs823105	-1.02e-03	 -3.966	 0.607	394	394	blup	0.014	0.0001	-1.47803	0.13940
NK	RA_only/NK_5pcs_all/NK.ARHGEF19_1Mwindow.wgt.RDat	ARHGEF19	1	16024349	17039147	0.0264	rs16852471	-2.92	rs221035	 1.73e-03	  3.788	-1.125	327	1	enet	0.011	0.00067	-1.12500	0.26059
NK	RA_only/NK_5pcs_all/NK.CDC14A_1Mwindow.wgt.RDat	CDC14A	1	100310557	101485833	0.0276	rs7516666	 2.48	rs10875290	 3.11e-02	 -5.850	-0.588	461	1	top1	0.031	2e-08	 0.58800	0.55653
NK	RA_only/NK_5pcs_all/NK.SMIM12_1Mwindow.wgt.RDat	SMIM12	1	34815963	35825350	0.0271	rs9787098	-2.19	rs728447	-9.30e-04	 -4.387	-0.856	318	318	blup	0.0058	0.01	 0.07432	0.94076
NK	RA_only/NK_5pcs_all/NK.ARID4B_1Mwindow.wgt.RDat	ARID4B	1	234830217	235991494	0.0176	rs11800593	 2.04	rs6677573	 9.06e-03	  4.189	-1.001	408	1	top1	0.0091	0.0017	-1.00100	0.31683
NK	RA_only/NK_5pcs_all/NK.IVNS1ABP_1Mwindow.wgt.RDat	IVNS1ABP	1	184765520	185786375	0.1704		   NA		       NA	     NA	    NA	0	0	lasso	0.12	2.7e-29	      NA	     NA
NK	RA_only/NK_5pcs_all/NK.PHACTR4_1Mwindow.wgt.RDat	PHACTR4	1	28196251	29326876	0.0157	rs4360499	-2.95	rs12404612	-1.20e-04	 -3.603	-1.073	310	1	top1	-0.00012	0.35	 1.07300	0.28327
NK	RA_only/NK_5pcs_all/NK.FAAH_1Mwindow.wgt.RDat	FAAH	1	46359989	47379517	0.0205	rs11584024	-3.31	rs10252	 5.22e-03	  4.411	-0.683	317	317	blup	0.0081	0.0029	 0.99516	0.31966
NK	RA_only/NK_5pcs_all/NK.CD244_1Mwindow.wgt.RDat	CD244	1	160299950	161332677	0.063		   NA		       NA	     NA	    NA	0	0	enet	-0.00031	0.4	      NA	     NA
NK	RA_only/NK_5pcs_all/NK.TMED5_1Mwindow.wgt.RDat	TMED5	1	93115299	94145970	0.0321		   NA		       NA	     NA	    NA	0	0	lasso	0.00026	0.26	      NA	     NA
NK	RA_only/NK_5pcs_all/NK.DOCK7_1Mwindow.wgt.RDat	DOCK7	1	62420397	63654057	0.0305	rs1353799	-3.14	rs11577415	-8.62e-04	 -2.904	 0.732	632	632	blup	0.0074	0.0043	-0.45090	0.65206
NK	RA_only/NK_5pcs_all/NK.FLVCR1-DT_1Mwindow.wgt.RDat	FLVCR1-DT	1	212529946	213531480	0.0537	rs1553626	-3.23	rs1047881	 6.14e-02	 -7.244	 0.520	408	1	top1	0.061	3e-15	-0.52000	0.60306
NK	RA_only/NK_5pcs_all/NK.CD84_1Mwindow.wgt.RDat	CD84	1	160010888	161049286	0.0539	rs6664438	-2.41	rs10908787	 6.96e-03	  4.112	 1.245	438	438	blup	0.0085	0.0024	 0.17465	0.86136
NK	RA_only/NK_5pcs_all/NK.PARK7_1Mwindow.wgt.RDat	PARK7	1	7521771	8545565	0.0384	rs11806825	-2.43	rs226249	 8.53e-03	 -5.652	-0.138	411	411	blup	0.028	1e-07	 0.58614	0.55778
NK	RA_only/NK_5pcs_all/NK.USF1_1Mwindow.wgt.RDat	USF1	1	160509041	161515767	0.0766		   NA		       NA	     NA	    NA	0	0	lasso	0.05	1.1e-12	      NA	     NA
NK	RA_only/NK_5pcs_all/NK.CROCC_1Mwindow.wgt.RDat	CROCC	1	16748426	17799459	0.0253	rs9435739	-2.55	rs11585357	 7.99e-03	 -4.311	 0.680	337	1	top1	0.008	0.0031	-0.68000	0.49650
NK	RA_only/NK_5pcs_all/NK.SDCCAG8_1Mwindow.wgt.RDat	SDCCAG8	1	242919343	244163393	0.0212	rs7531823	 2.35	rs10927059	-8.98e-04	  3.248	-0.536	328	328	blup	0.014	0.00017	-0.22269	0.82378
NK	RA_only/NK_5pcs_all/NK.FNDC5_1Mwindow.wgt.RDat	FNDC5	1	32827869	33838085	0.1288	rs17542433	 2.03	rs3935892	-9.83e-04	  2.514	 1.181	203	203	blup	0.0063	0.0077	 1.27757	0.20140
NK	RA_only/NK_5pcs_all/NK.SPSB1_1Mwindow.wgt.RDat	SPSB1	1	8852953	9929591	0.1219	rs2268170	-2.90	rs4465231	 1.21e-01	  9.402	-0.870	418	1	top1	0.12	3.8e-29	-0.87000	0.38430
NK	RA_only/NK_5pcs_all/NK.AKR7A2_1Mwindow.wgt.RDat	AKR7A2	1	19129202	20138640	0.0313	rs7525784	-2.63	rs16862370	 2.86e-03	 -3.439	-0.829	488	1	top1	0.0029	0.052	 0.82900	0.40710
NK	RA_only/NK_5pcs_all/NK.LEPROT_1Mwindow.wgt.RDat	LEPROT	1	65386351	66401690	0.0246	rs11578009	-2.92	rs10493377	 3.87e-02	  6.320	-0.096	437	1	top1	0.039	3.9e-10	-0.09600	0.92352
NK	RA_only/NK_5pcs_all/NK.NIBAN1_1Mwindow.wgt.RDat	NIBAN1	1	184260166	185443640	0.0348	rs234656	-3.63	rs7524825	 1.00e-02	 -4.751	-1.181	490	1	top1	0.01	0.001	 1.18100	0.23760
NK	RA_only/NK_5pcs_all/NK.MDM4_1Mwindow.wgt.RDat	MDM4	1	203985534	205027248	0.0383	rs11240311	 2.57	rs12039454	 1.98e-02	  5.161	-1.761	608	608	blup	0.025	4.5e-07	-0.51233	0.60842
NK	RA_only/NK_5pcs_all/NK.PYHIN1_1Mwindow.wgt.RDat	PYHIN1	1	158401342	159446849	0.1389	rs2793845	-2.99	rs2325704	 1.16e-01	-10.757	 0.828	486	7	enet	0.12	1.0000000000000001e-28	-1.26182	0.20701
NK	RA_only/NK_5pcs_all/NK.HMGN2_1Mwindow.wgt.RDat	HMGN2	1	26298931	27303133	0.0327	rs566421	-2.95	rs11584995	 1.52e-02	  5.292	 1.152	352	2	lasso	0.018	1.8e-05	-1.47715	0.13964
NK	RA_only/NK_5pcs_all/NK.PADI4_1Mwindow.wgt.RDat	PADI4	1	17134692	18190499	0.1231	rs9435739	-2.55	rs6691485	 6.92e-02	  8.845	-1.174	459	3	enet	0.11	3.6e-26	-0.93694	0.34879
NK	RA_only/NK_5pcs_all/NK.DRAXIN_1Mwindow.wgt.RDat	DRAXIN	1	11251767	12285914	0.1159	rs11589841	-2.96	rs12139487	 5.60e-02	 -7.450	 1.015	451	1	top1	0.056	5.1e-14	-1.01500	0.31011
NK	RA_only/NK_5pcs_all/NK.CDC42_1Mwindow.wgt.RDat	CDC42	1	21879202	22927853	0.0594		   NA		       NA	     NA	    NA	0	0	lasso	0.054	1.6e-13	      NA	     NA
NK	RA_only/NK_5pcs_all/NK.NPPA_1Mwindow.wgt.RDat	NPPA	1	11405766	12407840	0.0499	rs11589841	-2.96	rs7553194	-9.37e-04	  4.245	 1.577	435	1	lasso	-0.00087	0.69	 1.57700	0.11480
NK	RA_only/NK_5pcs_all/NK.S100A13_1Mwindow.wgt.RDat	S100A13	1	153091275	154106837	0.0288	rs986760	 2.83	rs11548104	 1.17e-02	  3.730	 1.402	385	1	top1	0.012	0.00044	 1.40200	0.16092
NK	RA_only/NK_5pcs_all/NK.ECHDC2_1Mwindow.wgt.RDat	ECHDC2	1	52861582	53887446	0.0244	rs11206101	-2.54	rs11206043	 1.71e-02	 -4.991	 0.751	424	1	top1	0.017	2.6e-05	-0.75100	0.45265
NK	RA_only/NK_5pcs_all/NK.SLC25A33_1Mwindow.wgt.RDat	SLC25A33	1	9099524	10145231	0.0357	rs2268170	-2.90	rs12753196	 1.65e-02	 -4.493	 1.262	318	1	top1	0.016	3.6e-05	-1.26200	0.20695
NK	RA_only/NK_5pcs_all/NK.GAS5_1Mwindow.wgt.RDat	GAS5	1	173333037	174338020	0.1	rs1418191	 2.86	rs11576174	 5.57e-02	  5.019	 1.198	261	1	top1	0.056	6.1e-14	 1.19800	0.23092
NK	RA_only/NK_5pcs_all/NK.PDE4B_1Mwindow.wgt.RDat	PDE4B	1	65758193	67340262	0.0937	rs6697365	-4.11	rs519044	 9.65e-02	 -7.882	 0.748	831	1	top1	0.097	2.4e-23	-0.74800	0.45446
NK	RA_only/NK_5pcs_all/NK.NEXN_1Mwindow.wgt.RDat	NEXN	1	77854309	78909580	0.0262	rs12126604	-3.87	rs7536433	 6.24e-03	 -4.814	 2.161	371	1	lasso	0.011	0.00053	-2.16100	0.03070
NK	RA_only/NK_5pcs_all/NK.SELL_1Mwindow.wgt.RDat	SELL	1	169159808	170180761	0.0341	rs10800498	-3.51	rs4987373	 1.33e-02	  4.995	 1.063	523	3	enet	0.022	2e-06	 2.00454	0.04501
