PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Treg	RA_only/Treg_5pcs_all/Treg.ECT2L_1Mwindow.wgt.RDat	ECT2L	6	138617224	139725207	0.0576	rs10499204	 -3.02	rs721795	-1.00e-03	  5.73	 -3.0075	461	461	blup	0.0019	0.094	-0.0322	9.74e-01
Treg	RA_only/Treg_5pcs_all/Treg.LRRC73_1Mwindow.wgt.RDat	LRRC73	6	42974706	43978084	0.0888	NA	    NA	NA	       NA	    NA	      NA	  0	  0	enet	0.0053	0.014	     NA	      NA
Treg	RA_only/Treg_5pcs_all/Treg.H3C7_1Mwindow.wgt.RDat	H3C7	6	25750370	26750863	0.0275	NA	    NA	NA	       NA	    NA	      NA	609	  0	blup	-0.00084	0.65	     NA	      NA
Treg	RA_only/Treg_5pcs_all/Treg.ENPP1_1Mwindow.wgt.RDat	ENPP1	6	131629160	132716295	0.0304	NA	    NA	NA	       NA	    NA	      NA	  0	  0	enet	-0.00089	0.69	     NA	      NA
Treg	RA_only/Treg_5pcs_all/Treg.RPS10_1Mwindow.wgt.RDat	RPS10	6	33885231	34893846	0.0466	rs2744961	  6.32	rs206942	 4.24e-02	  7.00	  2.0137	348	  2	lasso	0.047	1.2e-11	 2.0279	4.26e-02
Treg	RA_only/Treg_5pcs_all/Treg.ETV7_1Mwindow.wgt.RDat	ETV7	6	35821865	36855446	0.0249	rs2395655	 -2.85	rs648125	 1.59e-02	 -5.33	 -0.2721	488	  1	top1	0.016	5.9e-05	 0.2721	7.86e-01
Treg	RA_only/Treg_5pcs_all/Treg.SUPT3H_1Mwindow.wgt.RDat	SUPT3H	6	44276794	45845671	0.0343	rs1928532	 -3.06	rs4714830	 3.00e-02	  5.97	  0.8541	655	  1	top1	0.03	5.1e-08	 0.8541	3.93e-01
Treg	RA_only/Treg_5pcs_all/Treg.PHIP_1Mwindow.wgt.RDat	PHIP	6	79144136	80287971	0.0259	rs9294142	 -3.01	rs9343876	 7.14e-04	  3.39	 -0.6217	453	453	blup	0.01	0.0011	-0.5398	5.89e-01
Treg	RA_only/Treg_5pcs_all/Treg.SLC35D3_1Mwindow.wgt.RDat	SLC35D3	6	136743439	137746798	0.0688	rs3757165	 -3.88	rs35479404	-1.06e-03	  4.24	  0.0104	377	  1	lasso	0.16	3.9e-38	-0.3480	7.28e-01
Treg	RA_only/Treg_5pcs_all/Treg.LY86-AS1_1Mwindow.wgt.RDat	LY86-AS1	6	5846698	7123059	0.0554	rs13207230	  4.10	rs2170618	-5.73e-04	  3.88	 -0.8875	906	906	blup	0.0081	0.0033	 1.1326	2.57e-01
Treg	RA_only/Treg_5pcs_all/Treg.CAPN11_1Mwindow.wgt.RDat	CAPN11	6	43626557	44652138	0.1132	NA	    NA	NA	       NA	    NA	      NA	  0	  0	lasso	0.25	5e-61	     NA	      NA
Treg	RA_only/Treg_5pcs_all/Treg.PRICKLE4_1Mwindow.wgt.RDat	PRICKLE4	6	41248520	42255190	0.0851	NA	    NA	NA	       NA	    NA	      NA	  0	  0	lasso	-0.001	0.88	     NA	      NA
Treg	RA_only/Treg_5pcs_all/Treg.LINC00574_1Mwindow.wgt.RDat	LINC00574	6	169690169	170702969	0.2471	rs9460047	 -2.53	rs4710773	 2.00e-02	  5.31	 -0.2769	460	  1	lasso	0.043	6.6e-11	-0.2769	7.82e-01
Treg	RA_only/Treg_5pcs_all/Treg.BTN3A2_1Mwindow.wgt.RDat	BTN3A2	6	25865426	26878548	0.0334	NA	    NA	NA	       NA	    NA	      NA	541	  0	top1	0.016	6.7e-05	     NA	      NA
Treg	RA_only/Treg_5pcs_all/Treg.RPL10A_1Mwindow.wgt.RDat	RPL10A	6	34936178	35938557	0.0549	rs3800373	 -5.90	rs12525930	 2.46e-02	  5.46	  1.0332	427	  1	enet	0.04	3.8e-10	 2.3001	2.14e-02
Treg	RA_only/Treg_5pcs_all/Treg.LINC00951_1Mwindow.wgt.RDat	LINC00951	6	39812084	40823745	0.0490	NA	    NA	NA	       NA	    NA	      NA	  0	  0	lasso	-0.00071	0.57	     NA	      NA
Treg	RA_only/Treg_5pcs_all/Treg.CDK19_1Mwindow.wgt.RDat	CDK19	6	110431181	111637058	0.0387	rs56827	  2.79	rs2817780	-8.73e-04	 -3.69	 -0.9303	422	422	blup	0.015	1e-04	 0.2140	8.31e-01
Treg	RA_only/Treg_5pcs_all/Treg.LINC02527_1Mwindow.wgt.RDat	LINC02527	6	111721508	112730600	0.0335	rs12910	  5.95	rs620786	-5.38e-04	  5.04	  1.3680	504	  1	top1	-0.00054	0.48	 1.3680	1.71e-01
Treg	RA_only/Treg_5pcs_all/Treg.KHDRBS2_1Mwindow.wgt.RDat	KHDRBS2	6	61752575	63496130	0.0373	rs10484618	 -2.37	rs7754074	-9.84e-04	  3.10	  0.3474	364	364	blup	-0.00086	0.66	 0.5324	5.94e-01
Treg	RA_only/Treg_5pcs_all/Treg.SNHG5_1Mwindow.wgt.RDat	SNHG5	6	85886725	86888451	0.1013	rs17443200	 -2.01	rs2842600	 1.56e-01	-12.36	 -0.3946	329	  1	top1	0.16	6e-37	 0.3946	6.93e-01
Treg	RA_only/Treg_5pcs_all/Treg.SPATS1_1Mwindow.wgt.RDat	SPATS1	6	43810387	44847916	0.0461	rs910602	 -3.01	rs11571943	-1.02e-03	  3.68	 -0.7315	536	536	blup	0.00073	0.19	-1.0604	2.89e-01
Treg	RA_only/Treg_5pcs_all/Treg.CCDC167_1Mwindow.wgt.RDat	CCDC167	6	36950714	37967669	0.0567	rs1724088	  5.45	rs914349	 3.16e-02	 -6.66	 -0.5471	473	  3	enet	0.034	5.3e-09	 0.2825	7.78e-01
Treg	RA_only/Treg_5pcs_all/Treg.FIG4_1Mwindow.wgt.RDat	FIG4	6	109512499	110646629	0.0381	rs9487019	 -4.33	rs9374140	 3.61e-03	  4.28	  0.0331	426	426	blup	0.014	0.00017	-0.6013	5.48e-01
Treg	RA_only/Treg_5pcs_all/Treg.ME1_1Mwindow.wgt.RDat	ME1	6	83420121	84640770	0.8964	NA	    NA	NA	       NA	    NA	      NA	  0	  0	enet	0.0033	0.042	     NA	      NA
Treg	RA_only/Treg_5pcs_all/Treg.NQO2_1Mwindow.wgt.RDat	NQO2	6	2500128	3519989	0.0359	rs409346	  3.04	rs1143684	 2.76e-02	  5.60	 -0.0937	649	  1	top1	0.028	1.7e-07	-0.0937	9.25e-01
Treg	RA_only/Treg_5pcs_all/Treg.PHACTR1_1Mwindow.wgt.RDat	PHACTR1	6	12216999	13788069	0.0497	rs9471238	 -3.35	rs16873023	-4.02e-05	  3.71	 -0.3054	793	793	blup	0.0047	0.02	-0.6565	5.12e-01
Treg	RA_only/Treg_5pcs_all/Treg.RNASET2_1Mwindow.wgt.RDat	RNASET2	6	166835601	167870038	0.0190	rs933243	-12.18	rs2236313	 8.03e-03	  4.59	-10.7512	682	682	blup	0.0087	0.0024	-9.8520	6.72e-23
