PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.IGLL1_1Mwindow.wgt.RDat	IGLL1	22	23415312	24422477	0.1405	rs17004053	 2.51	rs10427870	 0.132326	 11.63	 0.8258	430	  1	top1	0.13	6.6e-32	 0.8258	4.09e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.TYMP_1Mwindow.wgt.RDat	TYMP	22	50464181	51468514	0.1178	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	0.072	9e-18	     NA	      NA
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SUN2_1Mwindow.wgt.RDat	SUN2	22	38630739	39652003	0.0225	rs11704277	 7.24	rs6001173	 0.016918	  4.66	-0.5076	349	  1	top1	0.017	2.9e-05	-0.5076	6.12e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CHCHD10_1Mwindow.wgt.RDat	CHCHD10	22	23608021	24610159	0.0497	rs17004053	 2.51	rs131444	 0.024606	 -5.62	-0.3409	419	  1	top1	0.025	5.5e-07	 0.3409	7.33e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.LARGE1_1Mwindow.wgt.RDat	LARGE1	22	33168495	34818812	0.0611	rs4821195	 4.92	rs5994886	 0.000570	  4.21	-0.6348	934	934	blup	0.0045	0.021	-2.7136	6.66e-03
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.SGSM1_1Mwindow.wgt.RDat	SGSM1	22	24702178	25823545	0.0305	rs5760351	-2.95	rs9612777	-0.001002	  3.26	-0.4489	390	390	blup	0.0068	0.006	 1.5996	1.10e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.ATF4_1Mwindow.wgt.RDat	ATF4	22	39416564	40418691	0.0491	rs12170452	 5.44	rs1028321	 0.044912	  7.11	-1.2021	371	  1	enet	0.047	6.5e-12	-1.0442	2.96e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CRELD2_1Mwindow.wgt.RDat	CRELD2	22	49812282	50821185	0.0194	rs138270	 4.18	rs9616370	 0.016704	  5.22	-1.1661	394	  1	top1	0.017	3.2e-05	-1.1661	2.44e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.DDX17_1Mwindow.wgt.RDat	DDX17	22	38379443	39402316	0.0602	rs11704277	 7.24	rs5757169	 0.024795	  6.27	-0.5066	344	344	blup	0.034	3.8e-09	-0.4053	6.85e-01
CD4_TCM	RA_only/CD4_TCM_5pcs_all/CD4_TCM.CELSR1_1Mwindow.wgt.RDat	CELSR1	22	46257071	47433517	0.0393	rs2064262	 3.12	rs3817874	 0.054757	  8.12	-1.5102	530	  2	lasso	0.056	5.8e-14	-1.5100	1.31e-01
