PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.DYNLL2_1Mwindow.wgt.RDat	DYNLL2	17	55660780	56672903	0.0468	rs2685487	-2.73	rs10132	-0.001000	 4.16	-1.383	447	447	blup	0.0069	0.0061	-0.302	0.76301
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.LINC01152_1Mwindow.wgt.RDat	LINC01152	17	69526795	70537438	0.0471	rs980157	-2.48	rs7216398	-0.000847	 4.27	-1.608	461	461	blup	-0.00063	0.53	 0.315	0.75297
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.STXBP4_1Mwindow.wgt.RDat	STXBP4	17	52546126	53750993	0.0307	rs12949687	 3.28	rs17817829	 0.019545	 4.90	-1.191	603	  1	top1	0.02	9.1e-06	-1.191	0.23365
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.HOXB-AS1_1Mwindow.wgt.RDat	HOXB-AS1	17	46121713	47128603	0.0542	rs16957085	-4.04	rs11079828	 0.009087	-5.26	-3.440	412	412	blup	0.02	8.1e-06	-1.330	0.18350
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.FLII_1Mwindow.wgt.RDat	FLII	17	17648129	18662336	0.0239	rs7503998	 2.01	rs16960961	 0.003060	 3.23	 0.679	261	261	blup	0.0051	0.015	 2.211	0.02707
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.CCDC57_1Mwindow.wgt.RDat	CCDC57	17	79559346	80670718	0.0193	rs4789786	 2.63	rs4789671	 0.011524	-4.45	-0.406	323	323	blup	0.012	0.00053	 0.617	0.53702
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.SCRN2_1Mwindow.wgt.RDat	SCRN2	17	45415058	46418639	0.0229	rs3805364	 4.26	rs12051	-0.001054	 2.93	-2.676	387	387	blup	0.006	0.0096	-2.823	0.00476
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.TMEM199_1Mwindow.wgt.RDat	TMEM199	17	26184670	27190705	0.0246	rs9900666	 2.50	rs7213268	 0.001498	 3.65	-0.614	245	  6	enet	0.0085	0.0025	 1.609	0.10761
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.HOXB2_1Mwindow.wgt.RDat	HOXB2	17	46120017	47122471	0.0494	rs16957085	-4.04	rs4793870	 0.015387	-5.91	 1.197	410	410	blup	0.026	3.6e-07	-0.156	0.87585
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.FAM215A_1Mwindow.wgt.RDat	FAM215A	17	41494576	42495355	0.0216	rs2523162	-3.40	rs231523	-0.000997	 5.18	 1.295	354	354	blup	0.001	0.16	 0.988	0.32333
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.BAIAP2-DT_1Mwindow.wgt.RDat	BAIAP2-DT	17	78502933	79508519	0.0316	rs7502321	-2.56	rs6565548	-0.000610	-3.72	-2.233	410	410	blup	0.015	0.00012	 1.865	0.06221
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.MCRIP1_1Mwindow.wgt.RDat	MCRIP1	17	79280237	80291167	0.0308	rs9916764	 2.44	rs3176835	-0.001033	 2.86	-1.125	243	243	blup	0.004	0.029	-2.423	0.01541
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.C17orf97_1Mwindow.wgt.RDat	C17orf97	17	0	764457	0.1092	rs9789059	-2.49	rs11150882	 0.073270	 9.14	 0.673	285	  1	enet	0.075	5.3e-18	 0.673	0.50095
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.ORMDL3_1Mwindow.wgt.RDat	ORMDL3	17	37577294	38583854	0.0292	rs883871	 2.51	rs17608925	 0.026198	-5.66	-0.420	261	  1	top1	0.026	3.2e-07	 0.420	0.67449
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.SERPINF1_1Mwindow.wgt.RDat	SERPINF1	17	1165354	2180859	0.1230	rs11650110	-2.61	rs1136287	 0.039163	 7.26	-0.269	414	  1	lasso	0.054	2.7e-13	-0.269	0.78793
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.ARL17B_1Mwindow.wgt.RDat	ARL17B	17	43851550	44939153	0.1580	NA	   NA	NA	       NA	   NA	    NA	 81	  0	blup	0.042	1.1e-10	    NA	     NA
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.KANSL1-AS1_1Mwindow.wgt.RDat	KANSL1-AS1	17	43770939	44774089	0.0452	NA	   NA	NA	       NA	   NA	    NA	 28	  0	top1	0.03	5.3e-08	    NA	     NA
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.LGALS9C_1Mwindow.wgt.RDat	LGALS9C	17	17880103	18898259	0.0120	rs17718627	 1.89	rs2605142	 0.005161	 4.19	-0.858	249	249	blup	0.0058	0.011	-0.830	0.40647
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.MPRIP_1Mwindow.wgt.RDat	MPRIP	17	16445771	17595957	0.0297	rs1242483	 3.15	rs4985740	 0.040045	 6.27	 1.625	359	  1	top1	0.04	3e-10	 1.625	0.10420
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.LRRC75A_1Mwindow.wgt.RDat	LRRC75A	17	15844891	16895507	0.0372	rs9891079	-2.72	rs3813769	 0.012797	 3.80	-0.492	285	  1	top1	0.013	0.00028	-0.492	0.62272
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.PDE6G_1Mwindow.wgt.RDat	PDE6G	17	79117489	80130157	0.0583	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	0.058	2.9e-14	    NA	     NA
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.CD300A_1Mwindow.wgt.RDat	CD300A	17	71962512	72980937	0.0769	rs12944665	-3.73	rs7209406	 0.030630	-5.84	-1.033	454	  1	top1	0.031	3.4e-08	 1.033	0.30160
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.TVP23B_1Mwindow.wgt.RDat	TVP23B	17	18184496	19210027	0.0256	rs17718627	 2.14	rs2273027	 0.009086	 3.89	 0.321	136	  1	top1	0.0091	0.0019	 0.321	0.74821
