PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Treg	RA_only/Treg_5pcs_all/Treg.NCF2_1Mwindow.wgt.RDat	NCF2	1	183024697	184060049	0.0832	NA	    NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.02	8e-06	    NA	      NA
Treg	RA_only/Treg_5pcs_all/Treg.TXNIP_1Mwindow.wgt.RDat	TXNIP	1	144938490	145942635	0.0260	rs10797649	 -4.19	rs704986	 1.72e-02	-4.74	-0.229	102	  1	top1	0.017	3.1e-05	 0.229	8.19e-01
Treg	RA_only/Treg_5pcs_all/Treg.GSTM3_1Mwindow.wgt.RDat	GSTM3	1	109776559	110783660	0.0718	rs560018	  5.15	rs4970777	 3.49e-02	-5.99	-2.785	416	  1	top1	0.035	4.2e-09	 2.785	5.36e-03
Treg	RA_only/Treg_5pcs_all/Treg.IL24_1Mwindow.wgt.RDat	IL24	1	206570788	207577484	0.0377	NA	    NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.025	7.3e-07	    NA	      NA
Treg	RA_only/Treg_5pcs_all/Treg.WARS2-AS1_1Mwindow.wgt.RDat	WARS2-AS1	1	119183019	120318596	0.0200	rs477992	 -9.80	rs17023164	 2.62e-03	 3.84	-0.529	479	479	blup	0.0099	0.0013	-1.641	1.01e-01
Treg	RA_only/Treg_5pcs_all/Treg.LINC01748_1Mwindow.wgt.RDat	LINC01748	1	60481388	61588357	0.0454	rs608710	 -4.64	rs680390	-8.99e-04	 4.35	 0.947	464	  1	top1	-9e-04	0.7	 0.947	3.44e-01
Treg	RA_only/Treg_5pcs_all/Treg.TTC39A-AS1_1Mwindow.wgt.RDat	TTC39A-AS1	1	51295326	52296953	0.0153	rs17106445	 -6.53	rs12070851	 8.95e-04	 3.88	-4.595	161	161	blup	0.0025	0.066	-2.563	1.04e-02
Treg	RA_only/Treg_5pcs_all/Treg.LEXM_1Mwindow.wgt.RDat	LEXM	1	54771736	55807925	0.0637	NA	    NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.16	7.9e-39	    NA	      NA
Treg	RA_only/Treg_5pcs_all/Treg.RPL11_1Mwindow.wgt.RDat	RPL11	1	23518269	24523325	0.0411	rs2038027	 -9.06	rs3753270	-1.04e-03	-3.63	 2.694	334	334	blup	0.0048	0.019	-1.075	2.82e-01
Treg	RA_only/Treg_5pcs_all/Treg.MFSD14A_1Mwindow.wgt.RDat	MFSD14A	1	100003651	101048933	0.0373	rs834990	 -4.61	rs17122500	 5.63e-03	 3.06	-0.515	463	463	blup	0.0068	0.0064	-0.177	8.60e-01
