PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_naive	RA_only/B_naive_5pcs_all/B_naive.RPS17_1Mwindow.wgt.RDat	RPS17	15	82705501	83709208	0.1029	rs1256430	  3.31	rs803686	 1.25e-01	-11.42	 0.204	183	  2	lasso	0.13	7e-31	-0.401	6.88e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.BCL2A1_1Mwindow.wgt.RDat	BCL2A1	15	79753234	80763538	0.1555	rs2114716	  6.86	rs1074979	 1.61e-01	 12.33	-0.576	583	  1	top1	0.16	9.1e-39	-0.576	5.65e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.NGRN_1Mwindow.wgt.RDat	NGRN	15	90308895	91315443	0.0896	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.044	2.8e-11	    NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.AKAP13_1Mwindow.wgt.RDat	AKAP13	15	85423834	86792589	0.0384	rs16943741	  5.05	rs12438445	 1.33e-03	 -4.58	-1.365	764	764	blup	0.01	0.00087	-0.397	6.92e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.GOLGA8O_1Mwindow.wgt.RDat	GOLGA8O	15	32234115	33247835	0.0292	rs11632524	 -2.51	rs1258732	-9.41e-04	  4.14	 0.282	334	334	blup	0.0074	0.0043	 0.103	9.18e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.RSL24D1_1Mwindow.wgt.RDat	RSL24D1	15	54973004	55989139	0.0258	rs7175011	  3.09	rs28589384	 2.68e-03	  4.25	-0.797	448	448	blup	0.013	0.00029	-1.452	1.46e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.APBA2_1Mwindow.wgt.RDat	APBA2	15	28631120	29910518	0.0200	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.002	0.088	    NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.GABPB1-AS1_1Mwindow.wgt.RDat	GABPB1-AS1	15	50146371	51150509	0.1333	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.11	1.2e-25	    NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.SAXO2_1Mwindow.wgt.RDat	SAXO2	15	82055159	83077268	0.0334	rs16973254	  2.10	rs9972386	 4.08e-02	  6.16	-0.799	242	  1	top1	0.041	1.5e-10	-0.800	4.24e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.NPAP1_1Mwindow.wgt.RDat	NPAP1	15	24420922	25428540	0.0110	NA	    NA	NA	       NA	    NA	    NA	  0	  0	enet	0.00026	0.26	    NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.GATM_1Mwindow.wgt.RDat	GATM	15	45153322	46194425	0.0314	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.021	3e-06	    NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.USP3-AS1_1Mwindow.wgt.RDat	USP3-AS1	15	63379909	64393026	0.0229	rs7162825	-16.13	rs11630720	-1.04e-03	  3.66	-5.181	380	380	blup	0.00088	0.17	-3.310	9.32e-04
B_naive	RA_only/B_naive_5pcs_all/B_naive.GOLGA6L6_1Mwindow.wgt.RDat	GOLGA6L6	15	20237094	21247114	0.0457	NA	    NA	NA	       NA	    NA	    NA	 NA	  0	lasso	0.044	3.1e-11	    NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.LINC00926_1Mwindow.wgt.RDat	LINC00926	15	57092563	58099967	0.0244	rs2703593	 17.92	rs2440943	 2.02e-02	  4.06	-3.605	462	  1	top1	0.02	5.7e-06	-3.605	3.12e-04
B_naive	RA_only/B_naive_5pcs_all/B_naive.ACAN_1Mwindow.wgt.RDat	ACAN	15	88846667	89918584	0.0493	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.0014	0.13	    NA	      NA
B_naive	RA_only/B_naive_5pcs_all/B_naive.NDUFAF1_1Mwindow.wgt.RDat	NDUFAF1	15	41179551	42194694	0.0215	rs11070352	  6.86	rs1200345	-9.64e-04	 -3.10	-4.845	300	300	blup	0.0036	0.034	 4.048	5.16e-05
B_naive	RA_only/B_naive_5pcs_all/B_naive.MEGF11_1Mwindow.wgt.RDat	MEGF11	15	65687637	67046088	0.0313	rs11071896	  8.02	rs1549854	 5.34e-02	 -3.79	-2.788	565	  1	top1	0.053	2.2e-13	 2.788	5.30e-03
B_naive	RA_only/B_naive_5pcs_all/B_naive.ANKDD1A_1Mwindow.wgt.RDat	ANKDD1A	15	64704101	65751033	0.0641	rs1719271	-21.15	rs871447	 4.05e-02	  7.04	 2.557	289	  1	top1	0.041	1.7e-10	 2.557	1.06e-02
B_naive	RA_only/B_naive_5pcs_all/B_naive.GOLGA6L10_1Mwindow.wgt.RDat	GOLGA6L10	15	82429674	83439197	0.0224	rs11635044	  3.08	rs17507216	 3.79e-04	 -3.77	-0.429	143	143	blup	0.0055	0.012	 0.316	7.52e-01
B_naive	RA_only/B_naive_5pcs_all/B_naive.SPATA5L1_1Mwindow.wgt.RDat	SPATA5L1	15	45194534	46213613	0.0190	rs269862	  3.27	rs872192	 3.05e-04	  3.86	 2.227	342	342	blup	0.0083	0.0027	 1.965	4.94e-02
B_naive	RA_only/B_naive_5pcs_all/B_naive.ZFAND6_1Mwindow.wgt.RDat	ZFAND6	15	79852018	80930735	0.0270	rs2114716	  6.86	rs12898642	-1.78e-05	  4.19	 0.705	581	581	blup	0.0053	0.013	 2.192	2.84e-02
