PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.RAD51C_1Mwindow.wgt.RDat	RAD51C	17	56269934	57312972	0.0111	rs8065058	 2.92	rs3803752	 0.010463	  3.72	 1.5050	220	  1	top1	0.01	0.00084	 1.5050	1.32e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ELP5_1Mwindow.wgt.RDat	ELP5	17	6655043	7663259	0.0745	rs12944954	 2.92	rs2074222	 0.077810	  9.16	-0.1930	447	  8	enet	0.078	4.2e-19	 0.1689	8.66e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NME2_1Mwindow.wgt.RDat	NME2	17	48742897	49749105	0.0635	rs9916651	-3.12	rs9303577	 0.053104	  7.61	 1.1071	420	  2	lasso	0.067	2.1e-16	 0.9533	3.40e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MYO15B_1Mwindow.wgt.RDat	MYO15B	17	73083881	74122929	0.0473	rs750844	 3.09	rs820256	 0.045555	  7.23	-1.5820	342	  1	top1	0.046	1.2e-11	-1.5820	1.14e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TRIM47_1Mwindow.wgt.RDat	TRIM47	17	73370245	74374662	0.0705	NA	   NA	NA	       NA	    NA	     NA	  0	  0	enet	0.05	1.1e-12	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SNHG29_1Mwindow.wgt.RDat	SNHG29	17	15842301	16873962	0.0606	rs11654911	 2.79	rs11869614	 0.021828	  6.30	 0.0350	274	  1	lasso	0.042	6.3e-11	-0.6210	5.35e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FN3KRP_1Mwindow.wgt.RDat	FN3KRP	17	80174582	81185889	0.0427	rs1046896	10.66	rs2243523	 0.027582	  6.54	-6.2620	359	  2	enet	0.035	2.4e-09	-6.1954	5.81e-10
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MRPL10_1Mwindow.wgt.RDat	MRPL10	17	45400638	46408907	0.0256	rs11079803	-2.61	rs17774272	 0.021447	 -5.21	 2.1650	390	  1	top1	0.021	2.8e-06	-2.1650	3.04e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TEN1_1Mwindow.wgt.RDat	TEN1	17	73475321	74496667	0.0270	rs9908146	-2.28	rs2069528	 0.026979	 -5.71	-0.7610	374	  1	top1	0.027	1.7e-07	 0.7610	4.47e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PLD6_1Mwindow.wgt.RDat	PLD6	17	16604309	17609647	0.0509	rs9909618	 3.02	rs4629023	 0.055605	  7.63	 1.1580	344	  1	top1	0.056	6.4e-14	 1.1580	2.47e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.DCXR_1Mwindow.wgt.RDat	DCXR	17	79493734	80495573	0.0484	rs4969470	 3.73	rs8069378	 0.047973	  6.96	-2.5145	279	  1	top1	0.048	3.4e-12	-2.5145	1.19e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.RAB34_1Mwindow.wgt.RDat	RAB34	17	26541299	27545286	0.0254	rs9914988	-3.36	rs8074623	 0.003403	 -4.14	-2.1540	302	302	blup	0.0095	0.0014	 2.1779	2.94e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MXRA7_1Mwindow.wgt.RDat	MXRA7	17	74168633	75207047	0.0403	rs4647887	-2.71	rs1005645	 0.002193	  4.15	 0.3260	469	469	blup	0.0045	0.021	 0.8589	3.90e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PLXDC1_1Mwindow.wgt.RDat	PLXDC1	17	36719566	37807890	0.0597	rs16968748	 3.02	rs12600774	 0.046148	  6.80	 1.8750	311	  1	top1	0.046	8.6e-12	 1.8750	6.08e-02
