PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_memory	RA_only/B_memory_5pcs_all/B_memory.CALHM6_1Mwindow.wgt.RDat	CALHM6	6	116282538	117284934	0.1578	NA	   NA	NA	      NA	    NA	    NA	  0	  0	lasso	0.12	2e-28	    NA	      NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.GCNT2_1Mwindow.wgt.RDat	GCNT2	6	10021584	11129601	0.0414	rs1225763	 2.78	rs3798748	 0.01557	 -4.09	-0.373	521	  1	top1	0.016	6e-05	 0.373	0.709148
B_memory	RA_only/B_memory_5pcs_all/B_memory.BTN3A2_1Mwindow.wgt.RDat	BTN3A2	6	25865426	26878548	0.0637	NA	   NA	NA	      NA	    NA	    NA	541	  0	blup	0.03	3.7e-08	    NA	      NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.LY86_1Mwindow.wgt.RDat	LY86	6	6088953	7155215	0.1132	rs1475073	 4.59	rs9405942	 0.08861	 -9.47	-0.679	775	  1	top1	0.089	2e-21	 0.679	0.497138
B_memory	RA_only/B_memory_5pcs_all/B_memory.NQO2_1Mwindow.wgt.RDat	NQO2	6	2500128	3519989	0.0350	rs17135958	-2.67	rs9378352	 0.00401	  5.06	-1.761	649	649	blup	0.011	0.00054	-0.551	0.581434
B_memory	RA_only/B_memory_5pcs_all/B_memory.SNHG5_1Mwindow.wgt.RDat	SNHG5	6	85886725	86888451	0.3290	rs881795	 2.81	rs1059307	 0.47280	-21.38	-1.176	329	  1	top1	0.47	2.2e-136	 1.176	0.239595
B_memory	RA_only/B_memory_5pcs_all/B_memory.L3MBTL3_1Mwindow.wgt.RDat	L3MBTL3	6	129839726	130962583	0.0356	rs2039683	 3.25	rs6569648	 0.03835	  6.32	-1.918	612	  1	top1	0.038	5e-10	-1.918	0.055111
B_memory	RA_only/B_memory_5pcs_all/B_memory.CARMIL1_1Mwindow.wgt.RDat	CARMIL1	6	24779602	26120758	0.0686	NA	   NA	NA	      NA	    NA	    NA	830	  0	top1	0.035	3.1e-09	    NA	      NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC02520_1Mwindow.wgt.RDat	LINC02520	6	36975124	38004056	0.0845	NA	   NA	NA	      NA	    NA	    NA	  0	  0	lasso	0.18	6.5e-45	    NA	      NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.RPS10_1Mwindow.wgt.RDat	RPS10	6	33885231	34893846	0.1554	rs9368783	-2.79	rs611928	 0.12036	 11.56	-1.655	348	  1	lasso	0.16	5.8e-39	 0.487	0.626258
B_memory	RA_only/B_memory_5pcs_all/B_memory.RNGTT_1Mwindow.wgt.RDat	RNGTT	6	88819616	90173337	0.0669	rs13215160	 2.70	rs2756368	 0.06909	 -8.66	-0.658	611	  4	enet	0.075	2.6e-18	 0.574	0.565859
B_memory	RA_only/B_memory_5pcs_all/B_memory.HEBP2_1Mwindow.wgt.RDat	HEBP2	6	138224668	139243334	0.0251	rs12111172	-2.92	rs1928278	 0.02012	 -5.66	-0.860	452	  1	top1	0.02	5.7e-06	 0.860	0.389789
B_memory	RA_only/B_memory_5pcs_all/B_memory.TSTD3_1Mwindow.wgt.RDat	TSTD3	6	99468925	100481061	0.0641	rs12528619	-3.17	rs9402863	 0.04593	  7.12	-1.292	467	  1	lasso	0.047	5.9e-12	 0.585	0.558548
B_memory	RA_only/B_memory_5pcs_all/B_memory.DSE_1Mwindow.wgt.RDat	DSE	6	116075334	117266024	0.0394	rs1041883	-2.06	rs2806720	 0.00418	  3.81	 0.713	445	445	blup	0.013	0.00023	-1.219	0.222686
B_memory	RA_only/B_memory_5pcs_all/B_memory.B3GAT2_1Mwindow.wgt.RDat	B3GAT2	6	71066382	72166763	0.0281	rs6915776	 2.45	rs17764105	 0.00583	 -4.91	 1.454	434	  1	top1	0.0058	0.01	-1.454	0.145946
B_memory	RA_only/B_memory_5pcs_all/B_memory.LAMA4_1Mwindow.wgt.RDat	LAMA4	6	111929134	113075769	0.0427	NA	   NA	NA	      NA	    NA	    NA	  0	  0	enet	0.0033	0.042	    NA	      NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.DUSP22_1Mwindow.wgt.RDat	DUSP22	6	0	851355	0.0427	rs17810516	-2.98	rs1418707	-0.00103	 -3.45	-1.323	352	352	blup	-0.00032	0.41	-0.576	0.564756
B_memory	RA_only/B_memory_5pcs_all/B_memory.TREML1_1Mwindow.wgt.RDat	TREML1	6	40616998	41622087	0.0785	rs16894733	-3.15	rs3924276	 0.00273	  5.70	 1.229	528	  1	lasso	0.032	1.1e-08	-0.096	0.923521
B_memory	RA_only/B_memory_5pcs_all/B_memory.SYNJ2_1Mwindow.wgt.RDat	SYNJ2	6	157902895	159020208	0.0296	rs9457760	 3.36	rs9456465	-0.00026	 -3.53	 3.330	608	608	blup	0.0092	0.0017	-2.126	0.033465
B_memory	RA_only/B_memory_5pcs_all/B_memory.UBE2J1_1Mwindow.wgt.RDat	UBE2J1	6	89536344	90562441	0.0379	rs13215160	 2.70	rs854864	 0.02863	  3.70	 0.062	447	  1	top1	0.029	7.3e-08	 0.062	0.950563
B_memory	RA_only/B_memory_5pcs_all/B_memory.ECHDC1_1Mwindow.wgt.RDat	ECHDC1	6	127109857	128164754	0.0376	rs11154416	 3.06	rs6569476	 0.00605	  4.10	 0.669	337	  3	enet	0.016	5.8e-05	 1.264	0.206189
B_memory	RA_only/B_memory_5pcs_all/B_memory.NCOA7_1Mwindow.wgt.RDat	NCOA7	6	125602261	126753180	0.0323	rs6931700	-3.06	rs11967627	 0.02911	 -4.94	 0.362	326	  1	top1	0.029	5.7e-08	-0.362	0.717352
B_memory	RA_only/B_memory_5pcs_all/B_memory.AHI1_1Mwindow.wgt.RDat	AHI1	6	135104670	136318878	0.0667	rs2327647	-4.11	rs7759971	 0.08300	 -8.81	-3.711	432	  1	top1	0.083	3.9e-20	 3.711	0.000206
B_memory	RA_only/B_memory_5pcs_all/B_memory.ETV7_1Mwindow.wgt.RDat	ETV7	6	35821865	36855446	0.0299	rs12665222	 3.62	rs1076928	 0.00913	 -4.47	 1.673	488	  1	top1	0.0091	0.0017	-1.673	0.094327
B_memory	RA_only/B_memory_5pcs_all/B_memory.COL9A1_1Mwindow.wgt.RDat	COL9A1	6	70424764	71512787	0.3733	NA	   NA	NA	      NA	    NA	    NA	  0	  0	enet	0.0017	0.1	    NA	      NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.NT5E_1Mwindow.wgt.RDat	NT5E	6	85659801	86705502	0.0484	rs1923589	-2.81	rs4487548	 0.03315	 -6.40	-0.637	442	  1	top1	0.033	7.2e-09	 0.637	0.524125
B_memory	RA_only/B_memory_5pcs_all/B_memory.SNX14_1Mwindow.wgt.RDat	SNX14	6	85715214	86803576	0.0439	NA	   NA	NA	      NA	    NA	    NA	417	  0	top1	0.017	2.4e-05	    NA	      NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.MDGA1_1Mwindow.wgt.RDat	MDGA1	6	37098455	38165659	0.1239	rs6916856	 4.11	rs6938061	 0.08589	  9.46	-2.472	463	  3	enet	0.087	3.6e-21	-2.652	0.007991
B_memory	RA_only/B_memory_5pcs_all/B_memory.DNPH1_1Mwindow.wgt.RDat	DNPH1	6	42693367	43697219	0.0193	rs6907066	 2.86	rs1111786	-0.00103	  3.04	-0.158	334	334	blup	0.0028	0.053	 1.591	0.111503
B_memory	RA_only/B_memory_5pcs_all/B_memory.RNF144B_1Mwindow.wgt.RDat	RNF144B	6	17887581	18969101	0.0823	rs9885748	-3.22	rs9477700	 0.03167	  6.37	-0.789	541	  1	top1	0.032	1.5e-08	-0.789	0.430112
