PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Treg	RA_only/Treg_5pcs_all/Treg.CHN1_1Mwindow.wgt.RDat	CHN1	2	175163537	176370109	0.0358	rs3771910	 -2.71	rs2167568	 0.009993	  4.65	 1.476	394	394	blup	0.016	5.5e-05	-0.8539	3.93e-01
Treg	RA_only/Treg_5pcs_all/Treg.ACYP2_1Mwindow.wgt.RDat	ACYP2	2	53698250	55032437	0.0180	rs10490468	 11.18	rs805341	 0.013211	  4.68	-6.647	637	  1	top1	0.013	0.00023	-6.6470	2.99e-11
Treg	RA_only/Treg_5pcs_all/Treg.SPAG16-DT_1Mwindow.wgt.RDat	SPAG16-DT	2	213640510	214648933	0.2224	rs12617251	 -3.30	rs1384398	-0.001016	  5.98	 1.440	334	  2	lasso	-0.00093	0.72	 0.7890	4.30e-01
Treg	RA_only/Treg_5pcs_all/Treg.SPDYA_1Mwindow.wgt.RDat	SPDYA	2	28533700	29573476	0.1082	rs17739364	  3.41	rs11885873	-0.000891	  4.10	-0.126	585	585	blup	0.0034	0.04	 0.0393	9.69e-01
Treg	RA_only/Treg_5pcs_all/Treg.DIRC3-AS1_1Mwindow.wgt.RDat	DIRC3-AS1	2	217647456	218708927	0.0222	rs2712184	  4.31	rs13403963	-0.001037	  4.60	 1.722	530	530	blup	0.00029	0.26	 4.0405	5.33e-05
Treg	RA_only/Treg_5pcs_all/Treg.C2orf74_1Mwindow.wgt.RDat	C2orf74	2	60872251	61891963	0.0163	rs2420382	  5.39	rs2592494	 0.006522	  4.41	 3.216	320	320	blup	0.0089	0.0021	 3.7571	1.72e-04
Treg	RA_only/Treg_5pcs_all/Treg.NMI_1Mwindow.wgt.RDat	NMI	2	151626984	152646182	0.0239	rs2432938	 -3.46	rs4665150	 0.001288	  4.33	-0.202	456	456	blup	0.015	0.00011	-0.0857	9.32e-01
Treg	RA_only/Treg_5pcs_all/Treg.TRIB2_1Mwindow.wgt.RDat	TRIB2	2	12357062	13382860	0.0263	rs41503151	  3.75	rs1871957	 0.001673	 -3.94	 0.319	449	  1	top1	0.0017	0.11	-0.3190	7.50e-01
Treg	RA_only/Treg_5pcs_all/Treg.LYG1_1Mwindow.wgt.RDat	LYG1	2	99400701	100421238	0.0346	rs11123788	 -3.40	rs7572157	 0.019214	  6.37	 0.482	305	  1	top1	0.019	1.1e-05	 0.4820	6.30e-01
Treg	RA_only/Treg_5pcs_all/Treg.CYP27A1_1Mwindow.wgt.RDat	CYP27A1	2	219146870	220180016	0.0722	rs992157	-13.94	rs17654949	-0.000940	  4.79	 3.775	368	368	blup	-0.00029	0.39	-0.3114	7.55e-01
Treg	RA_only/Treg_5pcs_all/Treg.FAHD2A_1Mwindow.wgt.RDat	FAHD2A	2	95568456	96582364	0.0245	rs2320625	 -3.32	rs11164125	-0.001059	  3.22	 1.995	 82	 82	blup	0.0099	0.0012	 1.2042	2.29e-01
Treg	RA_only/Treg_5pcs_all/Treg.CREG2_1Mwindow.wgt.RDat	CREG2	2	101462012	102503965	0.0244	rs11123901	 -4.28	rs13426867	 0.000573	  4.02	-0.440	392	392	blup	0.0048	0.018	 0.1345	8.93e-01
Treg	RA_only/Treg_5pcs_all/Treg.SPATA3-AS1_1Mwindow.wgt.RDat	SPATA3-AS1	2	231349083	232360747	0.0640	rs6706979	 -2.98	rs12469403	-0.000957	  5.91	-0.385	426	  1	lasso	0.12	1.5e-27	-0.3580	7.20e-01
Treg	RA_only/Treg_5pcs_all/Treg.PAX8-AS1_1Mwindow.wgt.RDat	PAX8-AS1	2	113493104	114524600	0.0488	rs6734238	  6.32	rs11123172	 0.047917	 -6.92	-2.290	465	  1	top1	0.048	6e-12	 2.2900	2.20e-02
Treg	RA_only/Treg_5pcs_all/Treg.SH3YL1_1Mwindow.wgt.RDat	SH3YL1	2	0	764824	0.1221	rs17713729	 -5.44	rs2290911	 0.111692	-10.41	-5.379	359	  1	top1	0.11	2.5e-26	 5.3790	7.49e-08
Treg	RA_only/Treg_5pcs_all/Treg.PASK_1Mwindow.wgt.RDat	PASK	2	241545514	242589637	0.0293	rs6437265	  3.46	rs2108485	 0.027655	 -5.37	 0.824	433	  1	top1	0.028	1.6e-07	-0.8240	4.10e-01
Treg	RA_only/Treg_5pcs_all/Treg.IL1R1_1Mwindow.wgt.RDat	IL1R1	2	102186850	103296334	0.0307	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.0023	0.074	     NA	      NA
Treg	RA_only/Treg_5pcs_all/Treg.MZT2A_1Mwindow.wgt.RDat	MZT2A	2	131741533	132749970	0.0221	rs10928504	  2.35	rs6731616	 0.000204	 -3.65	 0.842	135	135	blup	0.0072	0.0051	-1.0462	2.95e-01
Treg	RA_only/Treg_5pcs_all/Treg.LCLAT1_1Mwindow.wgt.RDat	LCLAT1	2	30170112	31367091	0.0258	rs6548023	 -4.47	rs1357850	-0.000605	  4.12	 2.387	606	606	blup	0.0031	0.048	 2.4797	1.31e-02
Treg	RA_only/Treg_5pcs_all/Treg.CALCRL_1Mwindow.wgt.RDat	CALCRL	2	187706691	188812979	0.0334	NA	    NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.00015	0.29	     NA	      NA
