PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_memory	RA_only/B_memory_5pcs_all/B_memory.CAPN12_1Mwindow.wgt.RDat	CAPN12	19	38720832	39735114	0.0281	rs2015	 2.23	rs35335944	 2.55e-02	 -5.05	 0.7887	401	  1	top1	0.026	3.5e-07	-0.7887	0.4303
B_memory	RA_only/B_memory_5pcs_all/B_memory.HIF3A_1Mwindow.wgt.RDat	HIF3A	19	46300299	47346690	0.1094	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	-0.00099	0.84	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.FCHO1_1Mwindow.wgt.RDat	FCHO1	19	17358553	18399370	0.0331	rs2302945	-2.92	rs12979056	 1.06e-06	 -3.04	-1.6072	406	406	blup	0.007	0.0054	 1.0521	0.2928
B_memory	RA_only/B_memory_5pcs_all/B_memory.DPP9-AS1_1Mwindow.wgt.RDat	DPP9-AS1	19	4179294	5185960	0.0815	rs243387	-2.16	rs10420817	-9.62e-04	  3.57	 0.2430	364	364	blup	-0.00091	0.73	-0.6514	0.5148
B_memory	RA_only/B_memory_5pcs_all/B_memory.RPS5_1Mwindow.wgt.RDat	RPS5	19	58398636	59406171	0.1274	rs7249714	-3.32	rs731835	 1.07e-01	-10.66	-2.7674	290	  4	enet	0.11	7e-27	 2.2454	0.0247
B_memory	RA_only/B_memory_5pcs_all/B_memory.CFD_1Mwindow.wgt.RDat	CFD	19	359664	1363641	0.0778	NA	   NA	NA	       NA	    NA	     NA	378	  0	lasso	0.054	1.9e-13	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.ZBTB32_1Mwindow.wgt.RDat	ZBTB32	19	35695460	36707940	0.0391	rs17638474	-1.96	rs231237	 4.19e-03	 -4.13	-0.0810	418	418	blup	0.013	0.00022	 0.0355	0.9717
B_memory	RA_only/B_memory_5pcs_all/B_memory.ZNF83_1Mwindow.wgt.RDat	ZNF83	19	52615630	53693749	0.0818	rs10426414	-2.37	rs10401904	 4.15e-02	 -6.30	 0.4874	434	  1	top1	0.042	9.7e-11	-0.4874	0.6260
B_memory	RA_only/B_memory_5pcs_all/B_memory.HSD17B14_1Mwindow.wgt.RDat	HSD17B14	19	48816275	49839748	0.0269	rs11670388	 2.41	rs8110220	 1.41e-02	 -4.77	-0.6113	396	  1	top1	0.014	0.00013	 0.6113	0.5410
B_memory	RA_only/B_memory_5pcs_all/B_memory.ZNF415_1Mwindow.wgt.RDat	ZNF415	19	53111132	54136163	0.0401	rs7251099	-2.39	rs8101712	-1.02e-03	  3.58	 0.6745	415	415	blup	0.0057	0.011	 1.4172	0.1564
B_memory	RA_only/B_memory_5pcs_all/B_memory.PLEKHF1_1Mwindow.wgt.RDat	PLEKHF1	19	29656368	30666384	0.0415	rs17513752	 3.52	rs2099100	 1.08e-04	  3.42	 0.2495	448	448	blup	0.013	0.00022	 0.0166	0.9867
B_memory	RA_only/B_memory_5pcs_all/B_memory.TNNT1_1Mwindow.wgt.RDat	TNNT1	19	55144066	56160574	0.0491	NA	   NA	NA	       NA	    NA	     NA	426	  0	lasso	0.00063	0.21	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.HPN_1Mwindow.wgt.RDat	HPN	19	35031410	36057477	0.0526	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.0054	0.013	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.SHFL_1Mwindow.wgt.RDat	SHFL	19	9696993	10703919	0.0280	rs17697965	-2.49	rs4804474	 1.23e-04	 -2.93	-0.4621	340	340	blup	0.0063	0.0077	-0.5387	0.5901
B_memory	RA_only/B_memory_5pcs_all/B_memory.IGFLR1_1Mwindow.wgt.RDat	IGFLR1	19	35729702	36733353	0.0913	rs17638474	-1.96	rs2871921	 8.20e-02	 -9.27	 0.4959	406	  1	top1	0.082	6.6e-20	-0.4959	0.6200
B_memory	RA_only/B_memory_5pcs_all/B_memory.CIB3_1Mwindow.wgt.RDat	CIB3	19	15772179	16784336	0.0276	rs2124905	 2.33	rs3786603	-9.99e-04	  6.03	 0.0376	472	  1	top1	-0.001	0.85	 0.0376	0.9700
B_memory	RA_only/B_memory_5pcs_all/B_memory.CD37_1Mwindow.wgt.RDat	CD37	19	49338663	50343863	0.0753	rs4802550	 2.29	rs2278405	 6.62e-02	 -8.31	-0.5388	336	  1	top1	0.066	2.8e-16	 0.5388	0.5900
B_memory	RA_only/B_memory_5pcs_all/B_memory.LYL1_1Mwindow.wgt.RDat	LYL1	19	12709847	13713672	0.0360	NA	   NA	NA	       NA	    NA	     NA	  0	  0	lasso	0.0032	0.044	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.FXYD5_1Mwindow.wgt.RDat	FXYD5	19	35145638	36160784	0.0404	rs2862783	 2.07	rs916694	 8.05e-03	 -4.49	 0.3921	433	  1	top1	0.0081	0.003	-0.3921	0.6950
B_memory	RA_only/B_memory_5pcs_all/B_memory.FXYD7_1Mwindow.wgt.RDat	FXYD7	19	35134159	36145205	0.0371	rs2862783	 2.07	rs7251096	 3.29e-03	  3.97	-0.4586	433	  2	enet	0.0086	0.0022	-0.5104	0.6098
B_memory	RA_only/B_memory_5pcs_all/B_memory.PLA2G4C_1Mwindow.wgt.RDat	PLA2G4C	19	48051103	49114074	0.0369	rs891015	-2.56	rs156633	 4.41e-03	 -3.90	-0.4002	511	511	blup	0.012	0.00039	-0.1603	0.8726
B_memory	RA_only/B_memory_5pcs_all/B_memory.RPS9_1Mwindow.wgt.RDat	RPS9	19	54204726	55211515	0.1243	NA	   NA	NA	       NA	    NA	     NA	384	  0	enet	0.11	1.2e-25	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.WDR83_1Mwindow.wgt.RDat	WDR83	19	12277621	13286646	0.0218	rs10418716	 2.62	rs3087801	 5.54e-03	  3.91	 0.4111	274	  1	lasso	0.0085	0.0024	 0.4111	0.6810
B_memory	RA_only/B_memory_5pcs_all/B_memory.ZNF85_1Mwindow.wgt.RDat	ZNF85	19	20606057	21633503	0.0618	rs694208	-2.21	rs11669114	 9.43e-02	  9.84	-0.2173	233	  1	top1	0.094	9.1e-23	-0.2173	0.8280
B_memory	RA_only/B_memory_5pcs_all/B_memory.ZNF749_1Mwindow.wgt.RDat	ZNF749	19	57446693	58458469	0.0778	rs6510101	 2.71	rs11665675	 7.87e-02	 -8.90	 0.8669	484	  1	top1	0.079	3.9e-19	-0.8669	0.3860
B_memory	RA_only/B_memory_5pcs_all/B_memory.TMEM205_1Mwindow.wgt.RDat	TMEM205	19	10953454	11956944	0.0355	rs12327600	-1.81	rs10418759	 5.03e-03	 -3.53	 1.4871	370	  1	top1	0.005	0.015	-1.4871	0.1370
B_memory	RA_only/B_memory_5pcs_all/B_memory.LINC00665_1Mwindow.wgt.RDat	LINC00665	19	36303963	37322620	0.0194	rs1129376	 2.37	rs3108582	 3.24e-04	 -3.60	-0.6128	271	271	blup	0.0081	0.003	 1.8056	0.0710
B_memory	RA_only/B_memory_5pcs_all/B_memory.KLK1_1Mwindow.wgt.RDat	KLK1	19	50822402	51827043	0.0515	rs2569430	-3.84	rs2247289	 2.06e-03	  3.95	 0.6083	456	456	blup	0.012	0.00042	 0.8753	0.3814
