PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LAMB1_1Mwindow.wgt.RDat	LAMB1	7	107064244	108143606	0.1148	rs1989837	 2.58	rs2237685	 0.129543	-11.80	 0.806	528	  4	enet	0.13	2.3e-32	-0.8092	0.4184
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PSPH_1Mwindow.wgt.RDat	PSPH	7	55578757	56619137	0.0540	rs1994518	 3.01	rs11982736	 0.043828	  5.68	-0.050	293	  1	top1	0.044	2.9e-11	-0.0500	0.9601
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.AOAH_1Mwindow.wgt.RDat	AOAH	7	36052549	37264099	0.1343	rs3911827	-2.97	rs10275462	 0.071491	 -7.88	-1.126	725	  5	lasso	0.088	2.4e-21	 0.5833	0.5597
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TRBV21-1_1Mwindow.wgt.RDat	TRBV21-1	7	141844427	142844887	0.0303	rs5024722	-2.51	rs12703489	-0.000991	  4.61	-0.755	451	451	blup	0.0033	0.041	 1.2456	0.2129
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.GIMAP1_1Mwindow.wgt.RDat	GIMAP1	7	149913701	150921372	0.0353	rs7812088	-2.77	rs1860871	 0.000393	 -4.24	 0.279	486	486	blup	0.0086	0.0022	 0.9430	0.3457
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.CPA5_1Mwindow.wgt.RDat	CPA5	7	129484656	130508571	0.1901	rs6467267	-3.02	rs17164847	 0.160206	 12.78	 2.170	357	  2	lasso	0.17	5.7e-41	 2.1700	0.0300
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NAMPT_1Mwindow.wgt.RDat	NAMPT	7	105388744	106425429	0.0461	rs1004717	 3.10	rs734787	-0.000762	  3.50	 0.240	540	540	blup	0.0018	0.097	-0.8838	0.3768
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.LINC01448_1Mwindow.wgt.RDat	LINC01448	7	42201325	43246046	0.1029	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.18	7.3e-43	     NA	    NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.POLR2J3_1Mwindow.wgt.RDat	POLR2J3	7	101707413	102713030	0.0339	NA	   NA	NA	       NA	    NA	    NA	  0	  0	lasso	0.0096	0.0013	     NA	    NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ZC3HAV1_1Mwindow.wgt.RDat	ZC3HAV1	7	138228261	139294466	0.0675	rs2354336	 3.17	rs1044551	 0.060993	 -8.08	 0.240	416	  1	top1	0.061	3.9e-15	-0.2400	0.8103
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.GHET1_1Mwindow.wgt.RDat	GHET1	7	148184619	149186521	0.0284	rs12704039	 2.79	rs1636375	-0.000899	  3.25	-0.113	356	356	blup	0.0099	0.0011	-0.5334	0.5937
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.VWDE_1Mwindow.wgt.RDat	VWDE	7	11870511	12943491	0.0200	rs10246960	 1.82	rs12699388	 0.003893	  3.75	 0.643	668	668	blup	0.0044	0.022	-0.0389	0.9690
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.TOMM7_1Mwindow.wgt.RDat	TOMM7	7	22352593	23362468	0.3038	rs1524104	 3.48	rs10276099	 0.354778	-18.56	 0.202	500	  1	top1	0.35	3.2e-94	-0.2020	0.8399
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.POLM_1Mwindow.wgt.RDat	POLM	7	43611661	44622129	0.0193	rs7793213	-1.79	rs28745596	 0.000524	  3.55	 0.755	349	349	blup	0.0099	0.0011	-0.0554	0.9558
