PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_memory	RA_only/B_memory_5pcs_all/B_memory.FAM78A_1Mwindow.wgt.RDat	FAM78A	9	133633465	134653422	0.0429	rs753157	-3.25	rs542305	 6.03e-04	 -3.17	 0.4692	 439	 439	blup	0.0023	0.071	 0.2341	0.8149
B_memory	RA_only/B_memory_5pcs_all/B_memory.FOXD4L3_1Mwindow.wgt.RDat	FOXD4L3	9	70417783	71420000	0.1332	NA	   NA	NA	       NA	    NA	     NA	   0	   0	lasso	0.18	6.4e-43	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.NUDT2_1Mwindow.wgt.RDat	NUDT2	9	33829567	34843697	0.0714	rs277579	-2.82	rs10972063	 5.21e-02	  7.44	 0.0038	 345	   2	enet	0.053	3.3e-13	-0.5013	0.6161
B_memory	RA_only/B_memory_5pcs_all/B_memory.AOPEP_1Mwindow.wgt.RDat	AOPEP	9	96988981	98349441	0.0293	rs4744370	 4.44	rs10993456	 2.24e-05	  4.15	-1.7450	 449	 449	blup	0.01	0.00099	 0.3688	0.7123
B_memory	RA_only/B_memory_5pcs_all/B_memory.RPS6_1Mwindow.wgt.RDat	RPS6	9	18875713	19880234	0.0248	rs7043607	 2.73	rs12553328	 5.87e-04	 -3.98	-0.3441	 529	 529	blup	0.0055	0.012	 0.0445	0.9645
B_memory	RA_only/B_memory_5pcs_all/B_memory.SHC3_1Mwindow.wgt.RDat	SHC3	9	91120686	92293733	0.0864	rs4876968	-2.89	rs11265797	-1.03e-03	  6.25	 0.0193	 487	 487	blup	-0.00071	0.57	-1.1206	0.2625
B_memory	RA_only/B_memory_5pcs_all/B_memory.RPL12_1Mwindow.wgt.RDat	RPL12	9	129709953	130713685	0.1079	rs3824527	-2.82	rs3824414	 1.04e-01	-10.51	-1.0156	 348	   1	top1	0.1	5.3e-25	 1.0156	0.3098
B_memory	RA_only/B_memory_5pcs_all/B_memory.CNTRL_1Mwindow.wgt.RDat	CNTRL	9	123337233	124439888	0.0187	NA	   NA	NA	       NA	    NA	     NA	   0	   0	enet	0.008	0.0031	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.DBH-AS1_1Mwindow.wgt.RDat	DBH-AS1	9	136019709	137022530	0.0471	rs630014	 4.85	rs36091105	-1.04e-03	  4.67	 0.7297	 557	 557	blup	-0.00099	0.83	-0.1052	0.9162
B_memory	RA_only/B_memory_5pcs_all/B_memory.CDKN2B_1Mwindow.wgt.RDat	CDKN2B	9	21502902	22509312	0.0867	NA	   NA	NA	       NA	    NA	     NA	   0	   0	enet	0.017	2.7e-05	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.CNTNAP3_1Mwindow.wgt.RDat	CNTNAP3	9	38564707	39788164	0.0470	rs1577868	 2.21	rs12340088	 3.49e-02	  2.66	-0.1017	 114	   1	top1	0.035	3e-09	-0.1017	0.9190
B_memory	RA_only/B_memory_5pcs_all/B_memory.TLR4_1Mwindow.wgt.RDat	TLR4	9	119966681	120987013	0.0326	rs1514773	 3.56	rs1327806	-6.69e-04	  3.64	 0.8062	 573	 573	blup	0.0088	0.002	 0.5836	0.5595
B_memory	RA_only/B_memory_5pcs_all/B_memory.TRMO_1Mwindow.wgt.RDat	TRMO	9	100159137	101184782	0.0323	rs925487	 3.05	rs10984462	 2.31e-02	  5.33	 0.2000	 490	   1	lasso	0.032	1.1e-08	 0.2000	0.8415
B_memory	RA_only/B_memory_5pcs_all/B_memory.LCN8_1Mwindow.wgt.RDat	LCN8	9	139148838	140152995	0.4210	NA	   NA	NA	       NA	    NA	     NA	   0	   0	lasso	0.52	3.5e-158	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.KDM4C_1Mwindow.wgt.RDat	KDM4C	9	6220863	7675648	0.0484	rs10448243	 2.89	rs12378544	-3.55e-04	  3.97	 0.6751	1023	1023	blup	0.0074	0.0043	-0.3236	0.7462
B_memory	RA_only/B_memory_5pcs_all/B_memory.AK8_1Mwindow.wgt.RDat	AK8	9	135100965	136254433	0.0462	rs630014	 4.85	rs13301148	 5.44e-04	  4.01	-0.6375	 601	 601	blup	0.014	0.00012	 0.2457	0.8059
B_memory	RA_only/B_memory_5pcs_all/B_memory.OMD_1Mwindow.wgt.RDat	OMD	9	94674662	95686753	0.0420	rs710161	 3.10	rs10992308	 3.53e-02	  6.31	-1.1257	 377	   1	top1	0.035	2.3e-09	-1.1257	0.2603
B_memory	RA_only/B_memory_5pcs_all/B_memory.TLE4_1Mwindow.wgt.RDat	TLE4	9	81686880	82841797	0.0449	rs12686354	-3.40	rs2807301	 2.56e-02	  5.37	-0.5964	 561	   1	top1	0.026	3.4e-07	-0.5964	0.5509
B_memory	RA_only/B_memory_5pcs_all/B_memory.GLE1_1Mwindow.wgt.RDat	GLE1	9	130766971	131804567	0.0193	NA	   NA	NA	       NA	    NA	     NA	   0	   0	enet	0.01	0.001	     NA	    NA
B_memory	RA_only/B_memory_5pcs_all/B_memory.POMT1_1Mwindow.wgt.RDat	POMT1	9	133878305	134899186	0.0277	rs753157	-3.25	rs2031878	 2.55e-04	 -3.24	-1.0466	 426	 426	blup	0.0066	0.0066	 0.1722	0.8633
