PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.INPP5K_1Mwindow.wgt.RDat	INPP5K	17	897871	1919906	0.0300	rs8072859	 3.75	rs16946807	-1.02e-03	-3.97	 3.073	394	394	blup	0.0081	0.0029	-1.057	2.90e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NUFIP2_1Mwindow.wgt.RDat	NUFIP2	17	27082857	28121166	0.0251	rs565977	 4.15	rs4795480	 1.15e-03	-3.34	-0.773	333	  3	enet	0.0046	0.02	 3.073	2.12e-03
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.P2RX5_1Mwindow.wgt.RDat	P2RX5	17	3076521	4099449	0.0248	rs781858	 4.62	rs224503	 5.07e-04	 4.04	-0.805	469	469	blup	0.0031	0.047	-0.533	5.94e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ITGB3_1Mwindow.wgt.RDat	ITGB3	17	44831193	45891109	0.0317	rs199529	-6.98	rs10775405	-6.36e-04	 3.56	 0.778	359	  1	lasso	0.0018	0.1	 0.778	4.37e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.SCRN2_1Mwindow.wgt.RDat	SCRN2	17	45415058	46418639	0.0393	rs16948321	 4.01	rs2074185	 3.11e-02	-5.77	 0.774	387	  1	top1	0.031	2.1e-08	-0.774	4.39e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NME2_1Mwindow.wgt.RDat	NME2	17	48742897	49749105	0.0403	rs7207366	-3.40	rs12946936	 1.66e-02	 4.55	 0.587	420	420	blup	0.019	9e-06	 1.336	1.81e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ELP5_1Mwindow.wgt.RDat	ELP5	17	6655043	7663259	0.0552	rs17732878	 4.95	rs222835	 4.03e-02	 6.40	 2.205	447	  1	top1	0.04	1.9e-10	 2.205	2.75e-02
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.MARCHF10-DT_1Mwindow.wgt.RDat	MARCHF10-DT	17	60385863	61413732	0.0134	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.044	3e-11	    NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ZBTB4_1Mwindow.wgt.RDat	ZBTB4	17	6862697	7887568	0.0409	rs17732878	 4.95	rs1565816	 4.49e-03	 3.51	-2.494	454	  1	lasso	0.006	0.009	-2.494	1.26e-02
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.EIF5A_1Mwindow.wgt.RDat	EIF5A	17	6710318	7715782	0.1750	rs17732878	 4.95	rs4796398	 1.63e-01	12.56	 3.882	427	  1	top1	0.16	2.3e-39	 3.882	1.03e-04
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ORMDL3_1Mwindow.wgt.RDat	ORMDL3	17	37577294	38583854	0.0397	rs12453682	-4.59	rs9303281	 3.16e-02	 6.76	-3.783	261	  1	top1	0.032	1.7e-08	-3.783	1.55e-04
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.RDM1_1Mwindow.wgt.RDat	RDM1	17	33745084	34757777	0.0580	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.032	1.3e-08	    NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.SP2-DT_1Mwindow.wgt.RDat	SP2-DT	17	45468595	46473182	0.0288	rs16948321	 4.01	rs882163	 8.29e-03	-4.20	 3.027	382	382	blup	0.012	0.00034	-2.875	4.04e-03
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.ARL17B_1Mwindow.wgt.RDat	ARL17B	17	43851550	44939153	0.0602	rs4277389	-7.62	rs169201	 6.78e-03	 4.50	-6.829	 81	 81	blup	0.016	5e-05	-6.374	1.84e-10
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.EVI2A_1Mwindow.wgt.RDat	EVI2A	17	29143428	30148640	0.0361	rs3764421	 3.49	rs2525563	 1.45e-02	-5.44	 0.479	325	325	blup	0.026	3.7e-07	-1.525	1.27e-01
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NME1_1Mwindow.wgt.RDat	NME1	17	48730920	49739529	0.0206	NA	   NA	NA	       NA	   NA	    NA	  0	  0	enet	0.0034	0.039	    NA	      NA
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.KANSL1-AS1_1Mwindow.wgt.RDat	KANSL1-AS1	17	43770939	44774089	0.0420	rs4277389	-7.62	rs17689471	 2.04e-02	 4.14	-7.566	 28	  1	top1	0.02	5e-06	-7.566	3.84e-14
B_intermediate	RA_only/B_intermediate_5pcs_all/B_intermediate.NTN1_1Mwindow.wgt.RDat	NTN1	17	8424827	9647317	0.0523	NA	   NA	NA	       NA	   NA	    NA	  0	  0	lasso	0.0069	0.0056	    NA	      NA
