PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CATSPERB_1Mwindow.wgt.RDat	CATSPERB	14	91547042	92698430	0.0549	rs1912425	-3.469	rs7150509	-0.001003	 6.72	 0.1560	483	  3	lasso	-0.00077	0.59	-0.6239	0.5327
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.WARS1_1Mwindow.wgt.RDat	WARS1	14	100300127	101342664	0.0226	rs10138605	-2.930	rs10140406	 0.008069	-4.13	-0.3630	429	429	blup	0.014	0.00023	-0.7425	0.4578
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LGMN_1Mwindow.wgt.RDat	LGMN	14	92670154	93714972	0.0614	rs10148973	 2.805	rs2250672	 0.017898	-5.34	-0.0540	548	  1	top1	0.018	2.6e-05	 0.0540	0.9569
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.IGHV3-74_1Mwindow.wgt.RDat	IGHV3-74	14	106718674	107719129	0.9961	rs10136887	 0.915	rs10136887	-0.000934	 3.28	 0.9154	 36	 36	blup	-0.00054	0.48	-0.6212	0.5345
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.MARK3_1Mwindow.wgt.RDat	MARK3	14	103351752	104470168	0.0319	rs3742365	 3.145	rs8020912	 0.001635	 3.81	-0.7000	385	385	blup	0.011	0.00087	-0.7141	0.4752
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.PAX9_1Mwindow.wgt.RDat	PAX9	14	36626773	37648567	0.0546	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.15	9.8e-34	     NA	    NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CEP170B_1Mwindow.wgt.RDat	CEP170B	14	104831605	105863084	0.0464	rs4243749	 2.050	rs2494739	-0.000223	 3.97	-0.1444	323	323	blup	0.0063	0.009	 0.7728	0.4396
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CIDEB_1Mwindow.wgt.RDat	CIDEB	14	24274393	25280641	0.0229	rs10141896	 3.890	rs11622527	 0.002614	-3.87	 1.1640	497	497	blup	0.0063	0.009	-0.6314	0.5278
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.PLEKHH1_1Mwindow.wgt.RDat	PLEKHH1	14	67500007	68556329	0.0193	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	-0.00052	0.47	     NA	    NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LINC02313_1Mwindow.wgt.RDat	LINC02313	14	31914059	32919500	0.4478	rs17099134	 3.464	rs2031106	-0.001077	 3.74	 1.3100	418	418	blup	-0.0011	0.95	 0.0746	0.9405
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RPPH1_1Mwindow.wgt.RDat	RPPH1	14	20311230	21311570	0.0569	NA	    NA	NA	       NA	   NA	     NA	  0	  0	lasso	0.043	1.2e-10	     NA	    NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SYT16_1Mwindow.wgt.RDat	SYT16	14	61778880	63079268	0.0542	rs217689	 3.105	rs17099807	-0.001059	 5.87	 2.1920	655	  1	top1	-0.0011	0.89	 2.1920	0.0284
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.SLC24A4_1Mwindow.wgt.RDat	SLC24A4	14	92288925	93467825	0.0899	rs12589592	 2.592	rs11623883	 0.014338	 5.98	 1.2460	636	  2	lasso	0.033	1.8e-08	 1.2460	0.2128
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LRRC74A_1Mwindow.wgt.RDat	LRRC74A	14	76792751	77836647	0.0627	rs8020517	-3.034	rs419630	 0.004322	 5.23	 0.2942	541	  1	lasso	0.016	7.6e-05	 0.2942	0.7686
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.NUDT14_1Mwindow.wgt.RDat	NUDT14	14	105139276	106147649	0.0527	rs3000075	 1.687	rs2072675	 0.026191	-5.02	 0.7130	231	  1	top1	0.026	4.3e-07	-0.7130	0.4758
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CTSG_1Mwindow.wgt.RDat	CTSG	14	24542724	25545456	0.2284	rs10141896	 3.697	rs12878578	 0.173546	13.44	 0.0826	592	  7	enet	0.18	1.5e-42	-0.4725	0.6365
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RNASE4_1Mwindow.wgt.RDat	RNASE4	14	20652719	21669375	0.0685	rs1243473	-2.864	rs1010461	 0.020865	-6.70	 0.6180	611	  4	lasso	0.033	1.5e-08	-0.9083	0.3637
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.RNASE2_1Mwindow.wgt.RDat	RNASE2	14	20923646	21924595	0.0438	NA	    NA	NA	       NA	   NA	     NA	  0	  0	enet	0.023	1.7e-06	     NA	    NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.EGILA_1Mwindow.wgt.RDat	EGILA	14	20661639	21675100	0.0701	NA	    NA	NA	       NA	   NA	     NA	  0	  0	enet	0.011	8e-04	     NA	    NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.VASH1_1Mwindow.wgt.RDat	VASH1	14	76727811	77749358	0.0849	rs8020517	-3.034	rs10483877	 0.049561	 7.94	-0.6570	525	  5	enet	0.068	4.4e-16	-0.9559	0.3391
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.GPR65_1Mwindow.wgt.RDat	GPR65	14	87971479	88981155	0.0228	rs11159828	-3.205	rs7157457	 0.014740	 4.24	 0.2910	460	  1	top1	0.015	0.00012	 0.2910	0.7711
