PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.CCSER2_1Mwindow.wgt.RDat	CCSER2	10	85588345	86778273	0.0542	rs4933986	 -2.91	rs11598450	 0.048661	-7.09	 1.071	 620	  1	top1	0.049	2.4e-12	-1.0710	2.84e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ECHDC3_1Mwindow.wgt.RDat	ECHDC3	10	11284381	12306069	0.0363	rs2271804	-12.89	rs7101132	 0.002737	-4.27	 0.742	 434	434	blup	0.01	0.00099	 0.4594	6.46e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PPIF_1Mwindow.wgt.RDat	PPIF	10	80607225	81615090	0.0356	rs1749851	  3.34	rs11002951	 0.000184	-3.67	-0.867	 372	372	blup	0.0053	0.014	 0.6150	5.39e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ITIH5_1Mwindow.wgt.RDat	ITIH5	10	7101232	8208929	0.0445	rs477461	 -4.18	rs9633771	 0.005364	-3.25	-0.978	 637	  1	top1	0.0054	0.013	 0.9780	3.28e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.C10orf143_1Mwindow.wgt.RDat	C10orf143	10	131362160	132409094	0.0575	rs4751138	  4.55	rs650268	 0.003655	 4.56	 1.776	 600	600	blup	0.012	0.00031	 0.5362	5.92e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.STOX1_1Mwindow.wgt.RDat	STOX1	10	70087288	71155188	0.0858	rs2491026	  3.29	rs12771648	 0.096982	 9.70	-1.585	 432	  1	top1	0.097	2e-23	-1.5850	1.13e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ZNF503-AS1_1Mwindow.wgt.RDat	ZNF503-AS1	10	76556141	77621436	0.1241	rs11001272	  4.60	rs7073279	 0.050557	 8.38	-0.626	 312	  2	lasso	0.064	7.6e-16	-1.8860	5.93e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MASTL_1Mwindow.wgt.RDat	MASTL	10	26944281	27976882	0.0228	rs11015236	  3.25	rs11015590	 0.012531	-4.77	 0.633	 476	476	blup	0.014	0.00012	-0.6334	5.27e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SVIL_1Mwindow.wgt.RDat	SVIL	10	29246267	30525865	0.0473	rs2185724	  7.81	rs2479695	-0.001014	-3.30	-1.185	 852	852	blup	0.0061	0.0087	 3.4132	6.42e-04
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.TRDMT1_1Mwindow.wgt.RDat	TRDMT1	10	16679335	17743671	0.0394	rs7081766	  3.11	rs10904906	-0.000155	-4.97	 0.942	 671	671	blup	0.0068	0.0058	 0.5164	6.06e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.RPS24_1Mwindow.wgt.RDat	RPS24	10	79293621	80316564	0.0497	rs2670118	 -3.69	rs2493568	 0.045382	-5.29	-0.662	 496	  1	lasso	0.059	1e-14	 0.6620	5.08e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ZRANB1_1Mwindow.wgt.RDat	ZRANB1	10	126130692	127176758	0.0353	rs7073663	  3.98	rs11245522	-0.000522	 3.46	-0.874	 549	549	blup	0.0061	0.0085	 1.1373	2.55e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GSTO1_1Mwindow.wgt.RDat	GSTO1	10	105513931	106527213	0.0204	rs10748858	 -5.32	rs3740466	 0.013208	 4.73	-1.567	 417	  1	top1	0.013	2e-04	-1.5670	1.17e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.NUTM2A-AS1_1Mwindow.wgt.RDat	NUTM2A-AS1	10	88498424	89602315	0.0308	rs10887690	 -3.20	rs7098516	 0.005185	 3.97	 0.469	 293	293	blup	0.011	0.00065	 0.0474	9.62e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MIR1915HG_1Mwindow.wgt.RDat	MIR1915HG	10	21281587	22286189	0.0337	NA	    NA	NA	       NA	   NA	    NA	   0	  0	lasso	0.12	1.5e-28	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.MGMT_1Mwindow.wgt.RDat	MGMT	10	130765505	132069247	0.0616	rs4751099	 -4.94	rs1008982	 0.035471	-6.99	-3.586	 711	  1	lasso	0.046	1e-11	 3.5860	3.36e-04
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ANK3_1Mwindow.wgt.RDat	ANK3	10	61286056	62993286	0.0884	NA	    NA	NA	       NA	   NA	    NA	   0	  0	lasso	0.092	3e-22	     NA	      NA
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.AKR1C3_1Mwindow.wgt.RDat	AKR1C3	10	4590973	5649878	0.0351	rs7908994	 -5.54	rs7076488	 0.053418	 7.36	-1.375	 698	  1	top1	0.053	2e-13	-1.3750	1.69e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SAR1A_1Mwindow.wgt.RDat	SAR1A	10	71407045	72430270	0.0655	rs10823556	 -4.29	rs9971029	 0.042307	-6.53	 1.063	 703	  1	top1	0.042	6.3e-11	-1.0630	2.88e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.LINC01374_1Mwindow.wgt.RDat	LINC01374	10	91113663	92174713	0.0753	rs304466	  3.11	rs10509598	 0.000164	 4.07	 0.414	 491	491	blup	0.00063	0.2	 0.2563	7.98e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.C10orf95_1Mwindow.wgt.RDat	C10orf95	10	103709594	104711300	0.0256	rs772030	 -3.95	rs1044476	 0.012888	-4.72	-2.759	 343	  1	enet	0.016	4.3e-05	 0.7570	4.49e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PFKP_1Mwindow.wgt.RDat	PFKP	10	2609740	3678997	0.0459	rs7898695	 -3.01	rs17284739	 0.009191	 4.39	 0.019	 745	  1	top1	0.0092	0.0016	 0.0190	9.85e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.AS3MT_1Mwindow.wgt.RDat	AS3MT	10	104129227	105161656	0.0370	rs17784294	  3.65	rs11818627	 0.003062	 3.89	 2.588	 353	353	blup	0.013	0.00026	-1.5937	1.11e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ANXA8_1Mwindow.wgt.RDat	ANXA8	10	47755247	48771369	0.0233	rs10888197	 -3.59	rs4326728	-0.001006	 4.60	-0.762	 161	  1	top1	-0.001	0.87	-0.7620	4.46e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PRKCQ-AS1_1Mwindow.wgt.RDat	PRKCQ-AS1	10	6122387	7127323	0.0565	rs12253311	  3.21	rs2435587	 0.070059	-7.39	-1.203	 734	  1	top1	0.07	3.3e-17	 1.2030	2.29e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SIRT1_1Mwindow.wgt.RDat	SIRT1	10	69144414	70178147	0.0153	rs7079481	 -5.14	rs6480279	 0.007577	 3.50	 0.475	 360	360	blup	0.0082	0.0028	 1.8889	5.89e-02
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.AKR1C2_1Mwindow.wgt.RDat	AKR1C2	10	4529967	5560192	0.1268	rs7908994	 -5.54	rs7922153	 0.102185	10.34	-5.453	 653	  1	top1	0.1	1.2e-24	-5.4530	4.95e-08
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.ADIRF_1Mwindow.wgt.RDat	ADIRF	10	88228239	89230672	0.0548	rs10887690	 -3.20	rs4934282	 0.031312	 5.30	 2.585	 245	  1	top1	0.031	1.8e-08	 2.5850	9.74e-03
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.PPA1_1Mwindow.wgt.RDat	PPA1	10	71462591	72493185	0.2339	rs10823556	 -4.29	rs10509321	 0.237567	15.21	 0.545	 702	  1	top1	0.24	4e-59	 0.5450	5.86e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.GDI2_1Mwindow.wgt.RDat	GDI2	10	5307186	6355397	0.0434	rs4747914	  3.42	rs2275774	 0.041036	-5.85	 0.565	 674	  1	top1	0.041	1.2e-10	-0.5650	5.72e-01
CD4_Naive	RA_only/CD4_Naive_5pcs_all/CD4_Naive.SEPHS1_1Mwindow.wgt.RDat	SEPHS1	10	12859428	13890293	0.0479	rs943101	 -4.71	rs3740121	 0.003978	 3.35	 2.758	 707	  1	top1	0.004	0.028	 2.7580	5.82e-03
